SkDg;typDg;kodDg;nazovDg
Trauma a poúrazové stavy ;akákoľvek;S0001;Povrchové poranenie vlasatej kože hlavy: odrenina
Trauma a poúrazové stavy ;akákoľvek;S0002;Povrchové poranenie vlasatej kože hlavy: tvorba pľuzgierov (netermických)
Trauma a poúrazové stavy ;akákoľvek;S0003;Povrchové poranenie vlasatej kože hlavy: uštipnutie hmyzom alebo vpich (nejedovatý)
Trauma a poúrazové stavy ;akákoľvek;S0004;Povrchové poranenie vlasatej kože hlavy: povrchové cudzie telesá (úlomky)
Trauma a poúrazové stavy ;akákoľvek;S0005;Povrchové poranenie vlasatej kože hlavy: pomliaždenie
Trauma a poúrazové stavy ;akákoľvek;S0008;Povrchové poranenie vlasatej kože hlavy: iné
Trauma a poúrazové stavy ;akákoľvek;S001;Pomliaždenie mihalnice a okolia oka
Trauma a poúrazové stavy ;akákoľvek;S0020;Iné povrchové poranenie mihalnice a okolia oka: druh poranenia bližšie neurčený
Trauma a poúrazové stavy ;akákoľvek;S0021;Iné povrchové poranenie mihalníc a periokulárnej oblasti: odrenina
Trauma a poúrazové stavy ;akákoľvek;S0022;Iné povrchové poranenie mihalníc a periokulárnej oblasti: tvorba pľuzgierov (netermických)
Trauma a poúrazové stavy ;akákoľvek;S0023;Iné povrchové poranenie mihalníc a periokulárnej oblasti: uštipnutie hmyzom alebo vpich (nejedovatý)
Trauma a poúrazové stavy ;akákoľvek;S0024;Iné povrchové poranenie mihalníc a periokulárnej oblasti: povrchové cudzie telesá (úlomky)
Trauma a poúrazové stavy ;akákoľvek;S0028;Iné povrchové poranenie mihalníc a periokulárnej oblasti: iné
Trauma a poúrazové stavy ;akákoľvek;S0030;Povrchové poranenie nosa: druh poranenia bližšie neurčený
Trauma a poúrazové stavy ;akákoľvek;S0031;Povrchové poranenie nosa: odrenina
Trauma a poúrazové stavy ;akákoľvek;S0032;Povrchové poranenie nosa: tvorba pľuzgierov (netermických)
Trauma a poúrazové stavy ;akákoľvek;S0033;Povrchové poranenie nosa: uštipnutie hmyzom alebo vpich (nejedovatý)
Trauma a poúrazové stavy ;akákoľvek;S0034;Povrchové poranenie nosa: povrchové cudzie telesá (úlomky)
Trauma a poúrazové stavy ;akákoľvek;S0035;Povrchové poranenie nosa: pomliaždenie
Trauma a poúrazové stavy ;akákoľvek;S0038;Povrchové poranenie nosa: iné
Trauma a poúrazové stavy ;akákoľvek;S0040;Povrchové poranenie ucha: druh poranenia bližšie neurčený
Trauma a poúrazové stavy ;akákoľvek;S0041;Povrchové poranenie ucha: odrenina
Trauma a poúrazové stavy ;akákoľvek;S0042;Povrchové poranenie ucha: tvorba pľuzgierov (netermických)
Trauma a poúrazové stavy ;akákoľvek;S0043;Povrchové poranenie ucha: uštipnutie hmyzom alebo vpich (nejedovatý)
Trauma a poúrazové stavy ;akákoľvek;S0044;Povrchové poranenie ucha: povrchové cudzie telesá (úlomky)
Trauma a poúrazové stavy ;akákoľvek;S0045;Povrchové poranenie ucha: pomliaždenie
Trauma a poúrazové stavy ;akákoľvek;S0048;Povrchové poranenie ucha: iné
Trauma a poúrazové stavy ;akákoľvek;S0050;Povrchové poranenie pery a ústnej dutiny: druh poranenia bližšie neurčený
Trauma a poúrazové stavy ;akákoľvek;S0051;Povrchové poranenie pery a ústnej dutiny: odrenina
Trauma a poúrazové stavy ;akákoľvek;S0052;Povrchové poranenie pery a ústnej dutiny: tvorba pľuzgierov (netermických)
Trauma a poúrazové stavy ;akákoľvek;S0053;Povrchové poranenie pery a ústnej dutiny: uštipnutie hmyzom alebo vpich (nejedovatý)
Trauma a poúrazové stavy ;akákoľvek;S0054;Povrchové poranenie pery a ústnej dutiny: povrchové cudzie telesá (úlomky)
Trauma a poúrazové stavy ;akákoľvek;S0055;Povrchové poranenie pery a ústnej dutiny: pomliaždenie
Trauma a poúrazové stavy ;akákoľvek;S0058;Povrchové poranenie pery a ústnej dutiny: iné
Trauma a poúrazové stavy ;akákoľvek;S007;Viaceré povrchové poranenia hlavy
Trauma a poúrazové stavy ;akákoľvek;S0080;Povrchové poranenie inej časti hlavy: druh poranenia bližšie neurčený
Trauma a poúrazové stavy ;akákoľvek;S0081;Povrchové poranenie inej časti hlavy: odrenina
Trauma a poúrazové stavy ;akákoľvek;S0082;Povrchové poranenie inej časti hlavy: tvorba pľuzgierov (netermických)
Trauma a poúrazové stavy ;akákoľvek;S0083;Povrchové poranenie inej časti hlavy: uštipnutie hmyzom alebo vpich (nejedovatý)
Trauma a poúrazové stavy ;akákoľvek;S0084;Povrchové poranenie inej časti hlavy: povrchové cudzie telesá (úlomky)
Trauma a poúrazové stavy ;akákoľvek;S0085;Povrchové poranenie inej časti hlavy: pomliaždenie
Trauma a poúrazové stavy ;akákoľvek;S0088;Povrchové poranenie inej časti hlavy: iné
Trauma a poúrazové stavy ;akákoľvek;S0090;Povrchové poranenie hlavy bližšie neurčenej časti: druh poranenia bližšie neurčený
Trauma a poúrazové stavy ;akákoľvek;S0091;Povrchové poranenie hlavy bližšie neurčenej časti: odrenina
Trauma a poúrazové stavy ;akákoľvek;S0092;Povrchové poranenie hlavy bližšie neurčenej časti: tvorba pľuzgierov (netermických)
Trauma a poúrazové stavy ;akákoľvek;S0093;Povrchové poranenie hlavy bližšie neurčenej časti: uštipnutie hmyzom alebo vpich (nejedovatý)
Trauma a poúrazové stavy ;akákoľvek;S0094;Povrchové poranenie hlavy bližšie neurčenej časti: povrchové cudzie telesá (úlomky)
Trauma a poúrazové stavy ;akákoľvek;S0095;Povrchové poranenie hlavy bližšie neurčenej časti: pomliaždenie
Trauma a poúrazové stavy ;akákoľvek;S0098;Povrchové poranenie hlavy bližšie neurčenej časti: iné
Trauma a poúrazové stavy ;akákoľvek;S010;Otvorená rana vlasatej časti hlavy
Trauma a poúrazové stavy ;akákoľvek;S011;Otvorená rana mihalnice a okolia oka
Trauma a poúrazové stavy ;akákoľvek;S0120;Otvorená rana nosa: časť bližšie neurčená
Trauma a poúrazové stavy ;akákoľvek;S0121;Otvorená rana nosa: vonkajšia koža nosa
Trauma a poúrazové stavy ;akákoľvek;S0122;Otvorená rana nosa: nosové dierky
Trauma a poúrazové stavy ;akákoľvek;S0123;Otvorená rana nosa: nosová priehradka
Trauma a poúrazové stavy ;akákoľvek;S0129;Otvorená rana nosa: iné a viaceré časti nosa
Trauma a poúrazové stavy ;akákoľvek;S0130;Otvorená rana ucha: časť bližšie neurčená
Trauma a poúrazové stavy ;akákoľvek;S0131;Otvorená rana ucha: ušnica
Trauma a poúrazové stavy ;akákoľvek;S0133;Otvorená rana ucha: tragus
Trauma a poúrazové stavy ;akákoľvek;S0134;Otvorená rana ucha: vonkajší zvukovod
Trauma a poúrazové stavy ;akákoľvek;S0135;Otvorená rana ucha: sluchová trubica
Trauma a poúrazové stavy ;akákoľvek;S0136;Otvorená rana ucha: sluchové kostičky
Trauma a poúrazové stavy ;akákoľvek;S0137;Otvorená rana ucha: bubienok
Trauma a poúrazové stavy ;akákoľvek;S0138;Otvorená rana: vnútorné ucho
Trauma a poúrazové stavy ;akákoľvek;S0139;Otvorená rana ucha: iné a viaceré časti ucha a sluchových štruktúr
Trauma a poúrazové stavy ;akákoľvek;S0141;Otvorená rana líca a temporomandibulárnej oblasti: líce
Trauma a poúrazové stavy ;akákoľvek;S0142;Otvorená rana líca a temporomandibulárnej oblasti: oblasť hornej čeľuste
Trauma a poúrazové stavy ;akákoľvek;S0143;Otvorená rana líca a temporomandibulárnej oblasti: oblasť sánky
Trauma a poúrazové stavy ;akákoľvek;S0149;Otvorená rana líca a temporomandibulárnej oblasti: iné a viaceré časti
Trauma a poúrazové stavy ;akákoľvek;S0150;Otvorená rana pery a ústnej dutiny: ústa, bližšie neurčená časť
Trauma a poúrazové stavy ;akákoľvek;S0151;Otvorená rana pery a ústnej dutiny: pera
Trauma a poúrazové stavy ;akákoľvek;S0152;Otvorená rana pery a ústnej dutiny: sliznica líca
Trauma a poúrazové stavy ;akákoľvek;S0153;Otvorená rana pery a ústnej dutiny: ďasná (Processus alveolaris)
Trauma a poúrazové stavy ;akákoľvek;S0154;Otvorená rana pery a ústnej dutiny: jazyk a ústna spodina
Trauma a poúrazové stavy ;akákoľvek;S0155;Otvorená rana pery a ústnej dutiny: podnebie
Trauma a poúrazové stavy ;akákoľvek;S0159;Otvorená rana pery a ústnej dutiny: iné a viaceré časti pier a ústnej dutiny
Trauma a poúrazové stavy ;akákoľvek;S017;Viaceré otvorené rany hlavy
Trauma a poúrazové stavy ;akákoľvek;S0180;Otvorená rana iných častí hlavy, bližšie neurčená
Trauma a poúrazové stavy ;akákoľvek;S0183!;Otvorená rana (ktorákoľvek časť hlavy) v spojení s intrakraniálnym poranením
Trauma a poúrazové stavy ;akákoľvek;S0184!;Poškodenie mäkkých častí I. stupňa pri zatvorenej zlomenine alebo vykĺbení na hlave
Trauma a poúrazové stavy ;akákoľvek;S0185!;Poškodenie mäkkých častí II. stupňa pri zatvorenej zlomenine alebo vykĺbení na hlave
Trauma a poúrazové stavy ;akákoľvek;S0186!;Poškodenie mäkkých častí III. stupňa pri zatvorenej zlomenine alebo vykĺbení na hlave
Trauma a poúrazové stavy ;akákoľvek;S0187!;Poškodenie mäkkých častí I. stupňa pri otvorenej zlomenine alebo vykĺbení na hlave
Trauma a poúrazové stavy ;akákoľvek;S0188!;Poškodenie mäkkých častí II. stupňa pri otvorenej zlomenine alebo vykĺbení na hlave
Trauma a poúrazové stavy ;akákoľvek;S0189!;Poškodenie mäkkých častí III. stupňa pri otvorenej zlomenine alebo vykĺbení na hlave
Trauma a poúrazové stavy ;akákoľvek;S019;Otvorená rana hlavy, bližšie neurčenej časti
Trauma a poúrazové stavy ;akákoľvek;S020;Zlomenina lebkovej klenby
Trauma a poúrazové stavy ;akákoľvek;S021;Zlomenina spodiny lebky
Trauma a poúrazové stavy ;akákoľvek;S022;Zlomenina nosových kostí
Trauma a poúrazové stavy ;akákoľvek;S023;Zlomenina spodiny očnice
Trauma a poúrazové stavy ;akákoľvek;S024;Zlomenina jarmovej kosti a hornej čeľuste
Trauma a poúrazové stavy ;akákoľvek;S025;Zlomenina zuba
Trauma a poúrazové stavy ;akákoľvek;S0260;Zlomenina sánky: bližšie neurčená časť
Trauma a poúrazové stavy ;akákoľvek;S0261;Zlomenina sánky: processus condylaris
Trauma a poúrazové stavy ;akákoľvek;S0262;Zlomenina sánky: subkondylová
Trauma a poúrazové stavy ;akákoľvek;S0263;Zlomenina sánky: processus coronoideus
Trauma a poúrazové stavy ;akákoľvek;S0264;Zlomenina sánky: ramus mandibulae, bližšie neurčený
Trauma a poúrazové stavy ;akákoľvek;S0265;Zlomenina sánky: angulus mandibulae
Trauma a poúrazové stavy ;akákoľvek;S0266;Zlomenina sánky: symphysis mandibulae
Trauma a poúrazové stavy ;akákoľvek;S0267;Zlomenina sánky: pars alveolaris
Trauma a poúrazové stavy ;akákoľvek;S0268;Zlomenina sánky: corpus mandibulae, iné a bližšie neurčené časti
Trauma a poúrazové stavy ;akákoľvek;S0269;Zlomenina sánky: viaceré časti
Trauma a poúrazové stavy ;akákoľvek;S027;Viaceré zlomeniny lebky a tvárových kostí
Trauma a poúrazové stavy ;akákoľvek;S028;Zlomenina inej kosti lebky a tváre
Trauma a poúrazové stavy ;akákoľvek;S029;Zlomenina kosti lebky a tváre, bližšie neurčená časť
Trauma a poúrazové stavy ;akákoľvek;S030;Vykĺbenie sánky
Trauma a poúrazové stavy ;akákoľvek;S031;Dislokácia chrupkovej časti nosovej priehradky
Trauma a poúrazové stavy ;akákoľvek;S032;Dislokácia zuba
Trauma a poúrazové stavy ;akákoľvek;S033;Vykĺbenie inej a bližšie neurčenej časti hlavy
Trauma a poúrazové stavy ;akákoľvek;S034;Vyvrtnutie a natiahnutie sánky
Trauma a poúrazové stavy ;akákoľvek;S035;Vyvrtnutie a natiahnutie kĺbov a väzov iných a bližšie neurčených častí hlavy
Trauma a poúrazové stavy ;akákoľvek;S040;Poranenie zrakového nervu (n. opticus) a zrakových dráh
Trauma a poúrazové stavy ;akákoľvek;S041;Poranenie okohybného nervu (n. oculomotorius)
Trauma a poúrazové stavy ;akákoľvek;S042;Poranenie kladkového nervu (n. trochlearis)
Trauma a poúrazové stavy ;akákoľvek;S043;Poranenie trojklaného nervu (n. trigeminus)
Trauma a poúrazové stavy ;akákoľvek;S044;Poranenie odťahujúceho nervu (n. abducens)
Trauma a poúrazové stavy ;akákoľvek;S045;Poranenie tvárového nervu (n. facialis)
Trauma a poúrazové stavy ;akákoľvek;S046;Poranenie sluchového nervu (n. acusticus)
Trauma a poúrazové stavy ;akákoľvek;S047;Poranenie prídavného nervu (n. accessorius)
Trauma a poúrazové stavy ;akákoľvek;S048;Poranenie iného hlavového nervu
Trauma a poúrazové stavy ;akákoľvek;S049;Poranenie bližšie neurčeného hlavového nervu
Trauma a poúrazové stavy ;akákoľvek;S050;Poranenie spojovky a abrázia rohovky bez zmienky o cudzom telese
Trauma a poúrazové stavy ;akákoľvek;S051;Pomliaždenie očnej gule a tkanív očnice
Trauma a poúrazové stavy ;akákoľvek;S052;Tržná rana a roztrhnutie oka s prolapsom alebo stratou vnútroočného tkaniva
Trauma a poúrazové stavy ;akákoľvek;S053;Tržná rana oka bez prolapsu alebo straty vnútroočného tkaniva
Trauma a poúrazové stavy ;akákoľvek;S054;Penetrujúca rana očnice s cudzím telesom alebo bez cudzieho telesa
Trauma a poúrazové stavy ;akákoľvek;S055;Penetrujúca rana očnej gule s cudzím telesom
Trauma a poúrazové stavy ;akákoľvek;S056;Penetrujúca rana očnej gule bez cudzieho telesa
Trauma a poúrazové stavy ;akákoľvek;S057;Avulzia (vytrhnutie) oka
Trauma a poúrazové stavy ;akákoľvek;S058;Iné poranenie oka a očnice
Trauma a poúrazové stavy ;akákoľvek;S059;Poranenie oka a očnice, bližšie neurčené
Trauma a poúrazové stavy ;akákoľvek;S060;Otras mozgu
Trauma a poúrazové stavy ;akákoľvek;S061;Poúrazový opuch mozgu
Trauma a poúrazové stavy ;akákoľvek;S0620;Difúzne poranenie mozgu a mozočka, bližšie neurčené
Trauma a poúrazové stavy ;akákoľvek;S0621;Difúzne pomliaždenie mozgu
Trauma a poúrazové stavy ;akákoľvek;S0622;Difúzne pomliaždenie mozočka
Trauma a poúrazové stavy ;akákoľvek;S0623;Viaceré vnútromozgové a mozočkové hematómy
Trauma a poúrazové stavy ;akákoľvek;S0628;Iné difúzne poranenie mozgu a mozočka
Trauma a poúrazové stavy ;akákoľvek;S0630;Ložiskové poranenie mozgu a mozočka, bližšie neurčené
Trauma a poúrazové stavy ;akákoľvek;S0631;Ložiskové pomliaždenie mozgu
Trauma a poúrazové stavy ;akákoľvek;S0632;Ložiskové pomliaždenie mozočka
Trauma a poúrazové stavy ;akákoľvek;S0633;Ložiskový hematóm mozgu
Trauma a poúrazové stavy ;akákoľvek;S0634;Ložiskový hematóm mozočka
Trauma a poúrazové stavy ;akákoľvek;S0638;Iné ložiskové poranenie mozgu a mozočka
Trauma a poúrazové stavy ;akákoľvek;S064;Epidurálne krvácanie
Trauma a poúrazové stavy ;akákoľvek;S065;Subdurálne krvácanie po úraze
Trauma a poúrazové stavy ;akákoľvek;S066;Subarachnoidálne krvácanie po úraze
Trauma a poúrazové stavy ;akákoľvek;S0670!;Bezvedomie pri poranení lebky a mozgu, trvajúce menej ako 30 minút
Trauma a poúrazové stavy ;akákoľvek;S0671!;Bezvedomie pri poranení lebky a mozgu, trvajúce 30 minút až 24 hodín
Trauma a poúrazové stavy ;akákoľvek;S0672!;Bezvedomie pri poranení lebky a mozgu, trvajúce viac ako 24 hodín, s návratom do pôvodného stavu vedomia
Trauma a poúrazové stavy ;akákoľvek;S0673!;Bezvedomie pri poranení lebky a mozgu, trvajúce viac ako 24 hodín, bez návratu do pôvodného stavu vedomia
Trauma a poúrazové stavy ;akákoľvek;S0679!;Bezvedomie pri poranení lebky a mozgu, bližšie neurčeného trvania
Trauma a poúrazové stavy ;akákoľvek;S068;Iné vnútrolebkové poranenie
Trauma a poúrazové stavy ;akákoľvek;S069;Vnútrolebkové poranenie, bližšie neurčené
Trauma a poúrazové stavy ;akákoľvek;S070;Drvivé poranenie tváre
Trauma a poúrazové stavy ;akákoľvek;S071;Drvivé poranenie lebky
Trauma a poúrazové stavy ;akákoľvek;S078;Drvivé poranenie iných častí hlavy
Trauma a poúrazové stavy ;akákoľvek;S079;Drvivé poranenie hlavy, časť bližšie neurčená
Trauma a poúrazové stavy ;akákoľvek;S080;Avulzia (odtrhnutie) vlasatej časti hlavy
Trauma a poúrazové stavy ;akákoľvek;S081;Úrazová amputácia ucha
Trauma a poúrazové stavy ;akákoľvek;S088;Úrazová amputácia inej časti hlavy
Trauma a poúrazové stavy ;akákoľvek;S089;Úrazová amputácia bližšie neurčenej časti hlavy
Trauma a poúrazové stavy ;akákoľvek;S090;Poranenie cievy hlavy, nezatriedené inde
Trauma a poúrazové stavy ;akákoľvek;S091;Poranenie svalu a šľachy hlavy
Trauma a poúrazové stavy ;akákoľvek;S092;Úrazové roztrhnutie ušného bubienka
Trauma a poúrazové stavy ;akákoľvek;S097;Viaceré poranenia hlavy
Trauma a poúrazové stavy ;akákoľvek;S098;Iné poranenie hlavy, bližšie určené
Trauma a poúrazové stavy ;akákoľvek;S099;Poranenie hlavy, bližšie neurčené
Trauma a poúrazové stavy ;akákoľvek;S100;Pomliaždenie hrdla
Trauma a poúrazové stavy ;akákoľvek;S1010;Iné a bližšie neurčené povrchové poranenia hrdla: druh poranenia bližšie neurčený
Trauma a poúrazové stavy ;akákoľvek;S1011;Iné a bližšie neurčené povrchové poranenia hrdla: odrenina
Trauma a poúrazové stavy ;akákoľvek;S1012;Iné a bližšie neurčené povrchové poranenia hrdla: tvorba pľuzgierov (netermických)
Trauma a poúrazové stavy ;akákoľvek;S1013;Iné a bližšie neurčené povrchové poranenia hrdla: uštipnutie hmyzom alebo vpich (nejedovatý)
Trauma a poúrazové stavy ;akákoľvek;S1014;Iné a bližšie neurčené povrchové poranenia hrdla: povrchové cudzie telesá (úlomky)
Trauma a poúrazové stavy ;akákoľvek;S1018;Iné a bližšie neurčené povrchové poranenia hrdla: iné
Trauma a poúrazové stavy ;akákoľvek;S107;Viaceré povrchové poranenia krku
Trauma a poúrazové stavy ;akákoľvek;S1080;Povrchové poranenie inej časti krku: druh poranenia bližšie neurčený
Trauma a poúrazové stavy ;akákoľvek;S1081;Povrchové poranenie inej časti krku: odrenina
Trauma a poúrazové stavy ;akákoľvek;S1082;Povrchové poranenie inej časti krku: tvorba pľuzgierov (netermických)
Trauma a poúrazové stavy ;akákoľvek;S1083;Povrchové poranenie inej časti krku: uštipnutie hmyzom alebo vpich (nejedovatý)
Trauma a poúrazové stavy ;akákoľvek;S1084;Povrchové poranenie inej časti krku: povrchové cudzie teleso (úlomky)
Trauma a poúrazové stavy ;akákoľvek;S1085;Povrchové poranenie inej časti krku: pomliaždenie
Trauma a poúrazové stavy ;akákoľvek;S1088;Povrchové poranenie inej časti krku: iné
Trauma a poúrazové stavy ;akákoľvek;S1090;Povrchové poranenie krku, bližšie neurčená časť: druh poranenia bližšie neurčený
Trauma a poúrazové stavy ;akákoľvek;S1091;Povrchové poranenie krku, bližšie neurčená časť: odrenina
Trauma a poúrazové stavy ;akákoľvek;S1092;Povrchové poranenie krku, bližšie neurčená časť: tvorba pľuzgierov (netermických)
Trauma a poúrazové stavy ;akákoľvek;S1093;Povrchové poranenie krku, bližšie neurčená časť: uštipnutie hmyzom alebo vpich (nejedovatý)
Trauma a poúrazové stavy ;akákoľvek;S1094;Povrchové poranenie krku, bližšie neurčená časť: povrchové cudzie telesá (úlomky)
Trauma a poúrazové stavy ;akákoľvek;S1095;Povrchové poranenie krku, bližšie neurčená časť: pomliaždenie
Trauma a poúrazové stavy ;akákoľvek;S1098;Povrchové poranenie krku, bližšie neurčená časť: iné
Trauma a poúrazové stavy ;akákoľvek;S1101;Otvorená rana hrtana
Trauma a poúrazové stavy ;akákoľvek;S1102;Otvorená rana krčnej časti priedušnice
Trauma a poúrazové stavy ;akákoľvek;S111;Otvorená rana postihujúca štítnu žľazu
Trauma a poúrazové stavy ;akákoľvek;S1121;Otvorená rana hltana
Trauma a poúrazové stavy ;akákoľvek;S1122;Otvorená rana krčnej časti pažeráka
Trauma a poúrazové stavy ;akákoľvek;S117;Viaceré otvorené rany krku
Trauma a poúrazové stavy ;akákoľvek;S1180;Bližšie neurčená otvorená rana iných častí krku
Trauma a poúrazové stavy ;akákoľvek;S1184!;Poškodenie mäkkých častí I. stupňa pri zatvorenej zlomenine alebo vykĺbení na krku
Trauma a poúrazové stavy ;akákoľvek;S1185!;Poškodenie mäkkých častí II. stupňa pri zatvorenej zlomenine alebo vykĺbení na krku
Trauma a poúrazové stavy ;akákoľvek;S1186!;Poškodenie mäkkých častí III. stupňa pri zatvorenej zlomenine alebo vykĺbení na krku
Trauma a poúrazové stavy ;akákoľvek;S1187!;Poškodenie mäkkých častí I. stupňa pri otvorenej zlomenine alebo vykĺbení na krku
Trauma a poúrazové stavy ;akákoľvek;S1188!;Poškodenie mäkkých častí II. stupňa pri otvorenej zlomenine alebo vykĺbení na krku
Trauma a poúrazové stavy ;akákoľvek;S1189!;Poškodenie mäkkých častí III. stupňa pri otvorenej zlomenine alebo vykĺbení na krku
Trauma a poúrazové stavy ;akákoľvek;S119;Otvorená rana krku, bližšie neurčenej časti
Trauma a poúrazové stavy ;akákoľvek;S120;Zlomenina 1.krčného stavca
Trauma a poúrazové stavy ;akákoľvek;S121;Zlomenina 2.krčného stavca
Trauma a poúrazové stavy ;akákoľvek;S1221;Zlomenina 3.krčného stavca
Trauma a poúrazové stavy ;akákoľvek;S1222;Zlomenina 4. krčného stavca
Trauma a poúrazové stavy ;akákoľvek;S1223;Zlomenina 5. krčného stavca
Trauma a poúrazové stavy ;akákoľvek;S1224;Zlomenina 6. krčného stavca
Trauma a poúrazové stavy ;akákoľvek;S1225;Zlomenina 7. krčného stavca
Trauma a poúrazové stavy ;akákoľvek;S127;Viaceré zlomeniny krčnej chrbtice
Trauma a poúrazové stavy ;akákoľvek;S128;Zlomenina iných častí krku
Trauma a poúrazové stavy ;akákoľvek;S129;Zlomenina krku, bližšie neurčenej časti
Trauma a poúrazové stavy ;akákoľvek;S130;Úrazové natrhnutie krčnej medzistavcovej platničky
Trauma a poúrazové stavy ;akákoľvek;S1310;Vykĺbenie krčného stavca v bližšie neurčenej úrovni
Trauma a poúrazové stavy ;akákoľvek;S1311;Vykĺbenie krčného stavca v úrovni C1/C2
Trauma a poúrazové stavy ;akákoľvek;S1312;Vykĺbenie krčného stavca v úrovni C2/C3
Trauma a poúrazové stavy ;akákoľvek;S1313;Vykĺbenie krčného stavca v úrovni C3/C4
Trauma a poúrazové stavy ;akákoľvek;S1314;Vykĺbenie krčného stavca v úrovni C4/C5
Trauma a poúrazové stavy ;akákoľvek;S1315;Vykĺbenie krčného stavca v úrovni C5/C6
Trauma a poúrazové stavy ;akákoľvek;S1316;Vykĺbenie krčného stavca v úrovni C6/C7
Trauma a poúrazové stavy ;akákoľvek;S1317;Vykĺbenie krčného stavca v úrovni C7/Th1
Trauma a poúrazové stavy ;akákoľvek;S1318;Vykĺbenie krčného stavca v inej úrovni
Trauma a poúrazové stavy ;akákoľvek;S132;Vykĺbenie inej a bližšie neurčenej časti krku
Trauma a poúrazové stavy ;akákoľvek;S133;Viaceré vykĺbenia v oblasti krku
Trauma a poúrazové stavy ;akákoľvek;S134;Vyvrtnutie a natiahnutie krčnej chrbtice
Trauma a poúrazové stavy ;akákoľvek;S135;Vyvrtnutie a natiahnutie krku v oblasti štítnej žľazy
Trauma a poúrazové stavy ;akákoľvek;S136;Vyvrtnutie a natiahnutie kĺbov a väzov iných a bližšie neurčených častí krku
Trauma a poúrazové stavy ;akákoľvek;S140;Otras a opuch krčnej miechy
Trauma a poúrazové stavy ;akákoľvek;S1410;Poranenie krčnej miechy, bližšie neurčené
Trauma a poúrazové stavy ;akákoľvek;S1411;Kompletné priečne poranenie krčnej miechy
Trauma a poúrazové stavy ;akákoľvek;S1412;Poranenie centrálnej časti krčnej miechy (nekompletné priečne poranenie)
Trauma a poúrazové stavy ;akákoľvek;S1413;Iné nekompletné priečne poranenie krčnej miechy
Trauma a poúrazové stavy ;akákoľvek;S142;Poranenie krčného nervového koreňa
Trauma a poúrazové stavy ;akákoľvek;S143;Poranenie plexus brachialis
Trauma a poúrazové stavy ;akákoľvek;S144;Poranenie periférnych krčných nervov
Trauma a poúrazové stavy ;akákoľvek;S145;Poranenie nervov krčného sympatika
Trauma a poúrazové stavy ;akákoľvek;S146;Poranenie iných a bližšie neurčených krčných nervov
Trauma a poúrazové stavy ;akákoľvek;S147-!;Funkčná úroveň pri poranení krčnej miechy
Trauma a poúrazové stavy ;akákoľvek;S1470!;Funkčná úroveň pri poranení krčnej miechy: bližšie neurčená
Trauma a poúrazové stavy ;akákoľvek;S1471!;Funkčná úroveň pri poranení krčnej miechy: C1
Trauma a poúrazové stavy ;akákoľvek;S1472!;Funkčná úroveň pri poranení krčnej miechy: C2
Trauma a poúrazové stavy ;akákoľvek;S1473!;Funkčná úroveň pri poranení krčnej miechy: C3
Trauma a poúrazové stavy ;akákoľvek;S1474!;Funkčná úroveň pri poranení krčnej miechy: C4
Trauma a poúrazové stavy ;akákoľvek;S1475!;Funkčná úroveň pri poranení krčnej miechy: C5
Trauma a poúrazové stavy ;akákoľvek;S1476!;Funkčná úroveň pri poranení krčnej miechy: C6
Trauma a poúrazové stavy ;akákoľvek;S1477!;Funkčná úroveň pri poranení krčnej miechy: C7
Trauma a poúrazové stavy ;akákoľvek;S1478!;Funkčná úroveň pri poranení krčnej miechy: C8
Trauma a poúrazové stavy ;akákoľvek;S1500;Poranenie a.carotis, časť bližšie neurčená
Trauma a poúrazové stavy ;akákoľvek;S1501;Poranenie a.carotis communis
Trauma a poúrazové stavy ;akákoľvek;S1502;Poranenie a.carotis externa
Trauma a poúrazové stavy ;akákoľvek;S1503;Poranenie a.carotis interna
Trauma a poúrazové stavy ;akákoľvek;S151;Poranenie a.vertebralis
Trauma a poúrazové stavy ;akákoľvek;S152;Poranenie v. jugularis externa
Trauma a poúrazové stavy ;akákoľvek;S153;Poranenie v. jugularis interna
Trauma a poúrazové stavy ;akákoľvek;S157;Poranenie viacerých krvných ciev v úrovni krku
Trauma a poúrazové stavy ;akákoľvek;S158;Poranenie iných krvných ciev v úrovni krku
Trauma a poúrazové stavy ;akákoľvek;S159;Poranenie krvných ciev v úrovni krku, bližšie neurčených
Trauma a poúrazové stavy ;akákoľvek;S16;Poranenie svalov a šliach v úrovni krku
Trauma a poúrazové stavy ;akákoľvek;S170;Drvivé poranenie hrtana a priedušnice
Trauma a poúrazové stavy ;akákoľvek;S178;Drvivé poranenie inej časti krku
Trauma a poúrazové stavy ;akákoľvek;S179;Drvivé poranenie bližšie neurčenej časti krku
Trauma a poúrazové stavy ;akákoľvek;S18;Úrazová amputácia v úrovni krku
Trauma a poúrazové stavy ;akákoľvek;S197;Viaceré poranenia krku
Trauma a poúrazové stavy ;akákoľvek;S198;Iné poranenie krku, bližšie určené
Trauma a poúrazové stavy ;akákoľvek;S199;Poranenie krku, bližšie neurčené
Trauma a poúrazové stavy ;akákoľvek;S20-S29;Poranenia hrudníka
Trauma a poúrazové stavy ;akákoľvek;S200;Pomliaždenie prsníka
Trauma a poúrazové stavy ;akákoľvek;S2010;Iné a bližšie neurčené povrchové poranenia prsníka: druh poranenia bližšie neurčený
Trauma a poúrazové stavy ;akákoľvek;S2011;Iné a bližšie neurčené povrchové poranenia prsníka: odrenina
