kodHDg;nazovHDg;kodMS;nazovMS
E1391;Iný diabetes mellitus, bližšie určený: bez komplikácií, dekompenzovaný;S67-07;Diabetes mellitus
E1401;Diabetes mellitus, bližšie neurčený: s kómou, dekompenzovaný;S67-02;Diabetes mellitus s kómou / s komplikáciami
E1411;Diabetes mellitus, bližšie neurčený: s ketoacidózou, dekompenzovaný;S67-07;Diabetes mellitus
E1420;Diabetes mellitus, bližšie neurčený: s obličkovými komplikáciami, kompenzovaný;S67-02;Diabetes mellitus s kómou / s komplikáciami
E1421;Diabetes mellitus, bližšie neurčený: s obličkovými komplikáciami, dekompenzovaný;S67-02;Diabetes mellitus s kómou / s komplikáciami
E1430;Diabetes mellitus, bližšie neurčený: s očnými komplikáciami, kompenzovaný;S62-47;Endokrinne podmienené ochorenia očí
E1431;Diabetes mellitus, bližšie neurčený: s očnými komplikáciami, dekompenzovaný;S62-47;Endokrinne podmienené ochorenia očí
E1440;Diabetes mellitus, bližšie neurčený: s nervovými komplikáciami, kompenzovaný;S67-02;Diabetes mellitus s kómou / s komplikáciami
E1441;Diabetes mellitus, bližšie neurčený: s nervovými komplikáciami, dekompenzovaný;S67-02;Diabetes mellitus s kómou / s komplikáciami
E1450;Diabetes mellitus, bližšie neurčený: s periférnymi cievnymi komplikáciami, kompenzovaný;S64-26;Periférne ochorenia ciev
E1451;Diabetes mellitus, bližšie neurčený: s periférnymi cievnymi komplikáciami, dekompenzovaný;S64-26;Periférne ochorenia ciev
E1460;Diabetes mellitus, bližšie neurčený: s inými bližšie určenými komplikáciami, kompenzovaný;S67-07;Diabetes mellitus
E1461;Diabetes mellitus, bližšie neurčený: s inými bližšie určenými komplikáciami, dekompenzovaný;S67-07;Diabetes mellitus
E1472;Diabetes mellitus, bližšie neurčený: s inými mnohopočetnými komplikáciami, kompenzovaný;S67-07;Diabetes mellitus
E1473;Diabetes mellitus, bližšie neurčený: s mnohopočetnými komplikáciami, dekompenzovaný;S67-07;Diabetes mellitus
E1474;Diabetes mellitus, bližšie neurčený: s mnohopočetnými komplikáciami, so syndrómom diabetickej nohy, kompenzovaný;S67-07;Diabetes mellitus
E1475;Diabetes mellitus, bližšie neurčený: s mnohopočetnými komplikáciami, so syndrómom diabetickej nohy, dekompenzovaný;S67-07;Diabetes mellitus
E1480;Diabetes mellitus, bližšie neurčený: s bližšie neurčenými komplikáciami, kompenzovaný;S67-07;Diabetes mellitus
E1481;Diabetes mellitus, bližšie neurčený: s bližšie neurčenými komplikáciami, dekompenzovaný;S67-07;Diabetes mellitus
E1490;Diabetes mellitus, bližšie neurčený: bez komplikácií, kompenzovaný;S67-07;Diabetes mellitus
E1491;Diabetes mellitus, bližšie neurčený: bez komplikácií, dekompenzovaný;S67-07;Diabetes mellitus
E15;Nediabetická hypoglykemická kóma;S67-09;Stredne závažné poruchy metabolizmu
E160;Hypoglykémia zapríčinená liekmi, bez kómy;S67-08;Endokrinopatie
E161;Iná hypoglykémia;S67-08;Endokrinopatie
E162;Hypoglykémia, bližšie neurčená;S67-09;Stredne závažné poruchy metabolizmu
E163;Zvýšená sekrécia glukagónu;S67-03;Vysoko komplexné endokrinopatie
E164;Abnormálna sekrécia gastrínu;S66-07;Gastrointestinálne krvácanie III
E168;Iná porucha vnútornej sekrécie podžalúdkovej žľazy, bližšie určená;S67-08;Endokrinopatie
E169;Porucha vnútornej sekrécie podžalúdkovej žľazy, bližšie neurčená;S67-08;Endokrinopatie
E200;Idiopatická hypoparatyreóza;S67-08;Endokrinopatie
E201;Pseudohypoparatyreóza;S67-09;Stredne závažné poruchy metabolizmu
E208;Iná hypoparatyreóza;S67-08;Endokrinopatie
E209;Hypoparatyreóza, bližšie neurčená;S67-08;Endokrinopatie
E210;Primárna hyperparatyreóza;S67-08;Endokrinopatie
E211;Sekundárna hyperparatyreóza, nezatriedená inde;S67-08;Endokrinopatie
E212;Iná hyperparatyreóza;S67-08;Endokrinopatie
E213;Hyperparatyreóza, bližšie neurčená;S67-08;Endokrinopatie
E214;Iná bližšie určená choroba prištítnych žliaz;S67-08;Endokrinopatie
E215;Choroba prištítnych žliaz, bližšie neurčená;S67-08;Endokrinopatie
E220;Akromegália a pituitárny gigantizmus;S67-03;Vysoko komplexné endokrinopatie
E221;Hyperprolaktinémia;S67-03;Vysoko komplexné endokrinopatie
E222;Syndróm neprimeranej sekrécie antidiuretického hormónu;S67-03;Vysoko komplexné endokrinopatie
E228;Iná hyperfunkcia hypofýzy;S67-03;Vysoko komplexné endokrinopatie
E229;Hyperfunkcia hypofýzy, bližšie neurčená;S67-03;Vysoko komplexné endokrinopatie
E230;Hypopituitarizmus;S67-03;Vysoko komplexné endokrinopatie
E231;Hypopituitarizmus zapríčinený liekom;S67-03;Vysoko komplexné endokrinopatie
E232;Diabetes insipidus;S67-03;Vysoko komplexné endokrinopatie
E233;Dysfunkcia hypotalamu, nezatriedená inde;S67-03;Vysoko komplexné endokrinopatie
E236;Iná choroba hypofýzy;S67-03;Vysoko komplexné endokrinopatie
E237;Choroba hypofýzy, bližšie neurčená;S67-03;Vysoko komplexné endokrinopatie
E240;Centrálny Cushingov syndróm;S67-03;Vysoko komplexné endokrinopatie
E241;Nelsonov syndróm;S67-03;Vysoko komplexné endokrinopatie
E242;Cushingov syndróm zapríčinený liekom;S67-03;Vysoko komplexné endokrinopatie
E243;Ektopický ACTH-syndróm;S67-03;Vysoko komplexné endokrinopatie
E244;Pseudo-Cushingov syndróm zapríčinený alkoholom;S67-03;Vysoko komplexné endokrinopatie
E248;Periférny Cushingov syndróm;S67-03;Vysoko komplexné endokrinopatie
E249;Cushingov syndróm, bližšie neurčený;S67-03;Vysoko komplexné endokrinopatie
E2500;Adrenogenitálna porucha, typ 3 (nedostatok 21-hydroxylázy), klasická forma;S67-03;Vysoko komplexné endokrinopatie
E2501;Adrenogenitálna porucha, typ 3 (nedostatok 21-hydroxylázy), forma s neskorým nástupom;S67-03;Vysoko komplexné endokrinopatie
E2508;Iná vrodená adrenogenitálna porucha spojená s nedostatkom enzýmov;S67-03;Vysoko komplexné endokrinopatie
E2509;Vrodená adrenogenitálna porucha spojená s nedostatkom enzýmov, bližšie neurčená;S67-03;Vysoko komplexné endokrinopatie
E258;Iná adrenogenitálna porucha;S67-03;Vysoko komplexné endokrinopatie
E259;Adrenogenitálna porucha, bližšie neurčená;S67-03;Vysoko komplexné endokrinopatie
E260;Primárny hyperaldosteronizmus;S67-03;Vysoko komplexné endokrinopatie
E261;Sekundárny hyperaldosteronizmus;S67-03;Vysoko komplexné endokrinopatie
E268;Iný hyperaldosteronizmus;S67-03;Vysoko komplexné endokrinopatie
E269;Hyperaldosteronizmus, bližšie neurčený;S67-03;Vysoko komplexné endokrinopatie
E270;Iná hyperfunkcia kôry nadobličiek;S67-03;Vysoko komplexné endokrinopatie
E271;Primárna nedostatočnosť kôry nadobličiek (Addisonova choroba);S67-03;Vysoko komplexné endokrinopatie
E272;Addisonova kríza;S67-03;Vysoko komplexné endokrinopatie
E273;Nedostatočnosť kôry nadobličiek zapríčinená liekmi;S67-03;Vysoko komplexné endokrinopatie
E274;Iná a bližšie neurčená nedostatočnosť kôry nadobličiek;S67-08;Endokrinopatie
E275;Hyperfunkcia drene nadobličiek;S67-03;Vysoko komplexné endokrinopatie
E278;Iná choroba nadobličiek, bližšie určená;S67-03;Vysoko komplexné endokrinopatie
E279;Choroba nadobličiek, bližšie neurčená;S67-03;Vysoko komplexné endokrinopatie
E280;Porucha funkcie vaječníkov s nadbytkom estrogénov;S60-18;Poruchy menštruačného cyklu a iné ochorenia ženských pohlavných orgánov
E281;Porucha funkcie vaječníkov s nadbytkom androgénov;S60-18;Poruchy menštruačného cyklu a iné ochorenia ženských pohlavných orgánov
E282;Syndróm polycystických ovárií;S60-18;Poruchy menštruačného cyklu a iné ochorenia ženských pohlavných orgánov
E283;Primárna nedostatočnosť vaječníkov;S60-18;Poruchy menštruačného cyklu a iné ochorenia ženských pohlavných orgánov
E288;Iná porucha funkcie vaječníkov;S60-18;Poruchy menštruačného cyklu a iné ochorenia ženských pohlavných orgánov
E289;Porucha funkcie vaječníkov, bližšie neurčená;S60-18;Poruchy menštruačného cyklu a iné ochorenia ženských pohlavných orgánov
E290;Hyperfunkcia semenníkov;S67-03;Vysoko komplexné endokrinopatie
E291;Hypofunkcia semenníkov;S67-03;Vysoko komplexné endokrinopatie
E298;Iná porucha funkcie semenníkov;S67-08;Endokrinopatie
E299;Porucha funkcie semenníkov, bližšie neurčená;S67-08;Endokrinopatie
E300;Oneskorená puberta;S67-08;Endokrinopatie
E301;Predčasná puberta;S67-08;Endokrinopatie
E308;Iná porucha puberty;S67-08;Endokrinopatie
E309;Porucha puberty, bližšie neurčená;S67-08;Endokrinopatie
E310;Autoimunitná polyglandulárna insuficiencia;S67-03;Vysoko komplexné endokrinopatie
E311;Polyglandulárna hyperfunkcia;S67-03;Vysoko komplexné endokrinopatie
E318;Iná polyglandulárna dysfunkcia;S67-08;Endokrinopatie
E319;Polyglandulárna dysfunkcia, bližšie neurčená;S67-08;Endokrinopatie
E320;Pretrvávajúca hyperplázia týmusu;S63-25;Ochorenia retikuloendoteliálneho systému, imunitného systému a poruchy zrážania krvi I
E321;Absces týmusu;S63-03;Ochorenia retikuloendoteliálneho systému, imunitného systému a poruchy zrážania krvi III
E328;Iná choroba týmusu;S63-09;Ochorenia retikuloendoteliálneho systému, imunitného systému a poruchy zrážania krvi II
E329;Choroba týmusu, bližšie neurčená;S63-03;Ochorenia retikuloendoteliálneho systému, imunitného systému a poruchy zrážania krvi III
E340;Karcinoidový syndróm;S67-03;Vysoko komplexné endokrinopatie
E341;Iná hypersekrécia črevných hormónov;S67-03;Vysoko komplexné endokrinopatie
E342;Ektopická sekrécia hormónov, nezatriedená inde;S67-03;Vysoko komplexné endokrinopatie
E343;Nízky vzrast, nezatriedený inde;S67-08;Endokrinopatie
E344;Konštitučne vysoká postava;S67-03;Vysoko komplexné endokrinopatie
E3450;Syndróm čiastočnej rezistencie na androgény;S67-03;Vysoko komplexné endokrinopatie
E3451;Syndróm kompletnej rezistencie na androgény;S67-03;Vysoko komplexné endokrinopatie
E3459;Syndróm rezistencie na androgény, bližšie neurčený;S67-03;Vysoko komplexné endokrinopatie
E348;Iná bližšie určená endokrinná porucha;S67-08;Endokrinopatie
E349;Endokrinná porucha, bližšie neurčená;S67-08;Endokrinopatie
E40;Kvašiorkor;S67-09;Stredne závažné poruchy metabolizmu
E41;Nutričný marazmus;S67-09;Stredne závažné poruchy metabolizmu
E42;Marantický kvašiorkor;S67-09;Stredne závažné poruchy metabolizmu
E43;Ťažká proteínovo-energetická podvýživa, bližšie neurčená;S67-09;Stredne závažné poruchy metabolizmu
E440;Proteínovo-energetická podvýživa stredného stupňa;S67-09;Stredne závažné poruchy metabolizmu
E441;Proteínovo-energetická podvýživa mierneho stupňa;S67-09;Stredne závažné poruchy metabolizmu
E45;Zaostávanie vo vývine v dôsledku proteínovo-energetickej podvýživy;S67-09;Stredne závažné poruchy metabolizmu
E46;Proteínovo-energetická podvýživa, bližšie neurčená;S67-09;Stredne závažné poruchy metabolizmu
E500;Nedostatok vitamínu A so xerózou spojovky;S62-48;Iné ochorenia oka a očných adnexov
E501;Nedostatok vitamínu A s Bitotovými škvrnami a xerózou spojovky;S62-48;Iné ochorenia oka a očných adnexov
E502;Nedostatok vitamínu A s xerózou rohovky;S62-48;Iné ochorenia oka a očných adnexov
E503;Nedostatok vitamínu A s ulceráciou a xerózou rohovky;S62-48;Iné ochorenia oka a očných adnexov
E504;Nedostatok vitamínu A s keratomaláciou;S62-48;Iné ochorenia oka a očných adnexov
E505;Nedostatok vitamínu A s nočnou slepotou;S62-48;Iné ochorenia oka a očných adnexov
E506;Nedostatok vitamínu A so xeroftalmickými jazvami rohovky;S62-48;Iné ochorenia oka a očných adnexov
E507;Iné očné prejavy nedostatku vitamínu A;S62-48;Iné ochorenia oka a očných adnexov
E508;Iné prejavy nedostatku vitamínu A;S67-12;Poruchy metabolizmu
E509;Nedostatok vitamínu A, bližšie neurčený;S67-12;Poruchy metabolizmu
E511;Beri-beri;S67-12;Poruchy metabolizmu
E512;Wernickeho encefalopatia;S67-12;Poruchy metabolizmu
E518;Iný prejav nedostatku tiamínu;S67-12;Poruchy metabolizmu
E519;Nedostatok tiamínu, bližšie neurčený;S67-12;Poruchy metabolizmu
E52;Nedostatok niacínu [Pellagra];S67-12;Poruchy metabolizmu
E530;Nedostatok riboflavínu;S67-12;Poruchy metabolizmu
E531;Nedostatok pyridoxínu;S67-12;Poruchy metabolizmu
E538;Nedostatok iného bližšie určeného vitamínu skupiny B;S67-12;Poruchy metabolizmu
E539;Nedostatok vitamínu skupiny B, bližšie neurčený;S67-12;Poruchy metabolizmu
E54;Nedostatok vitamínu C;S67-12;Poruchy metabolizmu
E550;Aktívna rachitída;S63-26;Ochorenia kostí a pohybového systému I
E559;Nedostatok vitamínu D, bližšie neurčený;S67-09;Stredne závažné poruchy metabolizmu
E560;Nedostatok vitamínu E;S67-12;Poruchy metabolizmu
E561;Nedostatok vitamínu K;S67-12;Poruchy metabolizmu
E568;Nedostatok iného vitamínu;S67-12;Poruchy metabolizmu
E569;Nedostatok vitamínu, bližšie neurčený;S67-12;Poruchy metabolizmu
E58;Nedostatok vápnika vo výžive;S67-09;Stredne závažné poruchy metabolizmu
E59;Nedostatok selénu vo výžive;S67-12;Poruchy metabolizmu
E60;Nedostatok zinku vo výžive;S67-12;Poruchy metabolizmu
E610;Nedostatok medi;S67-12;Poruchy metabolizmu
E611;Nedostatok železa;S67-12;Poruchy metabolizmu
E612;Nedostatok horčíka;S67-12;Poruchy metabolizmu
E613;Nedostatok mangánu;S67-12;Poruchy metabolizmu
E614;Nedostatok chrómu;S67-12;Poruchy metabolizmu
E615;Nedostatok molybdénu;S67-12;Poruchy metabolizmu
E616;Nedostatok vanádu;S67-12;Poruchy metabolizmu
E617;Nedostatok viacerých stopových prvkov;S67-12;Poruchy metabolizmu
E618;Nedostatok iného bližšie určeného stopového prvku;S67-12;Poruchy metabolizmu
E619;Nedostatok stopového prvku, bližšie neurčený;S67-12;Poruchy metabolizmu
E630;Nedostatok esenciálnych mastných kyselín;S67-12;Poruchy metabolizmu
E631;Nedostatok vo výžive v dôsledku nerovnováhy v zložení potravy;S67-12;Poruchy metabolizmu
E638;Iný nedostatok vo výžive, bližšie určený;S67-12;Poruchy metabolizmu
E639;Nedostatok vo výžive, bližšie neurčený;S67-12;Poruchy metabolizmu
E65;Lokalizovaná obezita;S67-12;Poruchy metabolizmu
E6600;Obezita zapríčinená nadmerným energetickým príjmom, BMI: od 30 do menej ako 35;S67-12;Poruchy metabolizmu
E6601;Obezita zapríčinená nadmerným energetickým príjmom, BMI: od 35 do menej ako 40;S67-12;Poruchy metabolizmu
E6602;Obezita zapríčinená nadmerným energetickým príjmom, BMI: od 40 a viac;S67-12;Poruchy metabolizmu
E6609;Obezita zapríčinená nadmerným energetickým príjmom, BMI neurčený;S67-12;Poruchy metabolizmu
E6610;Obezita zapríčinená liekmi, BMI: od 30 do menej ako 35;S67-12;Poruchy metabolizmu
E6611;Obezita zapríčinená liekmi, BMI: od 35 do menej ako 40;S67-12;Poruchy metabolizmu
E6612;Obezita zapríčinená liekmi, BMI: 40 a viac;S67-12;Poruchy metabolizmu
E6619;Obezita zapríčinená liekmi, BMI: neurčený;S67-12;Poruchy metabolizmu
E6620;Extrémna obezita s alveolovou hypoventiláciou, BMI: od 30 do menej ako 35;S73-50;Syndróm spánkového apnoe
E6621;Extrémna obezita s alveolovou hypoventiláciou, BMI: od 35 do menej ako 40;S73-50;Syndróm spánkového apnoe
E6622;Extrémna obezita s alveolovou hypoventiláciou, BMI: 40 a viac;S73-50;Syndróm spánkového apnoe
E6629;Extrémna obezita s alveolovou hypoventiláciou, BMI: bližšie neurčený;S73-50;Syndróm spánkového apnoe
E6680;Iná obezita, BMI: od 30 do menej ako 35;S67-12;Poruchy metabolizmu
E6681;Iná obezita, BMI: od 35 do menej ako 40;S67-12;Poruchy metabolizmu
E6682;Iná obezita, BMI: 40 a viac;S67-12;Poruchy metabolizmu
E6689;Iná obezita, BMI: neurčený;S67-12;Poruchy metabolizmu
E6690;Obezita, bližšie neurčená, BMI: od 30 do menej ako 35;S67-12;Poruchy metabolizmu
E6691;Obezita, bližšie neurčená, BMI: od 35 do menej ako 40;S67-12;Poruchy metabolizmu
E6692;Obezita, bližšie neurčená, BMI: 40 a viac;S67-12;Poruchy metabolizmu
E6699;Obezita, bližšie neurčená, BMI: neurčený;S67-12;Poruchy metabolizmu
E670;Hypervitaminóza A;S67-12;Poruchy metabolizmu
E671;Hyperkarotenémia;S67-12;Poruchy metabolizmu
E672;Syndróm nadbytku vitamínu B6;S67-12;Poruchy metabolizmu
E673;Hypervitaminóza D;S67-09;Stredne závažné poruchy metabolizmu
E678;Iná bližšie určená nadmerná výživa;S67-12;Poruchy metabolizmu
E700;Klasická fenylketonúria;S67-04;Závažné poruchy metabolizmu
E701;Iná hyperfenylalaninémia;S67-04;Závažné poruchy metabolizmu
E702;Porucha metabolizmu tyrozínu;S67-04;Závažné poruchy metabolizmu
E703;Albinizmus;S67-04;Závažné poruchy metabolizmu
E708;Iná porucha metabolizmu aromatických aminokyselín;S67-04;Závažné poruchy metabolizmu
E709;Porucha metabolizmu aromatických aminokyselín, bližšie neurčená;S67-04;Závažné poruchy metabolizmu
E710;Choroba javorového sirupu [Leucinóza];S67-04;Závažné poruchy metabolizmu
E711;Iná porucha metabolizmu aminokyselín s rozvetveným reťazcom;S67-04;Závažné poruchy metabolizmu
E712;Porucha metabolizmu aminokyselín s rozvetveným reťazcom, bližšie neurčená;S67-04;Závažné poruchy metabolizmu
E713;Porucha metabolizmu mastných kyselín;S67-04;Závažné poruchy metabolizmu
E720;Porucha transportu aminokyselín;S67-04;Závažné poruchy metabolizmu
E721;Porucha metabolizmu aminokyselín obsahujúcich síru;S67-04;Závažné poruchy metabolizmu
E722;Porucha metabolického cyklu močoviny;S67-04;Závažné poruchy metabolizmu
E723;Porucha metabolizmu lyzínu a hydroxylyzínu;S67-04;Závažné poruchy metabolizmu
E724;Porucha metabolizmu ornitínu;S67-04;Závažné poruchy metabolizmu
E725;Porucha metabolizmu glycínu;S67-04;Závažné poruchy metabolizmu
E728;Iná porucha metabolizmu aminokyselín, bližšie určená;S67-04;Závažné poruchy metabolizmu
E729;Porucha metabolizmu aminokyselín, bližšie neurčená;S67-04;Závažné poruchy metabolizmu
E730;Vrodený nedostatok laktázy;S66-46;Iné ochorenia GIT I
E731;Sekundárny nedostatok laktázy;S66-46;Iné ochorenia GIT I
E738;Iná intolerancia laktózy;S66-46;Iné ochorenia GIT I
E739;Intolerancia laktózy, bližšie neurčená;S66-46;Iné ochorenia GIT I
E740;Choroba z nahromadenia glykogénu (glykogenóza);S67-04;Závažné poruchy metabolizmu
E741;Porucha metabolizmu fruktózy;S66-32;Iné ochorenia GIT V
E742;Porucha metabolizmu galaktózy;S67-04;Závažné poruchy metabolizmu
E743;Iná porucha črevnej absorpcie sacharidov;S66-46;Iné ochorenia GIT I
E744;Porucha metabolizmu pyruvátu a porucha glukoneogenézy;S67-04;Závažné poruchy metabolizmu
E748;Iná porucha metabolizmu sacharidov, bližšie určená;S67-04;Závažné poruchy metabolizmu
E749;Porucha metabolizmu sacharidov, bližšie neurčená;S67-04;Závažné poruchy metabolizmu
E750;GM2-gangliozidóza;S73-46;Metabolické ochorenia v neurológii
E751;Iná gangliozidóza;S73-46;Metabolické ochorenia v neurológii
E752;Iná sfingolipidóza;S73-46;Metabolické ochorenia v neurológii
E753;Sfingolipidóza, bližšie neurčená;S67-04;Závažné poruchy metabolizmu
E754;Neurónová ceroidová lipofuscinóza;S73-46;Metabolické ochorenia v neurológii
E755;Iná porucha ukladania lipidov;S67-04;Závažné poruchy metabolizmu
E756;Porucha ukladania lipidov, bližšie neurčená;S67-04;Závažné poruchy metabolizmu
E760;Mukopolysacharidóza, typ I;S67-04;Závažné poruchy metabolizmu
E761;Mukopolysacharidóza, typ II;S67-04;Závažné poruchy metabolizmu
E762;Iná mukopolysacharidóza;S67-04;Závažné poruchy metabolizmu
E763;Mukopolysacharidóza, bližšie neurčená;S67-04;Závažné poruchy metabolizmu
E768;Iná porucha metabolizmu glykozaminoglykánu;S67-04;Závažné poruchy metabolizmu
E769;Porucha metabolizmu glykozaminoglykánu, bližšie neurčená;S67-04;Závažné poruchy metabolizmu
E770;Porucha posttranslančnej modifikácie lyzozómových enzýmov;S67-04;Závažné poruchy metabolizmu
E771;Porucha odbúrania glykoproteínov;S67-04;Závažné poruchy metabolizmu
E778;Iná porucha metabolizmu glykoproteínov;S67-04;Závažné poruchy metabolizmu
E779;Porucha metabolizmu glykoproteínov, bližšie neurčená;S67-04;Závažné poruchy metabolizmu
E780;Izolovaná hypercholesterolémia;S67-09;Stredne závažné poruchy metabolizmu
E781;Izolovaná hypertriacylglycerolémia;S67-09;Stredne závažné poruchy metabolizmu
E782;Zmiešaná hyperlipidémia;S67-09;Stredne závažné poruchy metabolizmu
E783;Hyperchylomikronémia;S67-09;Stredne závažné poruchy metabolizmu
E784;Iná hyperlipidémia;S67-09;Stredne závažné poruchy metabolizmu
E785;Hyperlipidémia, bližšie neurčená;S67-09;Stredne závažné poruchy metabolizmu
E786;Nedostatok lipoproteínov;S67-09;Stredne závažné poruchy metabolizmu
E788;Iná porucha metabolizmu lipoproteínov;S67-09;Stredne závažné poruchy metabolizmu
E789;Porucha metabolizmu lipoproteínov, bližšie neurčená;S67-09;Stredne závažné poruchy metabolizmu
E790;Hyperurikémia bez znakov zápalovej artritídy alebo tofovej dny;S67-04;Závažné poruchy metabolizmu
E791;Leschov-Nyhanov syndróm;S67-04;Závažné poruchy metabolizmu
E798;Iná porucha metabolizmu purínu a pyrimidínu;S67-04;Závažné poruchy metabolizmu
E799;Porucha metabolizmu purínu a pyrimidínu, bližšie neurčená;S67-04;Závažné poruchy metabolizmu
E800;Dedičná erytropoetická porfýria;S67-04;Závažné poruchy metabolizmu
E801;Porphyria cutanea tarda;S67-04;Závažné poruchy metabolizmu
E802;Iná porfýria;S67-04;Závažné poruchy metabolizmu
E803;Porucha katalázy a peroxidázy;S67-04;Závažné poruchy metabolizmu
E804;Gilbertov syndróm;S66-48;Ochorenia pečene I
E805;Criglerov-Najjarov syndróm;S66-48;Ochorenia pečene I
E806;Iná porucha metabolizmu bilirubínu;S66-48;Ochorenia pečene I
E807;Porucha metabolizmu bilirubínu, bližšie neurčená;S66-48;Ochorenia pečene I
E830;Porucha metabolizmu medi;S67-09;Stredne závažné poruchy metabolizmu
E831;Porucha metabolizmu železa;S63-27;Hemolytické a aplastické anémie a iné komplexné ochorenia erytrocytov I
E832;Porucha metabolizmu zinku;S67-09;Stredne závažné poruchy metabolizmu
E8330;Familiárna hypofosfatemická rachitída;S67-09;Stredne závažné poruchy metabolizmu
E8331;Rachitída závislá od vitamínu D;S67-09;Stredne závažné poruchy metabolizmu
E8338;Iná porucha metabolizmu fosforu a fosfatáz;S67-09;Stredne závažné poruchy metabolizmu
E8339;Porucha metabolizmu fosforu a fosfatáz, bližšie neurčená;S67-09;Stredne závažné poruchy metabolizmu
E834;Porucha metabolizmu horčíka;S67-09;Stredne závažné poruchy metabolizmu
E8350;Kalcifylaxia;S67-09;Stredne závažné poruchy metabolizmu
E8358;Iná porucha metabolizmu vápnika;S67-09;Stredne závažné poruchy metabolizmu
E8359;Porucha metabolizmu vápnika, bližšie neurčená;S67-09;Stredne závažné poruchy metabolizmu
E838;Iná porucha metabolizmu minerálov;S67-09;Stredne závažné poruchy metabolizmu
E839;Porucha metabolizmu minerálov, bližšie neurčená;S67-09;Stredne závažné poruchy metabolizmu
E840;Cystická fibróza s pľúcnymi prejavmi;S65-04;Cystická fibróza
E841;Cystická fibróza s črevnými prejavmi;S66-09;Iné ochorenia GIT III
E842;Primárna ciliárna dyskinézia s respiračnými prejavmi;S65-10;Iné ochorenie dýchacích orgánov III
E843;Primárna ciliárna dyskinézia s inými prejavmi;S65-10;Iné ochorenie dýchacích orgánov III
E844;Primárna ciliárna dyskinézia;S65-10;Iné ochorenie dýchacích orgánov III
E8480;Cystická fibróza s pľúcnymi a črevnými prejavmi;S65-04;Cystická fibróza
E8487;Cystická fibróza s inými mnohopočetnými prejavmi;S65-04;Cystická fibróza
E8488;Cystická fibróza s inými prejavmi;S65-04;Cystická fibróza
E849;Cystická fibróza, bližšie neurčená;S65-04;Cystická fibróza
E850;Hereditárno-familiárna amyloidóza bez neuropatie;S69-04;Autoinflamčné ochorenia - geneticky podmienené a zriedkavé získané
E851;Hereditárno-familiárna amyloidóza s neuropatiou;S69-04;Autoinflamčné ochorenia - geneticky podmienené a zriedkavé získané
E852;Hereditárno-familiárna amyloidóza, bližšie neurčená;S69-04;Autoinflamčné ochorenia - geneticky podmienené a zriedkavé získané
E853;Sekundárna systémová amyloidóza;S69-04;Autoinflamčné ochorenia - geneticky podmienené a zriedkavé získané
E854;Orgánovo ohraničená (lokalizovaná) amyloidóza;S63-11;Ochorenia spojivového tkaniva
E858;Iná amyloidóza;S63-11;Ochorenia spojivového tkaniva
E859;Amyloidóza, bližšie neurčená;S63-11;Ochorenia spojivového tkaniva
E86;Dehydratácia, hypovolémia;S63-28;Dehydratácia
E870;Hyperosmolalita a hypernatriémia;S67-04;Závažné poruchy metabolizmu
E871;Hypoosmolalita a hyponatriémia;S67-09;Stredne závažné poruchy metabolizmu
E872;Acidóza;S67-09;Stredne závažné poruchy metabolizmu
E873;Alkalóza;S67-09;Stredne závažné poruchy metabolizmu
E874;Zmiešaná porucha acidobázickej rovnováhy;S67-09;Stredne závažné poruchy metabolizmu
E875;Hyperkaliémia;S67-09;Stredne závažné poruchy metabolizmu
E876;Hypokaliémia;S67-09;Stredne závažné poruchy metabolizmu
E878;Iná porucha rovnováhy elektrolytov a tekutín, nezatriedená inde;S67-09;Stredne závažné poruchy metabolizmu
E880;Porucha metabolizmu plazmatických proteínov, nezatriedená inde;S67-09;Stredne závažné poruchy metabolizmu
E881;Lipodystrofia, nezatriedená inde;S67-09;Stredne závažné poruchy metabolizmu
E882;Lipomatóza, nezatriedená inde;S67-09;Stredne závažné poruchy metabolizmu
E883;Syndróm z rozpadu nádoru (tumor lysis syndrome);S67-04;Závažné poruchy metabolizmu
E888;Iná bližšie určená metabolická porucha;S67-09;Stredne závažné poruchy metabolizmu
E889;Metabolická porucha, bližšie neurčená;S67-09;Stredne závažné poruchy metabolizmu
E890;Hypotyreóza po lekárskom výkone;S67-08;Endokrinopatie
E891;Hypoinzulinémia po lekárskom výkone;S67-09;Stredne závažné poruchy metabolizmu
E892;Hypoparatyreóza po lekárskom výkone;S67-08;Endokrinopatie
E893;Hypopituitarizmus po lekárskom výkone;S67-08;Endokrinopatie
E894;Zlyhanie vaječníkov po lekárskom výkone;S60-18;Poruchy menštruačného cyklu a iné ochorenia ženských pohlavných orgánov
E895;Hypofunkcia semenníkov po lekárskom výkone;S67-08;Endokrinopatie
E896;Hypofunkcia kôry nadobličiek alebo drene nadobličiek po lekárskom výkone;S67-03;Vysoko komplexné endokrinopatie
E898;Iná endokrinná a metabolická porucha po lekárskom výkone;S67-08;Endokrinopatie
E899;Endokrinná a metabolická porucha po lekárskom výkone, bližšie neurčená;S67-08;Endokrinopatie
F03;Demencia, bližšie neurčená;S73-35;Iné chronické poruchy mozgovej funkcie a demencia
F04;Organický amnestický syndróm nezapríčinený alkoholom alebo inými psychoaktívnymi látkami;S73-35;Iné chronické poruchy mozgovej funkcie a demencia
F050;Delírium bez demencie;S74-14;Organické psychické poruchy
F051;Delírium pri demencii;S74-14;Organické psychické poruchy
