kodHVyk;nazovHVyk;kodMS;nazovMS;Dgs
5o9084;Radikálna panvová lymfadenektómia v kombinácii s inými operáciami, laparoskopicky;S44-13;Radikálna retroperitoneálna lymfadenektómia - onko;C680, C484, C485, C488
5o908x;Radikálna panvová lymfadenektómia v kombinácii s inými operáciami, ostatné;S44-13;Radikálna retroperitoneálna lymfadenektómia - onko;C680, C484, C485, C488
5o9091;Resekcia tkaniva bez presného určenia vzťahu k orgánu, laparotomicky;S44-05;Komplexné výkony v retroperitoneu - onko;C680, C484, C485, C488
5o9092;Resekcia tkaniva bez presného určenia vzťahu k orgánu, lumbotomicky;S44-05;Komplexné výkony v retroperitoneu - onko;C680, C484, C485, C488
5o9093;Resekcia tkaniva bez presného určenia vzťahu k orgánu, perkutánne;S44-05;Komplexné výkony v retroperitoneu - onko;C680, C484, C485, C488
5o9094;Resekcia tkaniva bez presného určenia vzťahu k orgánu, laparoskopicky;S44-05;Komplexné výkony v retroperitoneu - onko;C680, C484, C485, C488
5o909x;Resekcia tkaniva bez presného určenia vzťahu k orgánu, ostatné;S44-05;Komplexné výkony v retroperitoneu - onko;C680, C484, C485, C488
5o90x1;Iná incízia a excízia retroperitoneálneho tkaniva, laparotomicky;S44-05;Komplexné výkony v retroperitoneu - onko;C680, C484, C485, C488
5o90x2;Iná incízia a excízia retroperitoneálneho tkaniva, lumbotomicky;S44-05;Komplexné výkony v retroperitoneu - onko;C680, C484, C485, C488
5o90x3;Iná incízia a excízia retroperitoneálneho tkaniva, torakoabdominálne;S44-05;Komplexné výkony v retroperitoneu - onko;C680, C484, C485, C488
5o90x4;Iná incízia a excízia retroperitoneálneho tkaniva, laparoskopicky;S44-05;Komplexné výkony v retroperitoneu - onko;C680, C484, C485, C488
5o90x5;Iná incízia a excízia retroperitoneálneho tkaniva, perkutánne;S44-05;Komplexné výkony v retroperitoneu - onko;C680, C484, C485, C488
5o90xx;Iná incízia a excízia retroperitoneálneho tkaniva, ostatné;S44-05;Komplexné výkony v retroperitoneu - onko;C680, C484, C485, C488
5o910;Perkutánna drenáž retroperitoneálneho priestoru;S44-09;Operačné výkony v retroperitoneu - onko;C680, C484, C485, C488
5o911;Incízia perivezikálneho tkaniva;S44-09;Operačné výkony v retroperitoneu - onko;C680, C484, C485, C488
5o912;Excízia perivezikálneho tkaniva;S44-09;Operačné výkony v retroperitoneu - onko;C680, C484, C485, C488
5o91x;Incízia a excízia perivezikálneho tkaniva, ostatné;S44-09;Operačné výkony v retroperitoneu - onko;C680, C484, C485, C488
5j12200;Klinovitá alebo atypická resekcia pľúc, torakotomicky bez lymfadenektómies použitím svorkovača;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko; C15, C780, C34
5j12201;Klinovitá alebo atypická resekcia pľúc, torakotomicky s lymfadenektómiou s použitím svorkovača ;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko; C15, C780, C34
5j12300;Klinovitá resekcia pľúc, torakotomicky bez lymfadenektómie ;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko; C15, C780, C34
5j12301;Klinovitá resekcia pľúc, torakotomicky s lymfadenektómiou;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko; C15, C780, C34
5j12320;Klinovitá resekcia pľúc, torakoskopicky bez lymfadenektómie s použitím svorkovača;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko; C15, C780, C34
5j12321;Klinovitá resekcia pľúc, torakoskopicky s lymfadenektómiou s použitím svorkovača;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko; C15, C780, C34
5j12400;Enukleácia pľúcnej lézie, torakotomicky bez lymfadenektómie;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko; C15, C780, C34
5j12401;Enukleácia pľúcnej lézie, torakotomicky s lymfadenektómiou;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko; C15, C780, C34
5j12420;Enukleácia pľúcnej lézie, torakoskopicky bez lymfadenektómie;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko; C15, C780, C34
5j12421;Enukleácia pľúcnej lézie, torakoskopicky s lymfadenektómiou;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko; C15, C780, C34
5j13120;Segmentálna resekcia pľúc, torakoskopicky bez lymfadenektómie bez použitia svorkovača;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko;C780, 
5j13121;Segmentálna resekcia pľúc, torakoskopicky s lymfadenektómiou bez použitia svorkovača;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko;C780, 
5j13200;Segmentálna resekcia pľúc, torakotomicky bez lymfadenektómie s použitím svorkovača ;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko;C780, 
5j13201;Segmentálna resekcia pľúc, torakotomicky s lymfadenektómiou s použitím svorkovača ;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko;C780, 
5j13220;Segmentálna resekcia pľúc, torakoskopicky bez lymfadenektómie s použitím svorkovača;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko;C780, 
5j13221;Segmentálna resekcia pľúc, torakoskopicky s lymfadenektómiou s použitím svorkovača;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko;C780, 
5j14000;Lobektómia bez bronchoplastiky, torakotomicky bez lymfadenektómie bez použitia svorkovača ;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko;C780, 
5j14001;Lobektómia bez bronchoplastiky, torakotomicky s lymfadenektómiou bez použitia svorkovača ;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko;C780, 
5j14020;Lobektómia bez bronchoplastiky, torakoskopicky bez lymfadenektómie bez použitia svorkovača ;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko;C780, 
5j14021;Lobektómia bez bronchoplastiky, torakoskopicky s lymfadenektómiou bez použitia svorkovača ;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko;C780, 
5j14100;Lobektómia bez bronchoplastiky, torakotomicky bez lymfadenektómie s použitím svorkovača;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko;C780, 
5j14101;Lobektómia bez bronchoplastiky, torakotomicky s lymfadenektómiou s použitím svorkovača ;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko;C780, 
5j14120;Lobektómia bez bronchoplastiky, torakoskopicky  bez lymfadenektómie s použitím svorkovača;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko;C780, 
5j14121;Lobektómia bez bronchoplastiky, torakoskopicky  s lymfadenektómiou s použitím svorkovača;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko;C780, 
5j14210;Lobektómia s bronchoplastikou, torakotomicky bez lymfadenektómie;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko;C780, 
5j14211;Lobektómia s bronchoplastikou, torakotomicky s lymfadenektómiou;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko;C780, 
5j14220;Lobektómia s bronchoplastikou, torakoskopicky bez lymfadenektómie;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko;C780, 
5j14400;Rozšírená lobektómia, torakotomicky bez lymfadenektómie;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko;C780, 
5j14401;Rozšírená lobektómia, torakotomicky s lymfadenektómiou;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko;C780, 
5j14a00;Bilobektómia bez bronchoplastiky, torakotomicky bez lymfadenektómie bez použitia svorkovača ;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko;C780, 
5j14a01;Bilobektómia bez bronchoplastiky, torakotomicky s lymfadenektómiou bez použitia svorkovača ;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko;C780, 
5j14a20;Bilobektómia bez bronchoplastiky, torakoskopicky bez lymfadenektómie bez použitia svorkovača ;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko;C780, 
5j14a21;Bilobektómia bez bronchoplastiky, torakoskopicky s lymfadenektómiou bez použitia svorkovača ;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko;C780, 
5j14b00;Bilobektómia bez bronchoplastiky, torakotomicky  bez lymfadenektómie s použitím svorkovača ;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko;C780, 
5j14b01;Bilobektómia bez bronchoplastiky, torakotomicky s lymfadenektómiou s použitím svorkovača;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko;C780, 
5j14b20;Bilobektómia bez bronchoplastiky, torakoskopicky bez lymfadenektómie s použitím svorkovača ;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko;C780, 
5j14b21;Bilobektómia bez bronchoplastiky, torakoskopicky s lymfadenektómiou s použitím svorkovača;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko;C780, 
5j14c11;Bilobektómia s bronchoplastikou, torakotomicky  s lymfadenektómiou;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko;C780, 
5j14c20;Bilobektómia s bronchoplastikou, torakoskopicky bez lymfadenektómie;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko;C780, 
5j14c21;Bilobektómia s bronchoplastikou, torakoskopicky s lymfadenektómiou;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko;C780, 
5j14e00;Rozšírená bilobektómia, torakotomicky bez lymfadenektómie;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko;C488 C484, C16, C15, C78
5j14e01;Rozšírená bilobektómia, torakotomicky s lymfadenektómiou;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko;C488 C484, C16, C15, C78
5j14x;Iná lobektómia alebo bilobektómia;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko;C488 C484, C16, C15, C78
5j15000;Pneumonektómia, torakotomicky bez lymfadenektómie;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko;C488 C484, C16, C15, C78
5j15001;Pneumonektómia, torakotomicky s lymfadenektómiou;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko;C488 C484, C16, C15, C78
5j154;Rozšírená pneumonektómia ;S44-15;Resekcie pľúc a ostatné operačné výkony na pľúcach a prieduškách - onko;C488 C484, C16, C15, C78
5j510a;Mediastinotómia kollárna;S44-46;Operačné výkony na mediastine - onko;C488 C484, C16, C15, C78, C381-3
5j5140;Otvorená chirurgická mediastinálna lymfadenektómia;S44-46;Operačné výkony na mediastine - onko;C488 C484, C16, C15, C78, C381-3
5j5142;Transcervikálna extenzívna mediastinálna lymfadenektómia;S44-46;Operačné výkony na mediastine - onko;C488 C484, C16, C15, C78, C381-3
5j515b0;Resekcia nádoru mediastina sternotomicky bez lymfadenektómie;S44-46;Operačné výkony na mediastine - onko;C488 C484, C16, C15, C78, C381-3
5j515b1;Resekcia nádoru mediastina sternotomicky s lymfadenektómiou;S44-46;Operačné výkony na mediastine - onko;C488 C484, C16, C15, C78, C381-3
5j515c;Resekcia nádoru mediastina, cervikálny prístup;S44-46;Operačné výkony na mediastine - onko;C488 C484, C16, C15, C78, C381-3
5j515d;Resekcia nádoru mediastina mediastinoskopicky;S44-46;Operačné výkony na mediastine - onko;C488 C484, C16, C15, C78, C381-3
5j515e;Resekcia nádoru mediastina torakoskopicky;S44-46;Operačné výkony na mediastine - onko;C488 C484, C16, C15, C78, C381-3
5j515f;Resekcia nádoru mediastina torakotomicky alebo zo sternotómie;S44-46;Operačné výkony na mediastine - onko;C488 C484, C16, C15, C78, C381-3
5j515x;Resekcia nádoru mediastina, ostatné prístupy;S44-46;Operačné výkony na mediastine - onko;C488 C484, C16, C15, C78, C381-3
5j52001;Resekcia časti steny hrudníka, uzáver defektu autológnym materiálom;S44-44;Operačné výkony na hrudnej stene, pleure a bránici - onko;C488 C484, C16, C15, C78
5j52002;Resekcia časti steny hrudníka, uzáver defektu alogénnym materiálom;S44-44;Operačné výkony na hrudnej stene, pleure a bránici - onko;C488 C484, C16, C15, C78
5j5231;Exstirpácia nádoru hrudnej steny bez resekcie rebra, torakotomicky;S44-44;Operačné výkony na hrudnej stene, pleure a bránici - onko;C488 C484, C16, C15, C78
5j5232;Exstirpácia nádoru hrudnej steny bez resekcie rebra, torakoskopicky;S44-44;Operačné výkony na hrudnej stene, pleure a bránici - onko;C488 C484, C16, C15, C78
5j524;Exstirpácia nádoru hrudnej steny s resekciou rebra;S44-44;Operačné výkony na hrudnej stene, pleure a bránici - onko;C488 C484, C16, C15, C78
5j525;Excízia z hrudnej steny;S44-44;Operačné výkony na hrudnej stene, pleure a bránici - onko;C488 C484, C16, C15, C78
5j5540;Excízia chorého tkaniva bránice bez uzáveru aloplastickým materiálom;S44-44;Operačné výkony na hrudnej stene, pleure a bránici - onko;C488 C484, C16, C15, C78
5j5541;Excízia chorého tkaniva bránice s uzáverom aloplastickým materiálom;S44-44;Operačné výkony na hrudnej stene, pleure a bránici - onko;C488 C484, C16, C15, C78
5j55510;Parciálna plastika bránice bez aloplastického materiálu;S44-44;Operačné výkony na hrudnej stene, pleure a bránici - onko;C488 C484, C16, C15, C78
5j55511;Parciálna plastika bránice s aloplastickým materiálom;S44-44;Operačné výkony na hrudnej stene, pleure a bránici - onko;C488 C484, C16, C15, C78
5j55520;Totálna plastika bránice bez aloplastického materiálu;S44-44;Operačné výkony na hrudnej stene, pleure a bránici - onko;C488 C484, C16, C15, C78
5j55521;Totálna plastika bránice s aloplastickým materiálom;S44-44;Operačné výkony na hrudnej stene, pleure a bránici - onko;C488 C484, C16, C15, C78
5b110;Incízia v oblasti štítnej žľazy bez ďalších výkonov;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73, C750, D34, D351
5b111;Drenáž v oblasti štítnej žľazy;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73, C750, D34, D351
5b112;Revízia, prieskum v oblasti štítnej žľazy;S44-57;Resekcie a revízia štítnej žľazy s odstránením prištítnych teliesok - onko;C73, C750, D34, D351
5b113;Revízia operačnej rany v oblasti štítnej žľazy;S44-57;Resekcie a revízia štítnej žľazy s odstránením prištítnych teliesok - onko;C73, C750, D34, D351
5b11x;Iná incízia v oblasti štítnej žľazy;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73, C750, D34, D351
5b12000;Hemityreoidektómia bez odstránenia prištítnych teliesok bez disekcie kompartmentu, štandardná;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73,  D34, 
5b12001;Hemityreoidektómia bez odstránenia prištítnych teliesok bez disekcie kompartmentu, miniinvazívna videoasistovaná;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73,  D34, 
5b12002;Hemityreoidektómia bez odstránenia prištítnych teliesok bez disekcie kompartmentu, miniinvazívna radioasistovaná;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73,  D34, 
5b12003;Hemityreoidektómia bez odstránenia prištítnych teliesok bez disekcie kompartmentu, miniinvazívna video a radioasistovaná;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73,  D34, 
5b12004;Hemityreoidektómia bez odstránenia prištítnych teliesok bez disekcie kompartmentu, endoskopicky asistovaná;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73,  D34, 
5b12005;Hemityreoidektómia bez odstránenia prištítnych teliesok bez disekcie kompartmentu, endoskopicky radioasistovaná;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73,  D34, 
5b12006;Hemityreoidektómia bez odstránenia prištítnych teliesok bez disekcie kompartmentu, s použitím elektroneurostimulátora;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73,  D34, 
5b12010;Hemityreoidektómia bez odstránenia prištítnych teliesok s disekciou centrálneho kompartmentu (bez ďalších opatrení);S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73,  D34, 
5b12016;Hemityreoidektómia bez odstránenia prištítnych teliesok s disekciou centrálneho kompartmentu, s použitím elektroneurostimulátora;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73,  D34, 
5b12020;Hemityreoidektómia bez odstránenia prištítnych teliesok s disekciou centrálneho kompartmentu a krčnou disekciou laterálneho kompartmentu lymfatických uzlín, štandardná;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73,  D34, 
5b12021;Hemityreoidektómia bez odstránenia prištítnych teliesok s disekciou centrálneho kompartmentu a krčnou disekciou laterálneho kompartmentu lymfatických uzlín, miniinvazívna videoasistovaná;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73,  D34, 
5b12022;Hemityreoidektómia bez odstránenia prištítnych teliesok s disekciou centrálneho kompartmentu a krčnou disekciou laterálneho kompartmentu lymfatických uzlín, miniinvazívna radioasistovaná;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73,  D34, 
5b12023;Hemityreoidektómia bez odstránenia prištítnych teliesok s disekciou centrálneho kompartmentu a krčnou disekciou laterálneho kompartmentu lymfatických uzlín, miniinvazívna video a radioasistovaná;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73,  D34, 
5b12024;Hemityreoidektómia bez odstránenia prištítnych teliesok s disekciou centrálneho kompartmentu a krčnou disekciou laterálneho kompartmentu lymfatických uzlín, endoskopicky asistovaná;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73,  D34, 
5b12025;Hemityreoidektómia bez odstránenia prištítnych teliesok s disekciou centrálneho kompartmentu a krčnou disekciou laterálneho kompartmentu lymfatických uzlín, endoskopicky radioasistovaná;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73,  D34, 
5b12026;Hemityreoidektómia bez odstránenia prištítnych teliesok s disekciou centrálneho kompartmentu a krčnou disekciou laterálneho kompartmentu lymfatických uzlín, s použitím elektroneurostimulátora;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73,  D34, 
5b1202x;Hemityreoidektómia bez odstránenia prištítnych teliesok s disekciou centrálneho kompartmentu a krčnou disekciou laterálneho kompartmentu lymfatických uzlín, iný spôsob;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73,  D34, 
5b120x;Hemityreoidektómia bez odstránenia prištítnych teliesok, ostatné;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73,  D34, 
5b12200;Hemityreoidektómia s odstránením prištítnych teliesok bez disekcie kompartmentu, štandardná;S44-57;Resekcie a revízia štítnej žľazy s odstránením prištítnych teliesok - onko;C73, C750, D34, D351
5b12202;Hemityreoidektómia s odstránením prištítnych teliesok bez disekcie kompartmentu, miniinvazívna radioasistovaná;S44-57;Resekcie a revízia štítnej žľazy s odstránením prištítnych teliesok - onko;C73, C750, D34, D351
5b12203;Hemityreoidektómia s odstránením prištítnych teliesok bez disekcie kompartmentu, miniinvazívna video a radioasistovaná;S44-57;Resekcie a revízia štítnej žľazy s odstránením prištítnych teliesok - onko;C73, C750, D34, D351
5b12206;Hemityreoidektómia s odstránením prištítnych teliesok bez disekcie kompartmentu, s použitím elektroneurostimulátora;S44-57;Resekcie a revízia štítnej žľazy s odstránením prištítnych teliesok - onko;C73, C750, D34, D351
5b1220x;Hemityreoidektómia s odstránením prištítnych teliesok bez disekcie kompartmentu, ostatné;S44-57;Resekcie a revízia štítnej žľazy s odstránením prištítnych teliesok - onko;C73, C750, D34, D351
5b12210;Hemityreoidektómia s odstránením prištítnych teliesok a s disekciou centrálneho kompartmentu a krčnou disekciou laterálneho kompartmentu lymfatických uzlín, štandardná;S44-57;Resekcie a revízia štítnej žľazy s odstránením prištítnych teliesok - onko;C73, C750, D34, D351
5b12211;Hemityreoidektómia s odstránením prištítnych teliesok a s disekciou centrálneho kompartmentu a krčnou disekciou laterálneho kompartmentu lymfatických uzlín, miniinvazívna videoasistovaná;S44-57;Resekcie a revízia štítnej žľazy s odstránením prištítnych teliesok - onko;C73, C750, D34, D351
5b12212;Hemityreoidektómia s odstránením prištítnych teliesok a s disekciou centrálneho kompartmentu a krčnou disekciou laterálneho kompartmentu lymfatických uzlín, miniinvazívna radioasistovaná;S44-57;Resekcie a revízia štítnej žľazy s odstránením prištítnych teliesok - onko;C73, C750, D34, D351
5b12213;Hemityreoidektómia s odstránením prištítnych teliesok a s disekciou centrálneho kompartmentu a krčnou disekciou laterálneho kompartmentu lymfatických uzlín, miniinvazívna video a radioasistovaná;S44-57;Resekcie a revízia štítnej žľazy s odstránením prištítnych teliesok - onko;C73, C750, D34, D351
5b12214;Hemityreoidektómia s odstránením prištítnych teliesok a s disekciou centrálneho kompartmentu a krčnou disekciou laterálneho kompartmentu lymfatických uzlín, endoskopicky asistovaná;S44-57;Resekcie a revízia štítnej žľazy s odstránením prištítnych teliesok - onko;C73, C750, D34, D351
5b12215;Hemityreoidektómia s odstránením prištítnych teliesok a s disekciou centrálneho kompartmentu a krčnou disekciou laterálneho kompartmentu lymfatických uzlín, endoskopicky radioasistovaná;S44-57;Resekcie a revízia štítnej žľazy s odstránením prištítnych teliesok - onko;C73, C750, D34, D351
5b12216;Hemityreoidektómia s odstránením prištítnych teliesok a s disekciou centrálneho kompartmentu a krčnou disekciou laterálneho kompartmentu lymfatických uzlín, s použitím elektroneurostimulátora;S44-57;Resekcie a revízia štítnej žľazy s odstránením prištítnych teliesok - onko;C73, C750, D34, D351
5b1221x;Hemityreoidektómia s odstránením prištítnych teliesok a s disekciou centrálneho kompartmentu a krčnou disekciou laterálneho kompartmentu lymfatických uzlín, iný spôsob;S44-57;Resekcie a revízia štítnej žľazy s odstránením prištítnych teliesok - onko;C73, C750, D34, D351
5b12x0;Iná hemityreoidektómia, štandardná ;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73, C750, D34, D351
5b12x1;Iná hemityreoidektómia, miniinvazívna videoasistovaná ;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73, C750, D34, D351
5b12x2;Iná hemityreoidektómia, miniinvazívna radioasistovaná ;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73, C750, D34, D351
5b12x3;Iná hemityreoidektómia, miniinvazívna video a radioasistovaná ;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73, C750, D34, D351
5b12x4;Iná hemityreoidektómia, endoskopicky asistovaná ;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73, C750, D34, D351
5b12x5;Iná hemityreoidektómia, endoskopicky radioasistovaná ;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73, C750, D34, D351
5b12x6;Iná hemityreoidektómia s použitím elektroneurostimulátora;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73, C750, D34, D351
5b12xx;Iná hemityreoidektómia, ostatné;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73, C750, D34, D351
5b1300;Excízia chorého tkaniva na štítnej žľaze, štandardná;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73,  D34, 
5b1301;Excízia chorého tkaniva na štítnej žľaze, miniinvazívna videoasistovaná;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73,  D34, 
5b1302;Excízia chorého tkaniva na štítnej žľaze, miniinvazívna radioasistovaná;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73,  D34, 
5b1303;Excízia chorého tkaniva na štítnej žľaze, miniinvazívna video a radioasistovaná;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73,  D34, 
5b1304;Excízia chorého tkaniva na štítnej žľaze, endoskopicky asistovaná;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73,  D34, 
5b1305;Excízia chorého tkaniva na štítnej žľaze, endoskopicky radioasistovaná;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73,  D34, 
5b1306;Excízia chorého tkaniva na štítnej žľaze, s použitím elektroneurostimulátora;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73,  D34, 
5b130x;Excízia chorého tkaniva na štítnej žľaze, ostatné;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73,  D34, 
5b1310;Excízia uzla na štítnej žľaze, štandardná;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73,  D34, 
5b1311;Excízia uzla na štítnej žľaze, miniinvazívna videoasistovaná;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73,  D34, 
5b1312;Excízia uzla na štítnej žľaze, miniinvazívna radioasistovaná;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73,  D34, 
5b1313;Excízia uzla na štítnej žľaze, miniinvazívna video a radioasistovaná;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73,  D34, 
5b1314;Excízia uzla na štítnej žľaze, endoskopicky asistovaná;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73,  D34, 
5b1315;Excízia uzla na štítnej žľaze, endoskopicky radioasistovaná;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73,  D34, 
5b1316;Excízia uzla na štítnej žľaze, s použitím elektroneurostimulátora;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73,  D34, 
5b131x;Excízia uzla na štítnej žľaze, ostatné;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73,  D34, 
5b1320;Subtotálna resekcia štítnej žľazy jednostranne s excíziou uzla na protistrane, štandardná;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73,  D34, 
5b1321;Subtotálna resekcia štítnej žľazy jednostranne s excíziou uzla na protistrane, miniinvazívna videoasistovaná;S44-19;Hemityreoidektómie, tyreoidektómie a resekcie bez odstránenia prištítných teliesok - onko;C73,  D34, 
