skupina_diagnoz;kod_hlavnej_diagnozy;nazov_hlavnej_diagnozy
Dorzopatia a poruchy nervových koreňov - vybrané diagnózy;m501;Poškodenie krčnej medzistavcovej platničky s radikulopatiou
Dorzopatia a poruchy nervových koreňov - vybrané diagnózy;m532-;Instabilita chrbtice
Echinokokóza;b670;Cystická echinokokóza pečene zapríčinená Echinococcus granulosus
Echinokokóza;b675;Alveolová echinokokóza pečene zapríčinená Echinococcus multilocularis
Echinokokóza;b678;Echinokokóza pečene, bližšie neurčená
Epilepsia a iné záchvaty;g253;Myoklonus
Epilepsia a iné záchvaty;g40-;Epilepsia
Epilepsia a iné záchvaty;g41-;Epileptický stav [Status epilepticus]
Gastrointestinálne krvácanie;k3182;Angiodysplázia žalúdka a dvanástnika s prejavmi krvácania
Gastrointestinálne krvácanie;k5522;Angiodysplázia hrubého čreva, s krvácaním
Gastrointestinálne krvácanie;k5582;Angiodysplázia tenkého čreva, s krvácaním
Gastrointestinálne krvácanie;k920;Hemateméza
Gastrointestinálne krvácanie;k921;Meléna
Gastrointestinálne krvácanie;k922;Gastrointestinálne krvácanie, bližšie neurčené
Genetické syndrómové ochorenia;q850;Neurofibromatóza (benígna)
Genetické syndrómové ochorenia;q851;Tuberózna skleróza
Genetické syndrómové ochorenia;q90-;Downov syndróm
Genetické syndrómové ochorenia;q91-;Edwardsov syndróm a Patauov syndróm
Genetické syndrómové ochorenia;q93-;Monozómia a delécia autozómov, nezatriedená inde
Hematologické a hematoonkologické ochorenia;c81-;Hodgkinov lymfóm
Hematologické a hematoonkologické ochorenia;c82-;Folikulový lymfóm
Hematologické a hematoonkologické ochorenia;c83-;Nefolikulový lymfóm
Hematologické a hematoonkologické ochorenia;c84-;Lymfóm zo zrelých T/NK-buniek
Hematologické a hematoonkologické ochorenia;c85-;Iný a bližšie neurčený typ non-Hodgkinovho lymfómu
Hematologické a hematoonkologické ochorenia;c86-;Iný lymfóm z T/NK-buniek, bližšie určený
Hematologické a hematoonkologické ochorenia;c88-;Zhubná imunoproliferatívna choroba
Hematologické a hematoonkologické ochorenia;c90-;Mnohopočetný myelóm a zhubné nádory z plazmatických buniek
Hematologické a hematoonkologické ochorenia;c91-;Lymfocytová leukémia
Hematologické a hematoonkologické ochorenia;c92-;Myeloická leukémia
Hematologické a hematoonkologické ochorenia;c93-;Monocytová leukémia
Hematologické a hematoonkologické ochorenia;c94-;Iná leukémia z bližšie určených buniek
Hematologické a hematoonkologické ochorenia;c950-;Akútna leukémia bližšie neurčeného bunkového typu
Hematologické a hematoonkologické ochorenia;c951-;Chronická leukémia bližšie neurčeného bunkového typu
Hematologické a hematoonkologické ochorenia;c957-;Iná leukémia bližšie neurčeného bunkového typu
Hematologické a hematoonkologické ochorenia;c959-;Leukémia, bližšie neurčená
Hematologické a hematoonkologické ochorenia;c96-;Iný a bližšie neurčený zhubný nádor lymfatického, krvotvorného a príbuzného tkaniva
Hematologické a hematoonkologické ochorenia;d45;Polycythaemia vera
Hematologické a hematoonkologické ochorenia;d46-;Myelodysplastický syndróm
Hematologické a hematoonkologické ochorenia;d47-;Iný nádor lymfatického, krvotvorného a príbuzného tkaniva s neurčitým alebo neznámym správaním
Hematologické a hematoonkologické ochorenia;d55-;Anémia zapríčinená poruchou enzýmov
Hematologické a hematoonkologické ochorenia;d56-;Talasémia
Hematologické a hematoonkologické ochorenia;d57-;Kosáčikovitá anémia
Hematologické a hematoonkologické ochorenia;d58-;Iná dedičná hemolytická anémia
Hematologické a hematoonkologické ochorenia;d590;Autoimunitná hemolytická anémia zapríčinená liekmi
Hematologické a hematoonkologické ochorenia;d591;Iná autoimunitná hemolytická anémia
Hematologické a hematoonkologické ochorenia;d592;Neautoimunitná hemolytická anémia zapríčinená liekmi
Hematologické a hematoonkologické ochorenia;d594;Iná neautoimunitná hemolytická anémia
Hematologické a hematoonkologické ochorenia;d595;Paroxyzmálna nočná hemoglobinúria
Hematologické a hematoonkologické ochorenia;d596;Hemoglobinúria zapríčinená hemolýzou z iných vonkajších príčin
Hematologické a hematoonkologické ochorenia;d598;Iná získaná hemolytická anémia
Hematologické a hematoonkologické ochorenia;d599;Získaná hemolytická anémia, bližšie neurčená
Hematologické a hematoonkologické ochorenia;d60-;Získaná čistá aplázia červených krviniek [erytroblastopénia] [pure red cell aplasia]
Hematologické a hematoonkologické ochorenia;d610;Vrodená aplastická anémia
Hematologické a hematoonkologické ochorenia;d6118;Iná aplastická anémia zapríčinená liekmi
Hematologické a hematoonkologické ochorenia;d6119;Aplastická anémia zapríčinená liekmi, bližšie neurčená
Hematologické a hematoonkologické ochorenia;d612;Aplastická anémia z iných vonkajších príčin
Hematologické a hematoonkologické ochorenia;d613;Idiopatická aplastická anémia
Hematologické a hematoonkologické ochorenia;d618;Iná aplastická anémia, bližšie určená
Hematologické a hematoonkologické ochorenia;d619;Aplastická anémia, bližšie neurčená
Hematologické a hematoonkologické ochorenia;d640;Dedičná sideroblastová [sideroachrestická] anémia
Hematologické a hematoonkologické ochorenia;d641;Sekundárna sideroblastová [sideroachrestická] anémia zapríčinená ochorením
Hematologické a hematoonkologické ochorenia;d643;Iná sideroblastová [sideroachrestická] anémia
Hematologické a hematoonkologické ochorenia;d644;Vrodená dyserytropoetická anémia
Hematologické a hematoonkologické ochorenia;d65-;Diseminovaná intravaskulárna koagulácia [Defibrinačný syndróm]
Hematologické a hematoonkologické ochorenia;d66;Dedičný nedostatok faktora VIII
Hematologické a hematoonkologické ochorenia;d67;Dedičný nedostatok faktora IX
Hematologické a hematoonkologické ochorenia;d680;Von Willebrandova choroba
Hematologické a hematoonkologické ochorenia;d681;Dedičný nedostatok faktora XI
Hematologické a hematoonkologické ochorenia;d682;Dedičný nedostatok iných koagulačných faktorov
Hematologické a hematoonkologické ochorenia;d6831;Stav krvácavosti zapríčinený zvýšením protilátok proti faktoru VIII
Hematologické a hematoonkologické ochorenia;d6832;Stav krvácavosti zapríčinený zvýšením plazmatickej koncentrácie protilátok proti iným faktorom zrážania krvi
Hematologické a hematoonkologické ochorenia;d6838;Iný stav krvácavosti zapríčinený inými a bližšie neurčenými protilátkami
Hematologické a hematoonkologické ochorenia;d684;Získaný nedostatok koagulačného faktora
Hematologické a hematoonkologické ochorenia;d688;Iná porucha zrážanlivosti krvi, bližšie určená
Hematologické a hematoonkologické ochorenia;d689;Porucha zrážanlivosti krvi, bližšie neurčená
Hematologické a hematoonkologické ochorenia;d691;Kvalitatívna porucha doštičiek
Hematologické a hematoonkologické ochorenia;d692;Iná netrombocytopenická purpura
Hematologické a hematoonkologické ochorenia;d693;Idiopatická trombocytopenická purpura
Hematologické a hematoonkologické ochorenia;d6952;Trombocytopénia indukovaná heparínom, typ I
Hematologické a hematoonkologické ochorenia;d6953;Trombocytopénia zapríčinená heparínom, typ II
Hematologické a hematoonkologické ochorenia;d6959;Sekundárna trombocytopénia, bližšie neurčená
Hematologické a hematoonkologické ochorenia;d6961;Trombocytopénia, bližšie neurčená, neoznačená ako refraktérna na transfúznu liečbu
Hematologické a hematoonkologické ochorenia;d701-;Agranulocytóza a neutropénia zapríčinená liekmi
Hematologické a hematoonkologické ochorenia;d706;Iná neutropénia
Hematologické a hematoonkologické ochorenia;d707;Neutropénia, bližšie neurčená
Hematologické a hematoonkologické ochorenia;d71;Funkčná porucha polymorfonukleárnych neutrofilov
Hematologické a hematoonkologické ochorenia;d720;Genetická anomália leukocytov
Hematologické a hematoonkologické ochorenia;d728;Iná bližšie určená porucha leukocytov
Hematologické a hematoonkologické ochorenia;d729;Porucha leukocytov, bližšie neurčená
Hematologické a hematoonkologické ochorenia;d739;Choroba sleziny, bližšie neurčená
Hematologické a hematoonkologické ochorenia;d740;Vrodená methemoglobinémia
Hematologické a hematoonkologické ochorenia;d748;Iná methemoglobinémia
Hematologické a hematoonkologické ochorenia;d758;Iná bližšie určená choroba krvi a krvotvorných orgánov
Hematologické a hematoonkologické ochorenia;d759;Choroba krvi a krvotvorných orgánov, bližšie neurčená
Hematologické a hematoonkologické ochorenia;d761;Hemofagocytová lymfohistiocytóza
Hematologické a hematoonkologické ochorenia;d763;Iný syndróm histiocytózy
Hematologické a hematoonkologické ochorenia;k771-;Postihnutie pečene pri akútnej chorobe štepu proti hostiteľovi [GVHD]
Hematologické a hematoonkologické ochorenia;k932-;Postihnutie tráviacej trubice pri akútnej chorobe štepu proti hostiteľovi [GVHD]
Hematologické a hematoonkologické ochorenia;l991-;Postihnutie kože pri akútnej chorobe štepu proti hostiteľovi, [GVHD] (T86.01†, T86.02†)
Hematologické a hematoonkologické ochorenia;m311;Trombotická mikroangiopatia
Hematologické a hematoonkologické ochorenia;t860-;Zlyhanie transplantátu krvotvorných kmeňových buniek a choroba graft versus host
Infekcia nervového systému - vybrané diagnózy I.;a848;Iná vírusová encefalitída prenášaná kliešťami
Infekcia nervového systému - vybrané diagnózy I.;a849;Vírusová encefalitída prenášaná kliešťami, bližšie neurčená
Infekcia nervového systému - vybrané diagnózy I.;a85-;Iná vírusová encefalitída, nezatriedená inde
Infekcia nervového systému - vybrané diagnózy I.;a86;Vírusová encefalitída, bližšie neurčená
Infekcia nervového systému - vybrané diagnózy I.;a870;Enterovírusová meningitída (G02.0*)
Infekcia nervového systému - vybrané diagnózy I.;a871;Adenovírusová meningitída (G02.0*)
Infekcia nervového systému - vybrané diagnózy I.;a872;Lymfocytová choriomeningitída
Infekcia nervového systému - vybrané diagnózy I.;b004;Herpetická encefalitída (G05.1*)
Infekcia nervového systému - vybrané diagnózy I.;b011;Varicelová encefalitída (G05.1*)
Infekcia nervového systému - vybrané diagnózy I.;b020;Zosterová encefalitída (G05.1*)
Infekcia nervového systému - vybrané diagnózy I.;b022;Zoster s postihnutím iných častí nervovej sústavy
Infekcia nervového systému - vybrané diagnózy I.;b050;Osýpky komplikované encefalitídou (G05.1*)
Infekcia nervového systému - vybrané diagnózy I.;b060;Ružienka s nervovými komplikáciami
Infekcia nervového systému - vybrané diagnózy I.;b262;Parotitická encefalitída (G05.1*)
Infekcia nervového systému - vybrané diagnózy I.;b582;Toxoplazmová meningoencefalitída (G05.2*)
Infekcia nervového systému - vybrané diagnózy I.;g041;Tropická spastická paraplégia
Infekcia nervového systému - vybrané diagnózy I.;g048;Iná encefalitída, myelitída a encefalomyelitída
Infekcia nervového systému - vybrané diagnózy I.;g09;Následky zápalových chorôb centrálnej nervovej sústavy
Infekcia nervového systému - vybrané diagnózy II.;a809;Akútna poliomyelitída, bližšie neurčená
Infekcia nervového systému - vybrané diagnózy II.;a83-;Vírusová encefalitída, prenášaná komármi
Infekcia nervového systému - vybrané diagnózy II.;a840;Kliešťová encefalitída Ďalekého východu [ruská jarno-letná encefalitída]
Infekcia nervového systému - vybrané diagnózy II.;a841;Stredoeurópska kliešťová encefalitída
Infekcia nervového systému - vybrané diagnózy II.;b451;Kryptokokóza mozgu
Infekcia nervového systému - vybrané diagnózy II.;b461;Rinocerebrálna mukormykóza
Infekcia nervového systému - vybrané diagnózy II.;b500;Malária zapríčinená Plasmodium falciparum s mozgovými komplikáciami
Infekcia nervového systému - vybrané diagnózy II.;b690;Cysticerkóza centrálnej nervovej sústavy
Infekcia nervového systému - vybrané diagnózy II.;g031;Chronická meningitída
Infekcia nervového systému - vybrané diagnózy II.;g032;Benígna recidivujúca meningitída [Mollaretova]
Infekcia nervového systému - vybrané diagnózy II.;g040;Akútna diseminovaná encefalitída
Infekcia nervového systému - vybrané diagnózy II.;g049;Encefalitída, myelitída a encefalomyelitída, bližšie neurčená
Infekcia nervového systému - vybrané diagnózy II.;g05-;Encefalitída, myelitída a encefalomyelitída pri chorobách zatriedených inde
Infekcia nervového systému - vybrané diagnózy II.;g060;Intrakraniálny absces a granulóm
Infekcia nervového systému - vybrané diagnózy II.;g061;Intraspinálny absces a granulóm
Infekcia nervového systému - vybrané diagnózy II.;g07;Intrakraniálny a intraspinálny absces a granulóm pri chorobách zatriedených inde
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a020;Salmonelová enteritída
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a022;Lokalizovaná salmonelová infekcia
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a028;Iná salmonelová infekcia, bližšie určená
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a060;Akútna amébová dyzentéria
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a061;Chronická črevná amebóza
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a063;Črevný amebóm
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a064;Amébový absces pečene
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a15-;Tuberkulóza dýchacej sústavy bakteriologicky, molekulovobiologicky alebo histologicky potvrdená
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a16-;Tuberkulóza dýchacej sústavy nepotvrdená bakteriologicky, molekulovobiologicky alebo histologicky
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a179;Tuberkulóza nervovej sústavy, bližšie neurčená
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a180;Tuberkulóza kostí a kĺbov
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a181;Tuberkulóza močovopohlavnej sústavy
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a182;Tuberkulózna periférna lymfadenopatia
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a183;Tuberkulóza čriev, peritonea a mezentériových lymfatických uzlín
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a184;Tuberkulóza kože a podkožného tkaniva
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a185;Tuberkulóza oka
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a186;Tuberkulóza ucha
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a188;Tuberkulóza iných bližšie určených orgánov
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a19-;Miliárna tuberkulóza
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a210;Ulceroglandulárna tularémia
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a211;Okuloglandulárna tularémia
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a212;Pľúcna tularémia
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a213;Gastrointestinálna tularémia
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a217;Generalizovaná tularémia
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a219;Tularémia, bližšie neurčená
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a230;Brucelóza zapríčinená Brucella melitensis
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a231;Brucelóza zapríčinená Brucella abortus
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a232;Brucelóza zapríčinená Brucella suis
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a233;Brucelóza zapríčinená Brucella canis
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a238;Iná brucelóza
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a268;Iná forma eryzipeloidu
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a270;Leptospiróza zapríčinená Leptospira icterohaemorrhagiae [Weilova choroba]
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a278;Iná forma leptospirózy
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a282;Extraintestinálna yersinióza
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a288;Iná baktériová zoonóza, bližšie určená, nezatriedená inde
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a320;Kožná listerióza
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a328;Iná forma listeriózy
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a692-;Lymská choroba
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a841;Stredoeurópska kliešťová encefalitída
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a848;Iná vírusová encefalitída prenášaná kliešťami
Infekčné a paracitárne ochorenie -pracovné lekárstvo;a849;Vírusová encefalitída prenášaná kliešťami, bližšie neurčená
Infekčné a paracitárne ochorenie -pracovné lekárstvo;b18-;Chronická vírusivá hepatitída
Infekčné a paracitárne ochorenie -pracovné lekárstvo;b208;Choroba HIV s následnými inými infekčnými a parazitovými chorobami bližšie určenými
Infekčné a paracitárne ochorenie -pracovné lekárstvo;b227;Choroba HIV s následnými rozličnými chorobami zatriedenými inde
Infekčné a paracitárne ochorenie -pracovné lekárstvo;b342;Koronavírusová infekcia bez bližšieho určenia miesta
Infekčné a paracitárne ochorenie -pracovné lekárstvo;b50-;Malária zapríčinená Plasmodium falciparum
Infekčné a paracitárne ochorenie -pracovné lekárstvo;b51-;Malária zapríčinená Plasmodium vivax
Infekčné a paracitárne ochorenie -pracovné lekárstvo;b52-;Malária zapríčinená Plasmodium malariae
Infekčné a paracitárne ochorenie -pracovné lekárstvo;b53-;Iná parazitologicky potvrdená malária
Infekčné a paracitárne ochorenie -pracovné lekárstvo;b54;Malária, bližšie neurčená
Infekčné a paracitárne ochorenie -pracovné lekárstvo;b86;Scabies
Infekčné a paracitárne ochorenie -pracovné lekárstvo;b948;Následky iných bližšie určených infekčných a parazitových chorôb
Infekčné a paracitárne ochorenie -pracovné lekárstvo;b949;Následky bližšie neurčených infekčných alebo parazitových chorôb
Infekčné a paracitárne ochorenie -pracovné lekárstvo;u071;Potvrdená infekcia COVID-19
Infekčné a paracitárne ochorenie -pracovné lekárstvo;u072;Podozrenie z infekcie COVID-19
Infekčné a paracitárne ochorenie -pracovné lekárstvo;u073;Potvrdená infekcia COVID-19 PCR testom
Infekčné a paracitárne ochorenie -pracovné lekárstvo;u074;Potvrdená infekcia COVID-19 Ag testom
Infekčné a paracitárne ochorenie -pracovné lekárstvo;u080;Osobná anamnéza COVID-19
Infekčné a paracitárne ochorenie -pracovné lekárstvo;u100;Multisystémový zápalový syndróm v časovom vzťahu ku COVID-19
Infekčné a paracitárne ochorenie -pracovné lekárstvo;u109;Multisystémový zápalový syndróm v časovom vzťahu ku COVID-19, bližšie neurčený
Intoxikácie - pracovné lekárstvo;g622;Polyneuropatia zapríčinená inými toxickými látkami
Intoxikácie - pracovné lekárstvo;g701;Toxická nervovosvalová choroba
Intoxikácie - pracovné lekárstvo;m1009;Idiopatická dna, miesto bližšie neurčené
Intoxikácie - pracovné lekárstvo;n141;Nefropatia zapríčinená liečivami, liekmi alebo biologickými látkami
Intoxikácie - pracovné lekárstvo;n142;Nefropatia zapríčinená bližšie neurčeným liečivom, liekom alebo biologickou látkou
Intoxikácie - pracovné lekárstvo;n143;Nefropatia zapríčinená ťažkými kovmi
Intoxikácie - pracovné lekárstvo;n144;Toxická nefropatia, nezatriedená inde
Intoxikácie - pracovné lekárstvo;n158;Iná tubulointersticiálna choroba obličiek, bližšie určená
Intoxikácie - pracovné lekárstvo;n189;Chronická choroba obličiek, bližšie neurčená
Intoxikácie - pracovné lekárstvo;t36-;Otrava celkovo účinkujúcimi antibiotikami
Intoxikácie - pracovné lekárstvo;t37-;Otrava inými systémovo účinkujúcimi protiinfekčnými a antiparazitovými prostriedkami
Intoxikácie - pracovné lekárstvo;t38-;Otrava hormónmi, ich syntetickými náhradami a antagonistami, nezatriedená inde
Intoxikácie - pracovné lekárstvo;t39-;Otrava neopioidovými analgetikami, antipyretikami a antireumatikami
Intoxikácie - pracovné lekárstvo;t40-;Otrava opiátmi a psychodysleptikami [halucinogénmi]
Intoxikácie - pracovné lekárstvo;t41-;Otrava anestetikami a liečebnými plynmi
Intoxikácie - pracovné lekárstvo;t42-;Otrava antiepileptikami, sedatívami, hypnotikami a antiparkinsonikami
Intoxikácie - pracovné lekárstvo;t43-;Otrava psychotropnými látkami, nezatriedenými inde
Intoxikácie - pracovné lekárstvo;t44-;Otrava liečivami, účinkujúcimi najmä na autonómnu nervovú sústavu
Intoxikácie - pracovné lekárstvo;t45-;Otrava prostriedkami, účinkujúcimi najmä celkovo a na zložky krvi, nezatriedenými inde
Intoxikácie - pracovné lekárstvo;t46-;Otrava prostriedkami, účinkujúcimi najmä na obehovú sústavu
Intoxikácie - pracovné lekárstvo;t47-;Otrava prostriedkami, účinkujúcimi najmä na tráviacu sústavu
Intoxikácie - pracovné lekárstvo;t48-;Otrava prostriedkami, účinkujúcimi primárne na hladké a kostrové svaly a na dýchaciu sústavu
Intoxikácie - pracovné lekárstvo;t490;Otrava protiplesňovými, protiinfekčnými a protizápalovými liekmi s miestnym účinokm, nezatriedenými inde
Intoxikácie - pracovné lekárstvo;t491;Otrava antipruriginózami
Intoxikácie - pracovné lekárstvo;t492;Otrava lokálnymi adstringenciami a detergenciami
Intoxikácie - pracovné lekárstvo;t493;Otrava emolienciami, demulcenciami a ochrannými prostriedkami
Intoxikácie - pracovné lekárstvo;t494;Otrava keratolytikami, keratoplastikami a inými liekmi a prípravkami na ošetrovanie vlasov
Intoxikácie - pracovné lekárstvo;t496;Otrava liekmi a prípravkami používanými v otorinolaryngológii
Intoxikácie - pracovné lekárstvo;t497;Otrava zubnými liekmi na miestne použitie
Intoxikácie - pracovné lekárstvo;t498;Otrava inými prostriedkami na miestne použitie
Intoxikácie - pracovné lekárstvo;t499;Otrava prostriedkami na miestne použitie, bližšie neurčenými
Intoxikácie - pracovné lekárstvo;t50-;Otrava diuretikami a inými bližšie neurčenými liekmi, liečivami a biologickými látkami
Intoxikácie - pracovné lekárstvo;t51-;Toxický účinok alkoholu
Intoxikácie - pracovné lekárstvo;t52-;Toxický účinok organických rozpúšťadiel
Intoxikácie - pracovné lekárstvo;t53-;Toxický účinok halogénových derivátov alifatických a aromatických uhľovodíkov
Intoxikácie - pracovné lekárstvo;t54-;Toxický účinok leptavej látky
Intoxikácie - pracovné lekárstvo;t55;Toxický účinok mydla a detergencia
Intoxikácie - pracovné lekárstvo;t56-;Toxický účinok kovu
Intoxikácie - pracovné lekárstvo;t57-;Toxický účinok inej anorganickej látky
Intoxikácie - pracovné lekárstvo;t58;Toxický účinok oxidu uhoľnatého (CO)
Intoxikácie - pracovné lekárstvo;t59-;Toxický účinok iného plynu, dymu a výparov
Intoxikácie - pracovné lekárstvo;t60-;Toxický účinok pesticídu
Intoxikácie - pracovné lekárstvo;t61-;Toxický účinok škodlivých látok požitých ako morská potrava
Intoxikácie - pracovné lekárstvo;t62-;Toxický účinok iných škodlivých látok požitých ako potrava
Intoxikácie - pracovné lekárstvo;t63-;Toxický účinok kontaktu s jedovatými zvieratami
Intoxikácie - pracovné lekárstvo;t64;Toxický účinok aflatoxínu a iných mykotoxínov, znečisťujúcich potravu
Intoxikácie - pracovné lekárstvo;t65-;Toxický účinok inej a bližšie neurčenej látky
Intoxikácie - pracovné lekárstvo;x454;Náhodná otrava a priotrávenie alkoholom - MU: Ulica a cesta
Intoxikácie - pracovné lekárstvo;x455;Náhodná otrava a priotrávenie alkoholom - MU: Obchod a služby
Intoxikácie - pracovné lekárstvo;x456;Náhodná otrava a priotrávenie alkoholom - MU: Priemyselné objekty
Intoxikácie - pracovné lekárstvo;x457;Náhodná otrava a priotrávenie alkoholom - MU: Poľnohospodárske
Intoxikácie - pracovné lekárstvo;x458;Náhodná otrava a priotrávenie alkoholom - MU: Iné špecifikované miesta
Intoxikácie - pracovné lekárstvo;x459;Náhodná otrava a priotrávenie alkoholom - MU: Nešpecifikované miesto
Intoxikácie - pracovné lekárstvo;x464;Náhodná otrava a priotrávenie organickými rozpúšťadlami, halogenovanými uhľovodíkmi a ich výparmi - MU: Ulica a cesta
Intoxikácie - pracovné lekárstvo;x465;Náhodná otrava a priotrávenie organickými rozpúšťadlami, halogenovanými uhľovodíkmi a ich výparmi - MU: Obchod a služby
Intoxikácie - pracovné lekárstvo;x466;Náhodná otrava a priotrávenie organickými rozpúšťadlami, halogenovanými uhľovodíkmi a ich výparmi - MU: Priemyselné objekty
Intoxikácie - pracovné lekárstvo;x467;Náhodná otrava a priotrávenie organickými rozpúšťadlami, halogenovanými uhľovodíkmi a ich výparmi - MU: Poľnohospodárske
Intoxikácie - pracovné lekárstvo;x468;Náhodná otrava a priotrávenie organickými rozpúšťadlami, halogenovanými uhľovodíkmi a ich výparmi - MU: Iné špecifikované miesta
Intoxikácie - pracovné lekárstvo;x469;Náhodná otrava a priotrávenie organickými rozpúšťadlami, halogenovanými uhľovodíkmi a ich výparmi - MU: Nešpecifikované miesto
Intoxikácie - pracovné lekárstvo;x474;Náhodná otrava a priotrávenie inými plynmi a výparmi - MU: Ulica a cesta
Intoxikácie - pracovné lekárstvo;x475;Náhodná otrava a priotrávenie inými plynmi a výparmi - MU: Obchod a služby
Intoxikácie - pracovné lekárstvo;x476;Náhodná otrava a priotrávenie inými plynmi a výparmi - MU: Priemyselné objekty
Intoxikácie - pracovné lekárstvo;x477;Náhodná otrava a priotrávenie inými plynmi a výparmi - MU: Poľnohospodárske
Intoxikácie - pracovné lekárstvo;x478;Náhodná otrava a priotrávenie inými plynmi a výparmi - MU: Iné špecifikované miesta
Intoxikácie - pracovné lekárstvo;x479;Náhodná otrava a priotrávenie inými plynmi a výparmi - MU: Nešpecifikované miesto
Intoxikácie - pracovné lekárstvo;x484;Náhodná otrava a priotrávenie pesticídmi - miesto udalosti - MU: Ulica a cesta
Intoxikácie - pracovné lekárstvo;x485;Náhodná otrava a priotrávenie pesticídmi - miesto udalosti - MU: Obchod a služby
Intoxikácie - pracovné lekárstvo;x486;Náhodná otrava a priotrávenie pesticídmi - miesto udalosti - MU: Priemyselné objekty
Intoxikácie - pracovné lekárstvo;x487;Náhodná otrava a priotrávenie pesticídmi - miesto udalosti - MU: Poľnohospodárske
Intoxikácie - pracovné lekárstvo;x488;Náhodná otrava a priotrávenie pesticídmi - miesto udalosti - MU: Iné špecifikované miesta
Intoxikácie - pracovné lekárstvo;x489;Náhodná otrava a priotrávenie pesticídmi - miesto udalosti - MU: Nešpecifikované miesto
Intoxikácie - pracovné lekárstvo;x493;Náhodná otrava a priotr. inými a bližšie neurčenými chemikáliami a škodlivými látkami - MU: Športové a atletické priestranstvo
Intoxikácie - pracovné lekárstvo;x494;Náhodná otrava a priotr. inými a bližšie neurčenými chemikáliami a škodlivými látkami - MU: Ulica a cesta
Intoxikácie - pracovné lekárstvo;x495;Náhodná otrava a priotr. inými a bližšie neurčenými chemikáliami a škodlivými látkami - MU: Obchod a služby
Intoxikácie - pracovné lekárstvo;x496;Náhodná otrava a priotr. inými a bližšie neurčenými chemikáliami a škodlivými látkami - MU: Priemyselné objekty
Intoxikácie - pracovné lekárstvo;x497;Náhodná otrava a priotr. inými a bližšie neurčenými chemikáliami a škodlivými látkami - MU: Poľnohospodárske
Intoxikácie - pracovné lekárstvo;x498;Náhodná otrava a priotr. inými a bližšie neurčenými chemikáliami a škodlivými látkami - MU: Iné špecifikované miesta
Intoxikácie - pracovné lekárstvo;x499;Náhodná otrava
Intoxikácie - pracovné lekárstvo;y155;Otrava a priotrávenie alkoholom s neurčeným úmyslom - MU: Obchod a služby
Intoxikácie - pracovné lekárstvo;y156;Otrava a priotrávenie alkoholom s neurčeným úmyslom - MU: Priemyselné objekty
Intoxikácie - pracovné lekárstvo;y157;Otrava a priotrávenie alkoholom s neurčeným úmyslom - MU: Poľnohospodárske
Intoxikácie - pracovné lekárstvo;y158;Otrava a priotrávenie alkoholom s neurčeným úmyslom - MU: Iné špecifikované miesta
Intoxikácie - pracovné lekárstvo;y159;Otrava a priotrávenie alkoholom s neurčeným úmyslom - MU: Nešpecifikované miesto
Intoxikácie - pracovné lekárstvo;y165;Otrava a priotrávenie organickými rozpúšťadlami, halogenovanými uhľovodíkmi a ich výparmi - MU: Obchod a služby
Intoxikácie - pracovné lekárstvo;y166;Otrava a priotrávenie organickými rozpúšťadlami, halogenovanými uhľovodíkmi a ich výparmi - MU: Priemyselné objekty
