kod_vykonu;nazov_vykonu
5n3390;Iná revízia a ďalšie výkony na enterostómii duodena
5n3391;Iná revízia a ďalšie výkony na enterostómii jejuna
5n3392;Iná revízia a ďalšie výkony na enterostómii ilea
5n3393;Iná revízia a ďalšie výkony na enterostómii hrubého čreva
5n339x;Iná revízia a ďalšie výkony na enterostómii, ostatné
5n33a0;Obnovenie kontinuity čreva pri dvojzložkovej jejunostómii
5n33a1;Obnovenie kontinuity čreva pri dvojzložkovej ileostómii
5n33a2;Obnovenie kontinuity čreva pri dvojzložkovej kolostómii
5n33ax;Obnovenie kontinuity čreva pri dvojzložkovej enterostómii, ostatné
5n33b0;Obnovenie kontinuity čreva pri terminálnej jejunostómii
5n33b1;Obnovenie kontinuity čreva pri terminálnej ileostómii
5n33b2;Obnovenie kontinuity čreva pri terminálnej kolostómii
5n33bx;Obnovenie kontinuity čreva pri terminálnej enterostómii, ostatné
5n3400;Sutúra duodena po poranení
5n3401;Sutúra jejuna po poranení
5n3402;Sutúra ilea po poranení
5n3403;Sutúra hrubého čreva po poranení 
5n340x;Sutúra čreva po poranení, ostatné
5n3410;Uzavretie črevnej fistuly duodena, otvorene chirurgicky
5n3411;Uzavretie črevnej fistuly jejuna, otvorene chirurgicky
5n3412;Uzavretie črevnej fistuly ilea, otvorene chirurgicky
5n3413;Uzavretie črevnej fistuly hrubého čreva, otvorene chirurgicky
5n341x;Uzavretie črevnej fistuly otvorene chirurgicky, ostatné
5n3430;Predlžovacia plastika duodena
5n3431;Predlžovacia plastika jejuna
5n3432;Predlžovacia plastika ilea
5n3433;Predlžovacia plastika hrubého čreva
5n343x;Predlžovacia plastika čreva, ostatné
5n3440;Zužovacia plastika duodena
5n3441;Zužovacia plastika jejuna
5n3442;Zužovacia plastika ilea
5n3443;Zužovacia plastika hrubého čreva
5n344x;Zužovacia plastika čreva, ostatné
5n3450;Revízia anastomózy duodena
5n3451;Revízia anastomózy jejuna
5n3452;Revízia anastomózy ilea
5n3453;Revízia anastomózy hrubého čreva
5n345x;Revízia anastomózy čreva, iné
5n3460;Transplantácia duodena
5n3461;Transplantácia jejuna
5n3462;Transplantácia ilea
5n346x;Transplantácia tenkého čreva, iné
5n34a0;Longitudinálne predĺženie čreva podľa Bianchiho
5n3501;Dezinvaginácia jejuna
5n3502;Dezinvaginácia ilea
5n3503;Dezinvaginácia hrubého čreva
5n350x;Dezinvaginácia čreva, ostatné
5n3511;Detorzia [derotácia] pri volvule jejuna
5n3512;Detorzia [derotácia] pri volvule ilea
5n3513;Detorzia [derotácia] pri volvule hrubého čreva
5n351x;Detorzia [derotácia] pri volvule, ostatné
5n35xx;Intraabdominálne manipulácie na čreve, ostatné
5n360;Apendektómia, laparotomicky
5n3610;Apendektómia, laparoskopicky pomocou slučky alebo ligatúry
5n3611;Apendektómia, laparoskopicky pomocou clampu (stapler)
5n361x;Apendektómia, laparoskopicky, ostatné
5n362;Apendektómia, konverzia laparoskopie na laparotómiu
5n36a;Simultánna apendektómia počas laparotómie z iných dôvodov
5n36b0;Simultánna apendektómia počas laparoskopie z iných dôvodov pomocou slučiek alebo ligatúry
5n36b1;Simultánna apendektómia počas laparoskopie z iných dôvodov pomocou clampu (stapler)
5n36bx;Simultánna apendektómia počas laparoskopie z iných dôvodov, ostatné
5n36x;Apendektómia, iná
5n3900;Dekompresia čreva, laparotomicky
5n3902;Dekompresia čreva, laparoskopicky
5n3904;Dekompresia čreva, konverzia z laparoskopie na laparotómiu
5n3910;Vloženie alebo výmena samoexpandovateľnej protézy na čreve, laparotomicky
5n3912;Vloženie alebo výmena samoexpandovateľnej protézy na čreve, laparoskopicky
5n3914;Vloženie alebo výmena samoexpandovateľnej protézy na čreve, konverzia laparoskopie na laparotómiu
5n3920;Adheziolýza na čreve, laparotomicky
5n3922;Adheziolýza na čreve, laparoskopicky
5n3924;Adheziolýza na čreve, konverzia z laparoskopie na laparotómiu
5n392x;Adheziolýza na čreve, ostatné
5n3930;Plikácia tenkého čreva, laparotomicky
5n3932;Plikácia tenkého čreva, laparoskopicky
5n3934;Plikácia tenkého čreva, konverzia z laparoskopie na laparotómiu
5n393x;Plikácia tenkého čreva, ostatné
5n3940;Myotómia (ténia hrubého čreva), laparotomicky
5n3942;Myotómia (ténia hrubého čreva), laparoskopicky
5n3944;Myotómia (ténia hrubého čreva), konverzia z laparoskopie na laparotómiu
5n394x;Myotómia (ténia hrubého čreva), ostatné
5n3950;Fixácia tenkého čreva na pravú stranu brušnej steny a hrubého čreva na ľavú stranu brušnej steny, laparotomicky
5n3952;Fixácia tenkého čreva na pravú stranu brušnej steny a hrubého čreva na ľavú stranu brušnej steny, laparoskopicky
5n3954;Fixácia tenkého čreva na pravú stranu brušnej steny a hrubého čreva na ľavú stranu brušnej steny, konverzia z laparoskopie na laparotómiu
5n395x;Fixácia tenkého čreva na pravú stranu brušnej steny a hrubého čreva na ľavú stranu brušnej steny, ostatné
5n3960;Oddelenie Laddových väzov na čreve, laparotomicky
5n3962;Oddelenie Laddových väzov na čreve, laparoskopicky
5n3964;Oddelenie Laddových väzov na čreve, konverzia z laparoskopie na laparotómiu
5n396x;Oddelenie Laddových väzov na čreve, ostatné
5n3970;Sutúra ulkusu na čreve, laparotomicky
5n3972;Sutúra ulkusu na čreve, laparoskopicky
5n3974;Sutúra ulkusu na čreve, konverzia z laparoskopie na laparotómiu
5n397x;Sutúra ulkusu na čreve, ostatné
5n3980;Opich ulkusu na čreve, laparotomicky
5n3982;Opich ulkusu na čreve, laparoskopicky
5n3984;Opich ulkusu na čreve, konverzia z laparoskopie na laparotómiu
5n398x;Opich ulkusu na čreve, ostatné
5n39h0;Dilatácia tenkého čreva, laparotomicky
5n39h2;Dilatácia tenkého čreva, laparoskopicky
5n39h4;Dilatácia tenkého čreva, konverzia z laparoskopie na laparotómiu
5n39j0;Dilatácia hrubého čreva, laparotomicky
5n39j2;Dilatácia hrubého čreva, laparoskopicky
5n39j4;Dilatácia hrubého čreva, konverzia z laparoskopie na laparotómiu
5n39k;Incízia a drenáž perityflitického abscesu apendixu
5n39l;Sekundárna apendektómia
5n39x0;Iné operačné výkony na čreve, laparotomicky
5n39x2;Iné operačné výkony na čreve, laparoskopicky
5n39x4;Iné operačné výkony na čreve, konverzia z laparoskopie na laparotómiu
5n4100;Peranálna lokálna excízia a deštrukcia chorého tkaniva konečníka, resekcia slučkou peranálne
5n4107;Peranálna lokálna excízia a deštrukcia chorého tkaniva konečníka, resekcia slučkou endoskopicko-mikrochirurgicky
5n410x;Peranálna lokálna excízia a deštrukcia chorého tkaniva konečníka, resekcia slučkou, ostatné
5n4110;Peranálna lokálna excízia a deštrukcia chorého tkaniva konečníka, submukózna excízia peranálne
5n4117;Peranálna lokálna excízia a deštrukcia chorého tkaniva konečníka, submukózna excízia endoskopicko-mikrochirurgicky
5n411x;Peranálna lokálna excízia a deštrukcia chorého tkaniva konečníka, submukózna excízia ostatné
5n4180;Peranálna excízia celej steny chorého tkaniva konečníka, lokálne peranálne
5n4187;Peranálna excízia celej steny chorého tkaniva konečníka, lokálne endoskopicko-mikrochirurgicky
5n4188;Peranálna lokálna excízia celej steny chorého tkaniva konečníka, transanálne miniinvazívne [TAMIS]
5n418x;Peranálna lokálna excízia celej steny chorého tkaniva konečníka,  ostatné
5n4190;Peranálna excízia celej steny chorého tkaniva konečníka, cirkulárna peranálne 
5n4197;Peranálna excízia celej steny chorého tkaniva konečníka, cirkulárna endoskopicko-mikrochirurgicky
5n419x;Peranálna excízia celej steny chorého tkaniva konečníka, cirkulárna ostatné
5n41a7;Peranálna excízia celej steny chorého tkaniva konečníka, cirkulárna intraperitoneálna endoskopická, mikrochirurgická
5n41b0;Peranálne cirkulárna excízia celej steny chorého tkalniva konečníka so staplerom
5n41b1;Peranálne semicirkulárna excízia celej steny chorého tkalniva konečníka so staplerom
5n42001;Predná manžetová resekcia konečníka pri uchovaní sfinkteru, otvorene chirurgicky s anastomózou
5n42002;Predná manžetová resekcia konečníka pri uchovaní sfinkteru, otvorene chirurgicky s enterostómiou a slepým uzáverom
5n42021;Predná manžetová resekcia konečníka pri uchovaní sfinkteru, laparoskopicky s anastomózou 
5n42022;Predná manžetová resekcia konečníka pri uchovaní sfinkteru, laparoskopicky s enterostómiou a slepým uzáverom
5n420x;Predná manžetová resekcia konečníka pri uchovaní sfinkteru, laparoskopicky ostatné
5n42101;Zadná manžetová resekcia konečníka pri uchovaní sfinkteru, otvorene chirurgicky s anastomózou
5n42102;Zadná manžetová resekcia konečníka pri uchovaní sfinkteru, otvorene chirurgicky s enterostómiou a slepým uzáverom
5n421x;Zadná manžetová resekcia konečníka pri uchovaní sfinkteru, laparoskopicky ostatné
5n42201;Tubulárna resekcia konečníka pri uchovaní sfinkteru, pri ponechaní paraprokta, otvorene chirurgicky s anastomózou
5n42202;Tubulárna resekcia konečníka pri uchovaní sfinkteru, pri ponechaní paraprokta, otvorene chirurgicky s enterostómiou a slepým uzáverom
5n42221;Tubulárna resekcia konečníka pri uchovaní sfinkteru, pri ponechaní paraprokta, laparoskopicky s anastomózou
5n42222;Tubulárna resekcia konečníka pri uchovaní sfinkteru, pri ponechaní paraprokta, laparoskopicky s enterostómiou a slepým uzáverom
5n4227;Tubulárna resekcia konečníka pri uchovaní sfinkteru, pri ponechaní paraprokta, peranálne
5n422x;Tubulárna resekcia konečníka pri uchovaní sfinkteru, pri ponechaní paraprokta, ostatné
5n42301;Predná resekcia konečníka pri uchovaní sfinkteru, otvorene chirurgicky s anastomózou
5n42302;Predná resekcia konečníka pri uchovaní sfinkteru, otvorene chirurgicky s enterostómiou a slepým uzáverom
5n42321;Predná resekcia konečníka pri uchovaní sfinkteru, laparoskopicky s anastomózou
5n42322;Predná resekcia konečníka pri uchovaní sfinkteru, laparoskopicky s enterostómiou a slepým uzáverom
5n423x;Predná resekcia konečníka pri uchovaní sfinkteru, ostatné
5n42401;Vysoká predná resekcia konečníka pri uchovaní sfinkteru, otvorene chirurgicky s anastomózou
5n42402;Vysoká predná resekcia konečníka pri uchovaní sfinkteru, otvorene chirurgicky s enterostómiou a slepým uzáverom
5n42421;Vysoká predná resekcia konečníka pri uchovaní sfinkteru, laparoskopicky s anastomózou
5n42422;Vysoká predná resekcia konečníka pri uchovaní sfinkteru, laparoskopicky s enterostómiou a slepým uzáverom
5n424x;Vysoká predná resekcia konečníka pri uchovaní sfinkteru, ostatné
5n42501;Hlboká predná resekcia konečníka pri uchovaní sfinkteru, otvorene chirurgicky s anastomózou
5n42502;Hlboká predná resekcia konečníka pri uchovaní sfinkteru, otvorene chirurgicky s enterostómiou a slepým uzáverom
5n42521;Hlboká predná resekcia konečníka pri uchovaní sfinkteru, laparoskopicky s anastomózou
5n42522;Hlboká predná resekcia konečníka pri uchovaní sfinkteru, laparoskopicky s enterostómiou a slepým uzáverom
5n425x;Hlboká predná resekcia konečníka pri uchovaní sfinkteru, ostatné
5n42601;Hlboká predná resekcia konečníka pri uchovaní sfinkteru s peranálnou anastomózou, otvorene chirurgicky s anastomózou
5n42621;Hlboká predná resekcia konečníka pri uchovaní sfinkteru s peranálnou anastomózou, laparoskopicky s anastomózou
5n42622;Hlboká resekcia konečníka pri uchovaní sfinkteru s peranálnou anastomózou, laparoskopicky a endoskopicky s transanálnou excíziou mezorekta [TaTME]
5n426x;Hlboká predná resekcia konečníka pri uchovaní sfinkteru s peranálnou anastomózou, ostatné
5n42701;Rozšírená predná resekcia konečníka pri uchovaní sfinkteru s odstránením od susedných orgánov, otvorene chirurgicky s anastomózou
5n42702;Rozšírená predná resekcia konečníka pri uchovaní sfinkteru s odstránením od susedných orgánov, otvorene chirurgicky s enterostómiou a slepým uzáverom
5n42721;Rozšírená predná resekcia konečníka pri uchovaní sfinkteru s odstránením od susedných orgánov, laparoskopicky s anastomózou
5n42722;Rozšírená predná resekcia konečníka pri uchovaní sfinkteru s odstránením od susedných orgánov, laparoskopicky s enterostómiou a slepým uzáverom
5n427x;Rozšírená predná resekcia konečníka pri uchovaní sfinkteru s odstránením od susedných orgánov, ostatné
5n42901;Iná resekcia konečníka pri uchovaní sfinkteru, otvorene chirurgicky s anastomózou
5n42902;Iná resekcia konečníka pri uchovaní sfinkteru, otvorene chirurgicky s enterostómiou a slepým uzáverom
5n42921;Iná resekcia konečníka pri uchovaní sfinkteru, laparoskopicky s anastomózou
5n42922;Iná resekcia konečníka pri uchovaní sfinkteru, laparoskopicky s enterostómiou a slepým uzáverom
5n429x;Iná resekcia konečníka pri uchovaní sfinkteru, ostatné
5n42a0;Abdominoperineálna resekcia konečníka bez zachovania sfinkteru, laparotomicky
5n42a2;Abdominoperineálna resekcia konečníka bez zachovania sfinkteru, kombinovaná otvorená chirurgická-laparoskopická
5n42ax;Abdominoperineálna resekcia konečníka bez zachovania sfinkteru, ostatné
5n42b;Abdominoperineálna resekcia konečníka bez zachovania sfinkteru s odstránením susedných orgánov
5n42c1;Abdominosakrálna resekcia konečníka bez zachovania sfinkteru, laparotomicky abdominosakrálne
5n42c2;Abdominosakrálna resekcia konečníka bez zachovania sfinkteru, kombinovaná laparotómia-laparoskopia, abdominosakrálne
5n42cx;Abdominosakrálna resekcia konečníka bez zachovania sfinkteru, ostatné
5n42d;Abdominosakrálna resekcia konečníka bez zachovania sfinkteru s odstránením susedných orgánov
5n42e;Sakroperineálna resekcia konečníka bez zachovania sfinkteru
5n42f;Perineálna resekcia konečníka bez zachovania sfinkteru
5n42x;Resekcia konečníka bez zachovania sfinkteru, ostatné
5n430;Sutúra konečníka po poranení 
5n431;Plastická rekonštrukcia konečníka
5n432;Uzavretie jednej dermorektálnej fistuly konečníka
5n433;Abdominálna rektopexia, laparotomicky
5n434;Abdominálna rektopexia, laparoskopicky
5n435;Rektopexie cez zadnú rektotómiu
5n436;Extraanálna resekcia mukózy konečníka
5n439;Rekonštrukcia konečníka, ostatné
5n43a;Sutúra anusu a sfinkterového aparátu po poranení 
5n43b;Serkláž anusu a sfinkterového aparátu
5n43c;Sfinkteromyektómia anusu a sfinkterového aparátu
5n43d;Sfinkterálna plastika anusu a sfinkterového aparátu
5n43e;Predlžovacia plastika anusu a sfinkterového aparátu
5n43f;Grazilisova plastika anusu a sfinkterového aparátu
5n43g0;Anoproktálna plastika anusu a sfinkterového aparátu, laparotomicky
5n43g1;Anoproktálna plastika anusu a sfinkterového aparátu, perineálna
5n43g2;Anoproktálna plastika anusu a sfinkterového aparátu, laparoskopicky
5n43gx;Anoproktálna plastika anusu a sfinkterového aparátu, ostatné
5n43h;Implantácia umelého análneho sfinkteru
5n43j0;Výmena umelého análneho sfinkteru a jeho komponentov, cuff
5n43j1;Výmena umelého análneho sfinkteru a spojovacej pumpy
5n43j2;Výmena umelého análneho sfinkteru a balóna
5n43j3;Výmena umelého análneho sfinkteru a dvoch komponentov
5n43j4;Výmena umelého análneho sfinkteru a všetkých komponentov
5n43k;Odstránenie umelého análneho sfinkteru
5n43x;Rekonštrukcia anusu a sfinkterového aparátu, ostatné
5n440;Incízia chorého tkaniva análneho kanála/tkaniva perianálnej oblasti
5n441;Excízia chorého tkaniva análneho kanála/tkaniva perianálnej oblasti
5n449;Ostatná incízia a excízia z tkaniva perianálnej oblasti
5n44a0;Lokálna excízia chorého tkaniva análneho kanála
5n44a1;Hlboká excízia chorého tkaniva análneho kanála
5n44a2;Hlboká excízia chorého tkaniva análneho kanála, čiastočná resekcia svalstva
5n44ax;Excízia chorého tkaniva análneho kanála, ostatné
5n44b;Lokálna deštrukcia chorého tkaniva análneho kanála
5n450;Incízia análnej fistuly
5n4510;Subkutánna excízia análnej fistuly 
5n4511;Intersfinkterická excízia análnej fistuly
5n4512;Transsfinkterická excízia análnej fistuly 
5n4513;Suprasfinkterická excízia análnej fistuly 
5n4514;Extrasfinkterická excízia análnej fistuly 
5n4515;Submukózna excízia análnej fistuly 
5n4516;Subanodermálna excízia análnej fistuly 
5n451x;Excízia análnej fistuly, ostatné
5n452;Závitová drenáž análnej fistuly
5n453;Uzavretie análnej fistuly pomocou plugovej techniky
5n459;Operatívna liečba análnej fistuly, ostatné
5n45a;Ligatúra hemoroidov
5n45c;Excízia hemoroidov
5n45d;Deštrukcia hemoroidov
5n45e;Operačné ošetrenie hemoroidov so staplerom
5n45f;Excízia hemoroidov s plastickou rekonštrukciou
5n45g0;Ligatúra jednej a. haemorrhoidalis bez rektoanálnej rekonštrukcie
5n45g1;Ligatúra jednej a. haemorrhoidalis s rektoanálnou rekonštrukciou
5n461;Sfinkteroktómia laterálna  
5n462;Sfinkterotómia mediálna 
5n46x;Sfinkteroktómia, ostatné
5n4700;Predná anorektoplastika pri anorektálnych anomáliách, laparotomicky
5n4701;Predná anorektoplastika pri anorektálnych anomáliách, perineálna
5n470x;Predná anorektoplastika pri anorektálnych anomáliách, iná
5n4710;Zadná sagitálna anorektoplastika pri anorektálnych anomáliách [PSARP], laparotomicky
5n4711;Zadná sagitálna anorektoplastika pri anorektálnych anomáliách [PSARP], perineálna
5n471x;Zadná sagitálna anorektoplastika pri anorektálnych anomáliách [PSARP], ostatné
5n4720;Zadná sagitálna anorektoplastika pri anorektálnych anomáliách [PSARP] s uzáverom fistuly k močovopohlavnému systému, laparotomicky
5n4721;Zadná sagitálna anorektoplastika pri anorektálnych anomáliách [PSARP] s uzáverom fistuly k močovopohlavnému systému, perineálna
5n472x;Zadná sagitálna anorektoplastika pri anorektálnych anomáliách [PSARP] s uzáverom fistuly k močovopohlavnému systému, ostatné
5n4730;Zadná sagitálna anorektoplastika pri anorektálnych anomáliách [PSARP] s korektúrou malformácie vaginy s tkanivom lokálneho pôvodu, laparotomicky
5n4731;Zadná sagitálna anorektoplastika pri anorektálnych anomáliách [PSARP] s korektúrou malformácie vaginy s tkanivom lokálneho pôvodu, perineálna
5n473x;Zadná sagitálna anorektoplastika pri anorektálnych anomáliách [PSARP] s korektúrou malformácie vaginy s tkanivom lokálneho pôvodu, ostatné
5n474;Abdominoperineálna plastická operácia prieťahom pri anorektálnych anomáliách
5n475;Sakroabdominoperineálna plastická operácia prieťahom pri anorektálnych anomáliách 
5n476;Análna perineálna plastika pri anorektálnych anomáliách 
5n47x0;Iná primárna plastická rekonštrukcia pri anorektálnych anomáliách, laparotomicky
5n47x1;Iná primárna plastická rekonštrukcia pri anorektálnych anomáliách, perineálna
5n47xx;Iná primárna plastická rekonštrukcia pri anorektálnych anomáliách, ostatné
5n49a;Ligatúra konečníka
5n5100;Atypická resekcia chorého tkaniva pečene, lokálna excízia laparotomicky
5n5102;Atypická resekcia chorého tkaniva pečene, lokálna excízia laparoskopicky
5n5104;Atypická resekcia chorého tkaniva pečene, lokálna excízia konverzia z laparoskopie na laparotómiu
5n510x;Atypická resekcia chorého tkaniva pečene, lokálna excízia, ostatné
5n5110;Resekcia endocysty pečene, laparotomicky
5n5112;Resekcia endocysty pečene, laparoskopicky
5n5114;Resekcia endocysty pečene, konverzia z laparoskopie na laparotómiu
5n511x;Resekcia endocysty pečene, ostatné
5n5120;Klinovitá resekcia chorého tkaniva pečene, laparotomicky
5n5122;Klinovitá resekcia chorého tkaniva pečene, laparoskopicky
5n5124;Klinovitá resekcia chorého tkaniva pečene, konverzia z laparoskopie na laparotómiu
5n512x;Klinovitá resekcia chorého tkaniva pečene, ostatné
5n5140;Lokálna deštrukcia chorého tkaniva pečene pomocou alkoholovej injekcie s využitím navádzacieho zobrazovacieho postupu, laparotomicky
5n5142;Lokálna deštrukcia chorého tkaniva pečene pomocou alkoholovej injekcie s využitím navádzacieho zobrazovacieho postupu, laparoskopicky
5n5144;Lokálna deštrukcia chorého tkaniva pečene pomocou alkoholovej injekcie s využitím navádzacieho zobrazovacieho postupu, konverzia z laparoskopie na laparotómiu
5n514x;Lokálna deštrukcia chorého tkaniva pečene pomocou alkoholovej injekcii s využitím navádzacieho zobrazovacieho postupu, ostatné
5n5150;Lokálna deštrukcia chorého tkaniva pečene indukovanou vysokofrekvenčnou termoterapiou, laparotomicky
5n5152;Lokálna deštrukcia chorého tkaniva pečene indukovanou vysokofrekvenčnou termoterapiou, laparoskopicky
5n5154;Lokálna deštrukcia chorého tkaniva pečene indukovanou vysokofrekvenčnou termoterapiou, konverzia z laparoskopie na laparotómiu
5n515x;Lokálna deštrukcia chorého tkaniva pečene indukovanou vysokofrekvenčnou termoterapiou, ostatné
5n51x0;Iná lokálna deštrukcia chorého tkaniva pečene, laparotomicky
5n51x2;Iná lokálna deštrukcia chorého tkaniva pečene, laparoskopicky
5n51x4;Iná lokálna deštrukcia chorého tkaniva pečene, konverzia z laparoskopie na laparotómiu
5n51xx;Iná lokálna deštrukcia chorého tkaniva pečene, ostatné
5n5200;Anatomická resekcia jedného segmentu pečene, laparotomicky
5n5202;Anatomická resekcia jedného segmentu pečene, laparoskopicky
5n52110;Ľavostranná hemihepatektómia (resekcia segmentov 2, 3, 4a a 4b), laparotomicky
5n52112;Ľavostranná hemihepatektómia (resekcia segmentov 2, 3, 4a a 4b), laparoskopicky
5n52120;Ľavostranná bisegmentektómia pečene (lobektómia ľavostranná, resekcia segmentov 2 a 3), laparotomicky
5n52122;Ľavostranná bisegmentektómia pečene (lobektómia ľavostranná, resekcia segmentov 2 a 3), laparoskopicky
5n5213;Ľavostranná segmentektómia pečene (segment 4)
5n52210;Pravostranná hemihepatektómia (resekcia segmentov 5 až 8), laparotomicky
5n52212;Pravostranná hemihepatektómia (resekcia segmentov 5 až 8), laparoskopicky
5n52220;Trisegmentektómia pečene (resekcia segmentov 4 až 8), laparotomicky
5n52222;Trisegmentektómia pečene (resekcia segmentov 4 až 8), laparoskopicky
5n5223;Rozsiahla pravostranná hepatektómia (segmenty 4,5,6,7,8) alebo trisegmentómia
5n5224;Pravostranná zadná segmentektómia pečene (segment 6,7)
5n5225;Pravostranná predná segmentektómia pečene (segment 5,8)
5n52320;Mesohepatektómia (segment 4a, 4b, 5,8), laparotomicky
5n52322;Mesohepatektómia (segment 4a, 4b, 5,8), laparoskopicky
5n52340;Anatomická (typická) resekcia pečene, ostatné, laparotomicky
5n52341;Anatomická (typická) resekcia pečene, ostatné, laparoskopicky
5n52342;Dvojetapová resekcia pečene ALLPS – 1. a 2. fáza
5n52x0;Anatomická (typická) resekcia pečene, ostatné, laparotomicky
5n52x2;Anatomická (typická) resekcia pečene, ostatné, laparoskopicky
5n531;Odstránenie hepatálneho transplantátu ako samostatný výkon
5n532;Odstránenie vlastného tkaniva pečene ako samostatný výkon
5n533;Ľavostranná bisegmentektómia pečene (resekcia segmentov 2 a 3), orgánové darcovstvo počas života
5n534;Ľavostranná hemihepatektómia (resekcia segmentov 1, 2, 3, 4a a 4b) pre orgánové darcovstvo počas života
5n535;Pravostranná hemihepatektómia (resekcia segmentov 5 až 8) pre orgánové darcovstvo počas života
5n536;Resekcia časti pečene, ďalšie segmentárne kombinácie pre orgánové darcovstvo počas života
5n53x;Hepatektómia pre transplantáciu, ostatné
5n540;Kompletná transplantácia pečene
5n541;Parciálna transplantácia pečene
5n542;Transplantácia ľavého hepatálneho laloku dodatočne k vlastnému orgánu
5n54x;Transplantácia pečene, ostatné
5n55010;Sutúra a opich pečene za účelom hemostázy v súvislosti s úrazom, laparotomicky
5n55011;Sutúra a opich pečene za účelom hemostázy v súvislosti s úrazom, laparoskopicky
5n55020;Sutúra a opich pečene za účelom hemostázy v inej súvislosti ako s úrazom, laparotomicky
5n55022;Sutúra a opich pečene za účelom hemostázy v inej súvislosti ako s úrazom, laparoskopicky
5n551;Tamponáda pečene
5n552;Rekonštrukcia pečene, plastika omenta
5n5900;Biopsia pečene, laparotomicky
5n5902;Biopsia pečene, laparoskopicky
5n5910;Incízia pečene bez ďalších výkonov
5n5911;Incízia pečene, drenáž
5n59120;Fenestrácia cysty pečene, laparotomicky
5n59122;Fenestrácia cysty pečene, laparoskopicky
5n591x;Incízia a fenestrácia pečene, ostatné
5n610;Excízia zbytkového kýpťa ductusu cysticus
5n6110;Cholecystotómia, laparotomicky
5n6112;Cholecystotómia, laparoskopicky
5n6113;Cholecystotómia, konverzia z laparoskopie na laparotómiu
5n612;Cholecystostómia
5n6131;Biliodigestívna anastomóza k duodenu
5n6132;Biliodigestívna anastomóza k jejunu
5n6133;Biliodigestívna anastomóza k jejunu s interpozíciou črevnej klučky
5n6134;Biliodigestívna anastomóza k jejunu s Roux-Y- anastomózou
5n6135;Biliodigestívna anastomóza, ostatné
5n6141;Resekcia žlčových ciest, laparotomicky
5n6142;Cholecystotómia, cholecystostómia, excízia/resekcia chorého tkaniva žlčových ciest a biliodigestívna anastomóza, ostatné
5n6200;Cholecystektómia jednoduchá bez revízie žlčových ciest, laparotomicky
5n6202;Cholecystektómia jednoduchá bez revízie žlčových ciest, laparoskopicky
5n6204;Cholecystektómia jednoduchá bez revízie žlčových ciest, konverzia z laparoskopie na laparotómiu
5n6210;Cholecystektómia jednoduchá s revíziou žlčových ciest, laparotomicky
5n6212;Cholecystektómia jednoduchá s revíziou žlčových ciest, laparoskopicky
5n6214;Cholecystektómia jednoduchá s revíziou žlčových ciest, konverzia z laparoskopie na laparotómiu
5n623;Cholecystektómia rozšírená
5n6241;Cholecystektómia simultánne bez operačnej revízie žlčových ciest počas jednej laparotómie z iných dôvodov 
5n6242;Cholecystektómia simultánne s operačnou revíziou žlčových ciest počas jednej laparotómie z iných dôvodov 
5n6251;Cholecystektómia simultánne bez operačnej revízie žlčových ciest počas jednej laparoskopie z iných dôvodov 
5n6252;Cholecystektómia simultánne s operačnou revíziou žlčových ciest počas jednej laparoskopie z iných dôvodov 
5n62x;Cholecystektómia, ostatné
5n64000;Vsunutie alebo výmena jedného samoexpandujúceho a nepokrytého stentu v žlčových cestách, laparotomicky
5n64001;Vsunutie alebo výmena jedného samoexpandujúceho a nepokrytého stentu v žlčových cestách, laparoskopicky
5n64002;Vsunutie alebo výmena jedného samoexpandujúceho a nepokrytého stentu v žlčových cestách, konverzia z laparoskopie na laparotómiu
5n64010;Vsunutie alebo výmena dvoch samoexpandujúcich a nepokrytých stentov v žlčových cestách, laparotomicky
5n64011;Vsunutie alebo výmena dvoch samoexpandujúcich a nepokrytých stentov v žlčových cestách, laparoskopicky
5n64012;Vsunutie alebo výmena dvoch samoexpandujúcich a nepokrytých stentov v žlčových cestách, konverzia z laparoskopie na laparotómiu
5n64020;Vsunutie alebo výmena troch samoexpandujúcich a nepokrytých stentov v žlčových cestách, laparotomicky
5n64021;Vsunutie alebo výmena troch samoexpandujúcich a nepokrytých stentov v žlčových cestách, laparoskopicky
5n64022;Vsunutie alebo výmena troch samoexpandujúcich a nepokrytých stentov v žlčových cestách, konverzia z laparoskopie na laparotómiu
5n64030;Vsunutie alebo výmena štyroch a viac samoexpandujúcich a nepokrytých stentov v žlčových cestách, laparotomicky
5n64031;Vsunutie alebo výmena štyroch a viac samoexpandujúcich a nepokrytých stentov v žlčových cestách, laparoskopicky
5n64032;Vsunutie alebo výmena štyroch a viac samoexpandujúcich a nepokrytých stentov v žlčových cestách, konverzia z laparoskopie na laparotómiu
5n64100;Vsunutie alebo výmena jednej samoexpandujúcej a pokrytej stent-protézy v žlčových cestách, laparotomicky
5n64101;Vsunutie alebo výmena jednej samoexpandujúcej a pokrytej stent-protézy v žlčových cestách, laparoskopicky
5n64102;Vsunutie alebo výmena jednej samoexpandujúcej a pokrytej stent-protézy v žlčových cestách, konverzia z laparoskopie na laparotómiu
5n64110;Vsunutie alebo výmena dvoch samoexpandujúcich a pokrytých stent-protéz v žlčových cestách, laparotomicky
5n64111;Vsunutie alebo výmena dvoch samoexpandujúcich a pokrytých stent-protéz v žlčových cestách, laparoskopicky
5n64112;Vsunutie alebo výmena dvoch samoexpandujúcich a pokrytých stent-protéz v žlčových cestách, konverzia z laparoskopie na laparotómiu
