kod_diagnozy;nazov_diagnozy
C693;Zhubný nádor cievovky
C694;Zhubný nádor vráskovca
C695;Zhubný nádor slznej žľazy a nosovoslzného kanála
C696;Zhubný nádor očnice
C698;Zhub.nádor oka a očných adnexov presah.viac.obl.
C699;Zhubný nádor oka,bližšie neurčený
C700;Zhubný nádor mozgovomiechových obalov: mozog
C701;Zhubný nádor mozgovomiechových obalov: miecha
C709;Zhubný nádor mozgovomoechových obalov,bližšie neurčený
C710;Zhubný nádor mozgu okrem lalokov a komôr
C711;Zhubný nádor čelového laloka mozgu
C712;Zhubný nádor spánkového laloka mozgu
C713;Zhubný nádor temenného laloka mozgu
C714;Zhubný nádor záhlavového laloka mozgu
C715;Zhubný nádor mozgovej komory mozgu
C716;Zhubný nádor mozočka
C717;Zhubný nádor mozgového kmeňa
C718;Zhubný nádor mozgu presahujúci viaceré oblasti
C719;Zhubný nádor mozgu, bližšie neurčený
C720;Zhubný nádor miechy
C721;Zhubný nádor cauda equina
C722;Zhubný nádor čuchového nervu[nn.olfactorii]
C723;Zhubný nádor zrakového nervu[n.opticus]
C724;Zhubný nádor sluchového nervu
C725;Zhubný nádor iných a bliž.neurč.hlavovových nervov
C728;Zhubný nádor,lézia presahujúca mozog a iné časti CNS
C729;Zhubný nádor centrálnej nervovej sústavy,bližšie neurčený
C73;Zhubný nádor štítnej žľazy
C740;Zhubný nádor kôry nadobličky
C741;Zhubný nádor drene nadobličky
C749;Zhubný nádor nadobličky,bližšie neurčený
C750;Zhubný nádor prištítnej žľazy
C751;Zhubný nádor podmozgovej žľazy
C752;Zhubný nádor kraniofaryngového vývodu
C753;Zhubný nádor epifýzy
C754;Zhubný nádor glomus caroticum
C755;Zhubný nádor glomus aorticum a iných paraganglií
C758;Zhubný nádor s postih.viacerých žliaz,bliž.neurč.
C759;Zhubný nádor žliaz s vnútorným vylučovaním,bliž.neurč.
C760;Zhubný nádor na i.a nepres.urč.miestach hlavy,tváre a krku
C761;Zhubný nádor na iných a nepres.urč.miestach hrudníka
C762;Zhubný nádor na iných a nepres.urč.miestach brucha
C763;Zhubný nádor na iných a nepres.urč.miestach panvy
C764;Zhubný nádor na iných a nepres.urč.miestach HK
C765;Zhubný nádor na iných a nepres.urč.miestach DK
C767;Zhubný nádor na iných a nepresne určených miestach
C768;Zhubný nádor na iných a nepres.urč.miestach,presah.viac.obl.
C770;Sekundár.a bliž.neu.zhub.nádor lymf.uzliny hlavy,tváre a krku
C771;Sekundárny a bliž.neu.zhub.nádor vnútrohrud.lymf.uzliny
C772;Sekundárny a bliž.neu.zhub.nádor vnútrobruš.lymf.uzliny
C773;Sekundárny a bliž.neu.zhub.nádor lymf.uzliny pazuchy a HK
C774;Sekundárny a bliž.neu.zhub.nádor lymf.uzliny slabiny a DK
C775;Sekundárny a bliž.neu.zhub.nádor vnútropanv.lymf.uzliny
C778;Sekundárny a bliž.neu.zhub.nádor lymf.uzliny viac.obl.
C779;Sekundárny a bliž.neu.zhub.nádor bliž.neurč.lymf.uzlín
C780;Sekundárny zhubný nádor pľúc
C781;Sekundárny zhubný nádor mediastína
C782;Sekundárny zhubný nádor pohrudnice
C783;Sekundárny zhubný nádor iných a bliž.neurč.dýchacích orgánov
C784;Sekundárny zhubný nádor tenkého čreva
C785;Sekundárny zhubný nádor hrubého čreva a konečníka
C786;Sekundárny zhubný nádor retroperitonea a pobrušnice
C787;Sekundárny zhubný nádor pečene a vnútropečeň.žlčovodov
C788;Sekundárny zhubný nádor i.a bliž.neurč.tráviacich orgánov
C790;Sekundárny zhubný nádor obličky a obličkovej panvičky
C791;Sekundárny zhubný nádor moč.mechúra a i.a b.neurč.moč.org.
C792;Sekundárny zhubný nádor kože
C793;Sekundárny zhubný nádor mozgu a mozgových plien
C794;Sekundárny zhubný nádor i.a bliž.neu.častí nervov.súst.
C795;Sekundárny zhubný nádor kosti a kostnej drene
C796;Sekundárny zhubný nádor vaječníka
C797;Sekundárny zhubný nádor nadobličky
C7981;Sekundárny zhubný nádor prsníka
C7982;Sekundárny zhubný nádor pohlavných orgánov
C7983;Sekundárny zhubný nádor perikardu
C7984;Iné sekundárne zhubné nádory srdca
C7988;Sekundárny zhubný nádor na iných bliž.urč.miestach
C810;Nodulárny Hodgkinov lymfóm s prevahou lymfocytov
C811;Klasický Hodgkinov lymfóm s nodulárnou sklerózou
C812;Klasický Hodgkinov lymfóm so zmiešanou celularitou
C813;Klasický Hodgkinov lymfóm chudobný na lymfocyty
C814;Klasický Hodgkinov lymfóm bohatý na lymfocyty
C817;Iný klasický Hodgkinov lymfóm
C819;Hodgkinov lymfóm,bližšie neurčený
C820;Folikulový lymfóm,štádium I
C821;Folikulový lymfóm,štádium II
C822;Folikulový lymfóm,štádium III,bližšie neurčený
C823;Folikulový lymfóm,štádium IIIa
C824;Folikulový lymfóm,štádium IIIb
C825;Difúzny lymfóm folikulového centra
C826;Kožný lymfóm folikulového centra
C827;Iný typ folikulového lymfómu
C829;Folikulový lymfóm,bližšie neurčený
C830;Malobunkový lymfóm z B-buniek
C831;Lymfóm z plášťových buniek
C833;Difúzny veľkobunkový lymfóm z B-buniek
C835;Lymfoblastový lymfóm
C837;Burkittov lymfóm
C838;Iný nefolikulový lymfóm
C839;Nefolikulový lymfóm,bližšie neurčený
C840;Mycosis fungoides
C841;Sézaryho choroba
C844;Periférny lymfóm z T-buniek,nezatriedený
C845;Iný lymfóm zo zrelých T/NK-buniek
C846;Anaplastický veľkobunkový lymfóm,ALK-pozitívny
C847;Anaplastický veľkobunkový lymfóm,ALK-negatívny
C848;Kožný lymfóm z T-buniek,bližšie neurčený
C849;Lymfóm zo zrelých T/NK-buniek,bližšie neurčený
C851;Lymfóm z B-buniek,bližšie neurčený
C852;Mediastinálny (týmusový) veľkobunkový lymfóm z B-buniek
C857;Iný bližšie určený typ non-Hodgkinovho lymfómu
C859;Non-Hodgkinov lymfóm,bližšie neurčený
C860;Extranodálny lymfóm z NK/T- buniek,nosový typ
C861;Hepatosplenický lymfóm z T-buniek
C862;Enteropatický (intestinálny) lymfóm z T-buniek
C863;Podkožný panikulitíde podobný lymfóm z T-buniek
C864;Blastový lymfóm z NK-buniek
C865;Angioimunoblastový lymfóm z T-buniek
C866;Primárna kožná CD30-pozitívna lymfoprolif.chor.z T-buniek
C8800;Waldenströmova makroglobulinémia,bez komplet.remisie
C8801;Waldenströmova makroglobulinémia,v komplet.remisie
C8820;Iná choroba ťažkých reťazcov,bez komplet.rem.
C8821;Iná choroba ťažkých reťazcov,v kompletnej remisii
C8830;Imunoproliferatívna choroba tenkého čreva,bez komplet.rem.
C8831;Imunoproliferatívna choroba tenkého čreva,v komplet.remisii
C8840;Extranod.lymf.z B-bun.marginál.zóny lymf.tka.sliz.bez kompl.r.
C8841;Extranod.lymf.z B-bun.marginál.zóny lymf.tka.sliz.,v kompl.r.
C8870;Iná zhubná imunoproliferatívna choroba,bez komplet.rem.
C8871;Iná zhubná imunoproliferatívna choroba,v komplet.rem.
C8890;Zhubná imunoproliferatívna choroba,bliž.neurč.,bez kompl.rem.
C8891;Zhubná imunoproliferatívna choroba,bliž.neurč.,v kompl.rem.
C9000;Mnohopočetný myelóm,bez kompletnej remisie
C9001;Mnohopočetný myelóm,v kompletnej remisii
C9010;Plazmocytová leukémia,bez kompletnej remisie
C9011;Plazmocytová leukémia,v kompletnej remisii
C9020;Extramedulárny plazmocytóm,bez kompletnej remisie
C9021;Extramedulárny plazmocytóm,v kompletnej remisii
C9030;Solitárny plazmocytóm,bez kompletnej remisie
C9031;Solitárny plazmocytóm,v kompletnej remisii
C9100;Akútna lymfoblastová leukémia,bez komplet.remisie
C9101;Akútna lymfoblastová leukémia,v komplet.remisii
C9110;Chronická lymfatická leukémia,bez komplet remisie
C9111;Chronická lymfatická leukémia,v kompletnej remisii
C9130;Prolymfocytová leukémia z B-buniek,bez komplet.remisie
C9131;Prolymfocytová leukémia z B-buniek,v komplet.remisii
C9140;Vlasatobunková leukémia,bez kompletnej remisie
C9141;Vlasatobunková leukémia,v kompletnej remisii
C9150;Leukém./lymf.z dos.T-buniek spoj.s infek.HTLV-1,b.kompl.rem.
C9151;Leukém./lymf.z dos.T-buniek spoj.s infek.HTLV-1,v kompl.rem.
C9160;Prolymfocytová leukémia z T-buniek,bez kompl.rem.
C9161;Prolymfocytová leukémia z T-buniek,v komplet.rem.
C9170;Iná lymfatická leukémia,bez kompletnej remisie
C9171;Iná lymfatická leukémia,v kompletnej remisii
C9180;Leukémia zo zrelých B-buniek Burkittovho typu,bez kompl.rem.
C9181;Leukémia zo zrelých B-buniek Burkittovho typu,v kompl.rem.
C9190;Lymfatická leukémia,bliž.neurč.,bez kompl.rem.
C9191;Lymfatická leukémia,bliž.neurč.,v kompl.rem.
C9200;Akútna myeloblastová leukémia (AML),bez kompl.rem.
C9201;Akútna myeloblastová leukémia (AML),v kompl.rem.
C9210;Chronická myeloická leukémia BCR/ABL-pozit.,b.komplet.rem.
C9211;Chronická myeloická leukémia BCR/ABL-pozit.,v komplet.rem.
C9220;Atypická chron.myeloická leuk.,BCR/ABL-neg.,b.komplet.rem.
C9221;Atypická chron.myeloická leuk. BCR/ABL-neg.,v komplet.rem.
C9230;Myelosarkóm,bez kompletnej remisie
C9231;Myelosarkóm,v kompletnej remisii
C9240;Akútna promyelocytová leukémia,bez komplet.rem.
C9241;Akútna promyelocytová leukémia,v komplet.rem.
C9250;Akútna myelomonocytová leukémia,b.komplet.rem.
C9251;Akútna myelomonocytová leukémia,v komplet.rem.
C9260;Akútna myeloická leukémia s 11q23 abnormal.,bez komplet.rem.
C9261;Akútna myeloická leukémia s 11q23 abnormal.,v komplet.rem.
C9270;Iná myeloická leukémia,bez kompletnej remisie
C9271;Iná myeloická leukémia,v kompletnej remisii
C9280;Akútna myeloická leukém.s multilineár.dyspl.,bez komplet.rem.
C9281;Akútna myeloická leukém.s multilineár.dyspl.,v komplet.rem.
C9290;Myeloická leukémia bliž.neurč.,bez kompl.remisie
C9291;Myeloická leukémia bliž.neurč.,v kompl.remisii
C9300;Akút.monoblastová/monocytová leukémia,bez komplet.remisie
C9301;Akút.monoblastová/monocytová leukémia,v komplet.rem.
C9310;Chronická myelomonocytová leukémia bez.komplet.remisie
C9311;Chronická myelomonocytová leukémia,v komplet.rem.
C9330;Juvenilná myelomonocytová leukémia,bez komplet.rem.
C9331;Juvenilná myelomonocytová leukémia,v komplet.rem.
C9370;Iná monocytová leukémia,bez kompletnej remisie
C9371;Iná monocytová leukémia,v kompletnej remisii
C9390;Monocytová leukémia,bliž.neurč.,bez kompl.rem.
C9391;Monocytová leukémia,bliž.neurč.,v kompl.rem.
C9400;Akútna erytroleukémia,bez kompletnej remisie
C9401;Akútna erytroleukémia,v kompletnej remisii
C9420;Akútna megakaryoblastová leukémia,bez komplet.rem.
C9421;Akútna megakaryoblastová leukémia,v komplet.rem.
C9430;Mastocytová leukémia,bez kompletnej remisie
C9431;Mastocytová leukémia,v kompletnej remisii
C9440;Akút.panmyelóza s myelofibrózou,bez komplet.rem.
C9441;Akút.panmyelóza s myelofibrózou,v komplet.rem.
C9460;Myelodyspl.a myeloprolif.choroba.,bez komplet.rem.,i.n.
C9461;Myelodyspl.a myeloprolif.choroba.,v komplet.rem.,inde.nezat.
C9470;Iná bližšie určená leukémia,bez kompletnej remisie
C9471;Iná bližšie určená leukémia,v kompletnej remisii
C9500;Akútna leukémia bliž.neurč.bunkového typu,bez komplet.rem.
C9501;Akútna leukémia bliž.neurč.bunkového typu,v komplet.rem.
C9570;Iná leukémia bliž.neurč.bunkového typu,bez komplet.rem.
C9571;Iná leukémia bliž.neurč.bunkového typu,v komplet.rem.
C9590;Leukémia,bližšie neurčená,bez kompletnej remisie
C9591;Leukémia,bližšie neurčená,v kompletnej remisii
C960;Multifokálna a multisyst.histiocytóza z Langerhansových bun.
C962;Zhubný mastocytový nádor
C964;Sarkóm z dendritických buniek (akcesórnych buniek)
C967;Iný bliž.ur.zhub.nád.lymf.,hematopoetic.a príbuz.tkan.
C968;Histiocytový sarkóm
C969;Zhubný nádor lymf.,hematopoetického a príbuz.tkan.,bliž.n.
C97;Zhubné nádory s primárnym výskytom na roz.m.
D100;Nezhubný nádor pery
D101;Nezhubný nádor jazyka
D102;Nezhubný nádor spodiny úst
D103;Nezhubný nádor inej a bližšie neurčenej časti úst
D105;Nezhubný nádor inej časti orofaryngu
D106;Nezhubný nádor nazofaryngu
D107;Nezhubný nádor hypofaryngu
D109;Nezhubný nádor faryngu,bližšie neurčený
D110;Nezhubný nádor príušnej žľazy
D117;Nezhubný nádor inej veľkej slinnej žľazy
D119;Nezhubný nádor bliž.neurč.veľkej slinnej žľazy
D120;Nezhubný nádor slepého čreva
D121;Nezhubný nádor červovitého prívesku slepého čreva
D122;Nezhubný nádor vzostupnej časti hrubého čreva
D123;Nezhubný nádor priečnej časti hrubého čreva
D124;Nezhubný nádor zostupnej časti hrubého čreva
D125;Nezhubný nádor esovitej časti hrubého čreva
D126;Nezhubný nádor hrubého čreva,bližšie neurčený
D127;Nezhubný nádor rektosigmoidového spojenia
D128;Nezhubný nádor konečníka
D129;Nezhubný nádor anusu a análneho kanála
D130;Nezhubný nádor pažeráka
D131;Nezhubný nádor žalúdka
D132;Nezhubný nádor dvanástnika
D133;Nezhubný nádor iných a bliž.neurč.častí tenkého čreva
D134;Nezhubný nádor pečene
D135;Nezhubný nádor extrahepatálnych žlčových ciest
D136;Nezhubný nádor podžalúdkovej žľazy
D137;Nezhubný nádor endokrinného pankreasu
D139;Nezhubný nádor na neurčenom mieste tráviacej súst.
D140;Nezhubný nádor stred.ucha,nos.dutiny a prinos.dutín
D141;Nezhubný nádor hrtana
D142;Nezhubný nádor priedušnice
D143;Nezhubný nádor priedušky a pľúc
D144;Nezhubný nádor dýchacej sústavy,bližšie neurčený
D150;Nezhubný nádor týmusu
D151;Nezhubný nádor srdca
D152;Nezhubný nádor mediastina
D157;Nezhubný nádor iných určených vnútrohrud.org.
D159;Nezhubný nádor vnútrohrud.orgánov, bliž.neurč.
D160;Nezhub.nádor lopatky a dlhých kostí HK
D161;Nezhubný nádor krátkych kostí HK
D162;Nezhubný nádor dlhých kostí DK
D163;Nezhubný nádor krátkych kostí DK
D1641;Nezhubný nádor kosti a kĺb.chrupky,kraniofaciálna obl.
D1642;Nezhubný nádor kosti a kĺb.chrupky,maxilofaciálna obl.
D165;Nezhubný nádor kostí dolnej čeľuste
D166;Nezhubný nádor chrbtice
D1670;Nezhubný nádor kosti a kĺbovej chrupky rebier
D1671;Nezhubný nádor kosti a kĺbovej chrupky hrudnej kosti
D1672;Nezhubný nádor kosti a kĺbovej chrupky kľúčnej kosti
D168;Nezhubný nádor panv.kostí,kríž.kosti a kostrče
D169;Nezhubný nádor kosti a kĺbovej chrupky,bliž,neurč.
D1800;Hemangióm bez bližšieho určenia miesta
D1810;Lymfangióm - hygroma colli cysticum
D1811;Lymfangióm axily
D1812;Lymfangióm ingvíny
D1813;Lymfangióm retroperitonea
D1818;Lymfangióm na inom mieste
D1819;Lymfangióm bez bližšieho určenia miesta
D190;Nezhubný nádor mezotelového tkaniva pohrudnice
D191;Nezhubný nádor mezotelového tkaniva pobrušnice
D197;Nezhubný nádor mezotelového tkaniva na inom mieste
D199;Nezhubný nádor mezotelového tkaniva,bliž.neurč.
D200;Nezhubný nádor retroperitonea
D201;Nezhubný nádor pobrušnice
D210;Nezhubný nádor spojiv.a iného mäkk.tkan.hlavy,tváre a krku
D211;Nezhubný nádor spojiv.a iného mäkk.tkan.HK vrátane pleca
D212;Nezhubný nádor spojiv.a iného mäkk.tkan.DK vrátane bedra
D213;Nezhubný nádor spojiv.a iného mäkk.tkaniva hrudníka
D214;Nezhubný nádor spojiv.a iného mäkk.tkaniva brucha
D215;Nezhubný nádor spojiv.a iného mäkk.tkaniva panvy
D216;Nezhubný nádor spojiv.a iného mäkk.tkaniva trupu,bliž.neurč.
D219;Nezhubný nádor spojiv.a iného mäkk.tkaniva,bliž.neurč.
D24;Nezhubný nádor prsníka
D250;Submukózny leiomyóm maternice
D251;Intramurálny leiomyóm maternice
D252;Subserózny leiomyóm maternice
D259;Leiomyóm maternice,bližšie neurčený
D260;Iný nezhubný nádor krčka maternice
D261;Iný nezhubný nádor tela maternice
D269;Iný nezhubný nádor maternice,bližšie neurčený
D27;Nezhubný nádor vaječníka
D280;Nezhubný nádor vulvy
D281;Nezhubný nádor pošvy
D282;Nezhubný nádor vajíčkovodov a väzov maternice
D287;Nezhubný nádor iných bliž.urč.ženských pohlav.org.
D289;Nezhubný nádor bliž.neurč.ženských pohlav.org.
D290;Nezhubný nádor penisu
D291;Nezhubný nádor prostaty
D292;Nezhubný nádor semenníka
D293;Nezhubný nádor nadsemenníka
D294;Nezhubný nádor mieška (skróta)
D297;Nezhubný nádor iných mužských pohlavných orgánov
D299;Nezhubný nádor bliž.neurč.mužských pohlav.org.
D300;Nezhubný nádor obličky
D301;Nezhubný nádor obličkovej panvičky
D302;Nezhubný nádor močovodu
D303;Nezhubný nádor močového mechúra
D304;Nezhubný nádor močovej rúry
D307;Nezhubný nádor iných močových orgánov
D309;Nezhubný nádor močového orgánu,bližšie neurčeného
D310;Nezhubný nádor spojovky
D311;Nezhubný nádor rohovky
D312;Nezhubný nádor sietnice
D313;Nezhubný nádor cievovky
D314;Nezhubný nádor vráskovca
D315;Nezhubný nádor slznej žľazy a nosovoslzného kanála
D316;Nezhubný nádor očnice,bližšie neurčený
D319;Nezhubný nádor oka,bližšie neurčený
D320;Nezhubný nádor mozgovomiechových obalov: mozog
D321;Nezhubný nádor mozgovomiechových obalov: miecha
D329;Nezhubný nádor mozgovomiechových plien,bliž.neurč.
D330;Nezhubný nádor mozgu: supratentoriálne
D331;Nezhubný nádor mozgu: infratentóriálne
D332;Nezhubný nádor mozgu,bližšie neurčený
D333;Nezhubný nádor hlavových nervov
D334;Nezhubný nádor miechy
D337;Nezhubný nádor iných,bliž.urč.častí CNS
D339;Nezhubný nádor CNS,bližšie neurčený
D34;Nezhubný nádor štítnej žľazy
D350;Nezhubný nádor nadobličky
D351;Nezhubný nádor prištítnej žľazy
D352;Nezhubný nádor podmozgovej žľazy
D353;Nezhubný nádor kraniofaryngového vývodu
D354;Nezhubný nádor epifýzy
D355;Nezhubný nádor glomus caroticum
D356;Nezhubný nádor glomus aorticum a iných paraganglií
D357;Nezhubný nádor iných,bliž.urč.žliaz s vnút.vylučovaním
D358;Nezhubný nádor viacerých žliaz s vnútorným vylučovaním
D359;Nezhubný nádor žľazy s vnút.vylučovaním,bliž.neurč.
D360;Nezhubný nádor lymfatických uzlín
D361;Nezhubný nádor periférnych nervov a autonóm.nerv.sústavy
D367;Nezhubný nádor na iných,bližšie určených miestach
D369;Nezhubný nádor bez bližšieho určenia miesta
D370;Nádor pery,ústnej dutiny a hltana s neurč./nezn.správ.
D371;Nádor s neurčitým alebo neznámym správaním: žalúdok
D372;Nádor s neurčitým/neznám.správaním:tenké črevo
D373;Nádor s neurčitým/neznám.správaním:červovitý prívesok
D374;Nádor s neurčitým/neznám.správaním:hrubé črevo
D375;Nádor s neurčitým/neznám.správaním:konečník
D376;Nádor s neurčitým/neznám.správaním:pečeň,žlčník,žlčové cesty
D3770;Nádor s neurčitým/neznám.správaním:pankreas
D3778;Nádor s neurčitým/neznám.správaním:iný tráv.org.
D379;Nádor s neurčitým/neznám.správaním:,bliž.neurč.tráv.org.
D380;Nádor s neurčitým/neznám.správaním:hrtan
D381;Nádor s neurčitým/neznám.správaním:priedušn.,prieduška,pľúca
D382;Nádor s neurčitým/neznám.správaním:pohrudnica
D383;Nádor s neurčitým/neznám.správaním:mediastínum
D384;Nádor s neurčitým/neznám.správaním: týmus
D385;Nádor s neurčitým/neznám.správaním:iný dých.org.
D386;Nádor s neurčitým/neznám.správaním:bliž.neurč.dých.org.
D390;Nádor s neurčitým/neznám.správaním:maternica
D391;Nádor s neurčitým/neznám.správaním:vaječník
D392;Nádor s neurčitým/neznám.správaním:placenta
D397;Nádor s neurčitým/neznám.správaním:i.žen.pohl.org.
D399;Nádor s neurčitým/neznám.správaním:bliž.neurč.žen.pohl.org.
D400;Nádor s neurčitým/neznám.správaním:predstojnica (prostata)
D401;Nádor s neurčitým/neznám.správaním:semenník
D407;Nádor s neurčitým/neznám.správaním:i.muž.pohl.org.
D409;Nádor s neurčitým/neznám.správaním:bliž.neurč.muž.pohl.org.
D410;Nádor s neurčitým/neznám.správaním:oblička
D411;Nádor s neurčitým/neznám.správaním:obličková panvička
D412;Nádor s neurčitým/neznám.správaním:močovod
D413;Nádor s neurčitým/neznám.správaním:močová rúra
D414;Nádor s neurčitým/neznám.správaním:močový mechúr
D417;Nádor s neurčitým/neznám.správaním:i.moč.org.
D419;Nádor s neurčitým/neznám.správaním:bliž.neurč.moč.org.
D420;Nádor s neurč./neznám.správaním:mozgovomiech.obaly:mozog
D421;Nádor s neurč/neznám.správaním:mozgovomiech.obaly:miecha
D429;Nádor s neurčitým/neznám.správaním:mozgovomiech.obaly b.n.
D430;NádNádor s neurč/neznám.správaním:mozog-supratentriálne
D431;Nádor s neurčitým/neznám.správaním:mozog - infratentoriálne
D432;Nádor s neurčitým/neznám.správaním:mozog,bliž.neurč.
D433;Nádor s neurčitým/neznám.správaním:hlavové nervy
D434;Nádor s neurčitým/neznám.správaním: miecha
D437;Nádor s neurčitým/neznám.správaním:i.časť CNS
D439;Nádor s neurčitým/neznám.správaním:CNS,časť bliž.neurč.
D440;Nádor s neurčitým/neznám.správaním:štítna žľaza
D441;Nádor s neurčitým/neznám.správaním:nadoblička
D442;Nádor s neurčitým/neznám.správaním:prištítna žľaza
D443;Nádor s neurčitým/neznám.správaním:podmozg.žľaza
D444;Nádor s neurčitým/neznám.správaním:raniofaryngový vývod
D445;Nádor s neurčitým/neznámym správaním:epifýza
D446;Nádor s neurčitým/neznám.správaním:glomus caroticum
D447;Nádor s neurč./neznám.správ.:glomus aorticum a i.paragangliá
D449;Nádor s neurčitým/neznám.správaním:bliž.n.žľaza s vnút.vyluč.
D45;Polycythaemia vera
D460;Refraktérna anémia bez prstencových sideroblastov,potvrd.
D461;Refraktérna anémia s prstencovými sideroblastmi
D462;Refraktérna anémia s veľkým množstvom blastov
D464;Refraktérna anémia,bližšie neurčená
D465;Refraktérna anémia s dyspláziou viacerých línií
D466;Myelodysplastický synd.s izolovanou chromozóm.anom.del (5q)
D467;Iný myelodysplastický syndróm
D469;Myelodysplastický syndróm,bližšie neurčený
D470;Histiocytový a mastocytový nádor s neurč./neznám.správ.
D471;Chronická myeloproliferatívna choroba
D472;Monoklonová gamapatia nejasného významu (MGUS)
D473;Esenciálna(hemoragická)trombocytémia
D474;Osteomyelofibróza
D475;Chron.eozinofilová leukémia (hypereozinofilový synd.)
D477;Iný bliž.urč.nádor lymf.,krvotv.a príb.tk.s neu./nez.správ.
D479;Nádor lymf.,krvotv.a príbuz.tk.s neu./nezn.správ.,b.n.
D480;Nádor s neurčitým/neznám.správ.kosť a kĺbová chrupka
D481;Nádor s neurčitým/neznám.správ.spojivové a i.mäkké tkanivo
D482;Nádor s neurčitým/neznám.správ.perif.nervy a auton.nerv.súst.
D483;Nádor s neurčitým/neznám.správ.retroperitoneum
D484;Nádor s neurčitým/neznám.správ.pobrušnica
D485;Nádor s neurčitým/neznám.správ.koža
D486;Nádor s neurčitým/neznám.správ.prsník
D487;Nádor s neurčitým/neznám.správ.iné bliž.urč.miesto
D489;Nádor s neurčitým/neznám.správ.,bliž.neurč.
D550;Anémia zapríč.nedost.aktiv.glukóza-6-fosfát-dehydrogenázy
D551;Anémia zapríč.inou poruchou metabolizmu glutatiónu
D570;Kosáčikovitá anémia s krízou
D593;Hemolyticko-uremický syndróm
D600;Chronická získaná čistá aplázia červených krviniek
D601;Prechodná získaná čistá aplázia červených krviniek
D608;Iná získaná čistá aplázia červených krviniek
D609;Získaná čistá aplázia červených krviniek,bližšie neurčená
D610;Vrodená aplastická anémia
D6110;Aplastická anémia zapríčinená cytostatickou liečbou
D6118;Iná aplastická anémia zapríčinená liekmi
D6119;Aplastická anémia zapríčinená liekmi,bližšie neurčená
D612;Aplastická anémia z iných vonkajších príčin
D613;Idiopatická aplastická anémia
D618;Iná aplastická anémia,bližšie určená
D619;Aplastická anémia,bližšie neurčená
D640;Dedičná sideroblastová [sideroachrestická] anémia
D641;Sekundárna sideroblastová anémia zapríč.ochorením
D642;Sekundárna sideroblastová anémia zapríč.liekmi toxic.lát.
D643;Iná sideroblastová [sideroachrestická] anémia
D66;Dedičný nedostatok faktora VIII
D67;Dedičný nedostatok faktora IX
D680;Von Willebrandova choroba
D681;Dedičný nedostatok faktora XI
D682;Dedičný nedostatok iných koagulačných faktorov
D6830;Stav krvácavosti zapríčinený antikoagulanciami
D6831;Stav krvácavosti zapríč.zvýš.protilátok proti faktoru VIII
D6832;Stav krvác.zapr.zvýš.plazma.konc.protil.proti i.fak.zráž.krvi
D6838;Iný stav krvác.zapr.i.a b.n.protilátkami
D699;Stav krvácavosti,bližšie neurčený
D700;Vrodená agranulocytóza a neutropénia
D7010;Agranulocytóza a neutrop.zapr.liek.s krit.f.do 4 dni
D7011;Agranulocytóz a neutrop.zapr.liek.s krit.f.10 do 20 dní
D7012;Agranulocytóz a neutrop.zapr.liek.s krit f.20 a viac dní
D7013;Agranulocytóz a neutrop.zapr.liek.s krit.f.4 do7 dní
D7014;Agranulocytóz a neutrop.zapr.liek.s krit.f.7 do10 dní
D7018;Agranulocytóz a neutrop.zapr.liek.s i.priebehom
D7019;Agranulocytóz a neutrop.zapr.liek.,b.n.
D703;Iná agranulocytóza
D705;Cyklická neutropénia
D706;Iná neutropénia
D707;Neutropénia,bližšie neurčená
D800;Dedičná hypogamaglobulinémia
D802;Selektívny nedostatok imunoglobulínu A [IgA]
D803;Selektívny nedostatok podtried imunoglobulínu G(IgG)
D804;Selektívny nedostatok imunoglobulínu M[IgM]
D805;Imunodeficit so zvýšeným imunoglobulínu M[IgM]
D810;Ťažký komb.imunodef.(SCID)s retikulovou dysgenézou
D811;Ťažký komb.imunodef.(SCID)s malým počtom T-bun.a B-buniek
D812;Ťažký komb.imunodef.(SCID)s malým/norm.počtom B-buniek
D813;Deficit adenozíndezaminázy [ADA]
D814;Nezelofov syndróm
D815;Nedostatok purínnukleozid-fosforylázy [PNP]
D816;Deficit hlavného komplexu histokompatibility I.triedy
D817;Deficit hlavného komplexu histokompatibility II.triedy
D818;Iný kombinovaný imunodeficit
D819;Kombinovaný imunodeficit,bližšie neurčený
D820;Wiskottov-Aldrichov syndróm
D821;Di Georgeov syndróm
D830;Bežný premen.imunodef.s prev.abnor.v počte a funkcii B-buniek
D831;Bežný premen.imunodeficit s prevaž.poruch.imunoreg.T-buniek
D832;Bežný premen.imunodeficit s autoprotil.proti B-/T-bunkám
D838;Iný bežný premenlivý imunodeficit
D839;Bežný premenlivý imunodeficit,bližšie neurčený
D890;Polyklonálna hypergamaglobulinémia
D891;Kryoglobulinémia
E000;Vrodený syndróm z nedostatku jódu,neurologický typ
E001;Vrodený syndróm z nedostatku jódu,myxedémový typ
E002;Vrodený syndróm z nedostatku jódu,zmiešaný typ
E009;Vrodený syndróm z nedostatku jódu,bližšie neurčený
E018;Iná chor.ŠŽ spojená s nedost.jódu a pridruž.stavy
E02;Subklinická hypotyreóza z nedostatku jódu
E030;Vrodená hypotyreóza s difúznou strumou
E031;Vrodená hypotyreóza bez strumy
E035;Myxedémová kóma
E060;Akútna tyreoiditída
E064;Tyreoiditída zapríčinená liekom
E071;Dyshormonogénna struma (hrvoľ)
E15;Nediabetická hypoglykemická kóma
E200;Idiopatická hypoparatyreóza
E208;Iná hypoparatyreóza
