kod_hlavneho_vykonu;nazov_hlavneho_vykonu;kod_ms;nazov_ms
5s30g0;Rekonštrukcia zygomatickej kosti, autológny štep;S06-01;Ostatné maxilofaciálne výkony
5s30g1;Rekonštrukcia zygomatickej kosti, alogénny štep;S06-01;Ostatné maxilofaciálne výkony
5s30g2;Osteoplastická rekonštrukcia zygomatickej kosti;S06-01;Ostatné maxilofaciálne výkony
5s3111;Totálna mandibulektómia ;S06-01;Ostatné maxilofaciálne výkony
5s3112;Subtotálna mandibulektómia ;S06-01;Ostatné maxilofaciálne výkony
5s3113;Radikálna mandibulektómia;S06-01;Ostatné maxilofaciálne výkony
5s312;Hemimandibulektómia jednostranná;S06-01;Ostatné maxilofaciálne výkony
5s3131;Resekcia mandibuly, minimálne 2 segmenty mandibuly a rameno mandibuly;S06-01;Ostatné maxilofaciálne výkony
5s313x;Resekcia mandibuly, iná;S06-01;Ostatné maxilofaciálne výkony
5s314;Parciálna resekcia maxily;S06-01;Ostatné maxilofaciálne výkony
5s315;Endoskopická excízia z nádoru maxily;S06-01;Ostatné maxilofaciálne výkony
5s316;Hemimaxilektómia jednostranná;S06-01;Ostatné maxilofaciálne výkony
5s317;Distrakcia maxily;S06-01;Ostatné maxilofaciálne výkony
5s318;Rýchla distrakcia maxily;S06-01;Ostatné maxilofaciálne výkony
5s319;Segmentálna maxilektómia;S06-01;Ostatné maxilofaciálne výkony
5s31a1;Jednostranná totálna maxilektómia;S06-01;Ostatné maxilofaciálne výkony
5s31a2;Jednostranná subtotálna maxilektómia ;S06-01;Ostatné maxilofaciálne výkony
5s31b1;Obojstranná totálna maxilektómia;S06-01;Ostatné maxilofaciálne výkony
5s31b2;Obojstranná subtotálna maxilektómia;S06-01;Ostatné maxilofaciálne výkony
5s393;Horizontálna distrakcia mandibuly;S06-01;Ostatné maxilofaciálne výkony
5s394;Vertikálna distrakcia mandibuly;S06-01;Ostatné maxilofaciálne výkony
5s900;Koronoidektómia;S06-01;Ostatné maxilofaciálne výkony
5s90110;Kondylektómia mandibuly vysoká s artroplastikou ;S06-01;Ostatné maxilofaciálne výkony
5s90111;Kondylektómia mandibuly vysoká bez artroplastiky ;S06-01;Ostatné maxilofaciálne výkony
5s90120;Kondylektómia mandibuly nízka s TEP náhradou ;S06-01;Ostatné maxilofaciálne výkony
5s90121;Kondylektómia mandibuly nízka bez TEP náhrady;S06-01;Ostatné maxilofaciálne výkony
5s901x;Kondylektómia mandibuly, iná;S06-01;Ostatné maxilofaciálne výkony
5s902;Náhrada mandibulárneho kĺbu endoprotézou;S06-01;Ostatné maxilofaciálne výkony
5s903;Kondylotómia mandibuly;S06-01;Ostatné maxilofaciálne výkony
5s90410;Artroplastika temporomandibulárneho kĺbu s aplikáciou liekového nosiča ;S06-01;Ostatné maxilofaciálne výkony
5s90411;Artroplastika temporomandibulárneho kĺbu bez aplikácie liekového nosiča ;S06-01;Ostatné maxilofaciálne výkony
5s942;Radikálna maxilárna antrotómia;S06-01;Ostatné maxilofaciálne výkony
5s990;Distrakcia kostí tváre;S06-01;Ostatné maxilofaciálne výkony
5s991;Zhotovenie a upevnenie epitézy na vhojený fixatér;S06-01;Ostatné maxilofaciálne výkony
5s992;Extrakcia cudzieho telesa z tvárových kostí;S06-01;Ostatné maxilofaciálne výkony
5s9991;Operácia maxily z vonkajšieho prístupu v bukogingiválnej riase s odstránením chorého tkaniva (I.);S06-01;Ostatné maxilofaciálne výkony
5s9992;Operácia maxily z vonkajšieho prístupu v bukogingiválnej riase so znesením mediálnej steny čeľustnej dutiny a priľahlej časti apertura pyriformis (II.);S06-01;Ostatné maxilofaciálne výkony
5s99b10;Menisektómia [diskektómia] temporomandibulárneho kĺbu s náhradou vnútrokĺbového tkaniva;S06-01;Ostatné maxilofaciálne výkony
5s99b11;Menisektómia [diskektómia] temporomandibulárneho kĺbu bez náhrady vnútrokĺbového tkaniva;S06-01;Ostatné maxilofaciálne výkony
5s99b20;Artroskopická operácia na kondylárnej chrupke a disku temporomandibulárneho kĺbu s transplantáciou chondrocytov na autológne indukovanej matrix ;S06-01;Ostatné maxilofaciálne výkony
5s99b21;Artroskopická operácia na kondylárnej chrupke a disku temporomandibulárneho kĺbu s implantáciou in vitro vypestovaných tkanovových kultúr ;S06-01;Ostatné maxilofaciálne výkony
12m210;Perkutánna (ihlová) biopsia lymfatických uzlín krku s použitím zobrazovacích metód;S06-03;Ostatné maxilofaciálne výkony II.
12t110;Perkutánna (ihlová) biopsia temporomandibulárneho kĺbu ;S06-03;Ostatné maxilofaciálne výkony II.
12t130;Perkutánna (ihlová) biopsia svalov a mäkkých tkanív v oblasti krku;S06-03;Ostatné maxilofaciálne výkony II.
12t210;Perkutánna biopsia s použitím zobrazovacích metód v oblasti temporomandibulárneho kĺbu;S06-03;Ostatné maxilofaciálne výkony II.
12t230;Perkutánna biopsia svalov a mäkkých tkanív s použitím zobrazovacích metód v oblasti krku ;S06-03;Ostatné maxilofaciálne výkony II.
12v000;Biopsia bez incízie kože a podkožia v oblasti krku  ;S06-03;Ostatné maxilofaciálne výkony II.
13d30;Biopsia s incíziou nosovej dutiny ;S06-03;Ostatné maxilofaciálne výkony II.
13d3x;Biopsia s incíziou ostatných častí nosa ;S06-03;Ostatné maxilofaciálne výkony II.
13d40;Biopsia s incíziou slinnej žľazy a vývodov slinnej žľazy ;S06-03;Ostatné maxilofaciálne výkony II.
13d41;Biopsia s incíziou alveoly dutiny ústnej  ;S06-03;Ostatné maxilofaciálne výkony II.
13d42;Biopsia s incíziou spodiny dutiny ústnej ;S06-03;Ostatné maxilofaciálne výkony II.
13d4x;Biopsia s incíziou ostatných štruktúr úst a ústnej dutiny ;S06-03;Ostatné maxilofaciálne výkony II.
13m100;Biopsia s incíziou cervikálnych lymfatických uzlín ;S06-03;Ostatné maxilofaciálne výkony II.
13m101;Biopsia s incíziou supraklavikulárnych lymfatických uzlín ;S06-03;Ostatné maxilofaciálne výkony II.
13t100;Biopsia s incíziou svalov a mäkkých tkanív v oblasti krku ;S06-03;Ostatné maxilofaciálne výkony II.
13t300;Biopsia s incíziou v oblasti temporomandibulárneho kĺbu a burzy ;S06-03;Ostatné maxilofaciálne výkony II.
14d11;Diagnostická peroperačná endoskopia prínosových dutín;S06-03;Ostatné maxilofaciálne výkony II.
14d12;Diagnostická sialoskopia príušnej a podčeľustnej žľazy;S06-03;Ostatné maxilofaciálne výkony II.
14t300;Diagnostická peroperačná artroskopia temporomandibulárneho kĺbu;S06-03;Ostatné maxilofaciálne výkony II.
15t100;Perkutánna diagnostická punkcia a aspirácia temporomandibulárneho kĺbu;S06-03;Ostatné maxilofaciálne výkony II.
5g108;Augmentácia kostného tkaniva;S06-03;Ostatné maxilofaciálne výkony II.
5g109;Fixácia zubov;S06-03;Ostatné maxilofaciálne výkony II.
5g1101;Resekcia hrotu zubného koreňa distálnych zubov;S06-03;Ostatné maxilofaciálne výkony II.
5g111;Resekcia hrotu zubného koreňa u troch a viacerých zubov;S06-03;Ostatné maxilofaciálne výkony II.
5g202;Chirurgická liečba parodontálneho abscesu;S06-03;Ostatné maxilofaciálne výkony II.
5g203;Operácia parodontu;S06-03;Ostatné maxilofaciálne výkony II.
5g2082;Rekonštrukcia sliznice jednostranne nad 4 cm2 ;S06-03;Ostatné maxilofaciálne výkony II.
5g2091;Gingivoplastika v rozsahu jedného až dvoch zubov;S06-03;Ostatné maxilofaciálne výkony II.
5g2092;Gingivoplastika v rozsahu troch a viac zubov v jednom kvadrante;S06-03;Ostatné maxilofaciálne výkony II.
5g20c;Sutúra ďasna;S06-03;Ostatné maxilofaciálne výkony II.
5g20d;Regeneračná operácia parodontu alebo ďasna a transplantácia alveolu v rozsahu jedného až dvoch zubov;S06-03;Ostatné maxilofaciálne výkony II.
5g20g1;Trepanácia alveolu v oblasti apexu zuba;S06-03;Ostatné maxilofaciálne výkony II.
5g20gx;Trepanácia alveolu, iná;S06-03;Ostatné maxilofaciálne výkony II.
5g20hx;Resekcia alveolu, iná;S06-03;Ostatné maxilofaciálne výkony II.
5g20k;Kortikotómia alveolu v okolí zuba;S06-03;Ostatné maxilofaciálne výkony II.
5g20m0;Repozícia fragmentovaného alveolu, alveolárneho výbežku v rozsahu jedného kvadrantu s jednoduchou fixáciou;S06-03;Ostatné maxilofaciálne výkony II.
5g20m1;Repozícia fragmentovaného alveolu, alveolárneho výbežku v rozsahu oboch kvadrantov s jednoduchou fixáciou;S06-03;Ostatné maxilofaciálne výkony II.
5g20m2;Repozícia fragmentovaného alveolu, alveolárneho výbežku v rozsahu jedného kvadrantu s ostesyntézou;S06-03;Ostatné maxilofaciálne výkony II.
5g20m3;Repozícia fragmentovaného alveolu, alveolárneho výbežku v rozsahu oboch kvadrantov s ostesyntézou;S06-03;Ostatné maxilofaciálne výkony II.
5g20n;Zatvorená repozícia a fixácia zlomeniny alveolu v rozsahu jedného sextantu;S06-03;Ostatné maxilofaciálne výkony II.
5g20o;Odstránenie implantátov fixačných zariadení z podnebia;S06-03;Ostatné maxilofaciálne výkony II.
5g210;Fenestrácia cysty maxily;S06-03;Ostatné maxilofaciálne výkony II.
5g2120;Exstirpácia nádoru alebo cysty mandibuly do 2 cm;S06-03;Ostatné maxilofaciálne výkony II.
5g2121;Exstirpácia nádoru alebo cysty mandibuly do 4 cm;S06-03;Ostatné maxilofaciálne výkony II.
5g2122;Exstirpácia nádoru alebo cysty mandibuly nad 4 cm;S06-03;Ostatné maxilofaciálne výkony II.
5g213;Revízia čeľustnej dutiny transmaxilárne s resekciou polypov ;S06-03;Ostatné maxilofaciálne výkony II.
5g2200;Alveoloplastika s použitím kožného alebo sliznicového štepu;S06-03;Ostatné maxilofaciálne výkony II.
5g2201;Alveoloplastika s použitím kostného štepu alebo cudzieho materiálu;S06-03;Ostatné maxilofaciálne výkony II.
5g2202;Alveoloplastika s použitím kostného štepu využitím biomedicínskych technológií;S06-03;Ostatné maxilofaciálne výkony II.
5g2222;Osteoplastika alveolárneho výbežku autológnym kostným štepom;S06-03;Ostatné maxilofaciálne výkony II.
5g2223;Osteoplastika alveolárneho výbežku alogénym kostným štepom;S06-03;Ostatné maxilofaciálne výkony II.
5g223;Vestibuloplastika;S06-03;Ostatné maxilofaciálne výkony II.
5g224;Rekonštrukcia dentoalveolárneho oblúka;S06-03;Ostatné maxilofaciálne výkony II.
5g227;Primárna plastika oroantrálnej komunikácie mobilizovaným vestibulárnym mukoperiostálnym lalokom;S06-03;Ostatné maxilofaciálne výkony II.
5g228;Sekundárna plastika oroantrálnej komunikácie mobilizovaným palatinálnym alebo iným lalokom;S06-03;Ostatné maxilofaciálne výkony II.
5g229;Plastika oroantrálnej komunikácie a oronazálnej komunikácie;S06-03;Ostatné maxilofaciálne výkony II.
5g22b;Repozícia fragmentovaného alveolu alebo alveolárneho výbežku;S06-03;Ostatné maxilofaciálne výkony II.
5g22d1;Zväčšenie alveolu v oblasti jedného sextantu;S06-03;Ostatné maxilofaciálne výkony II.
5g22d2;Zväčšenie alveolu v oblasti dvoch sextantov;S06-03;Ostatné maxilofaciálne výkony II.
5g22e1;Rekonštrukcia alveolov jednostranne;S06-03;Ostatné maxilofaciálne výkony II.
5g22f;Orálna alveoloplastika;S06-03;Ostatné maxilofaciálne výkony II.
5s10211;Zatvorená repozícia a imobilizácia zlomeniny maxily pomocou metód sec. Adams;S06-03;Ostatné maxilofaciálne výkony II.
5s1023;Použitie skeletálnej trakcie maxily;S06-03;Ostatné maxilofaciálne výkony II.
5s102x;Ostatné repozície maxily;S06-03;Ostatné maxilofaciálne výkony II.
5s1030;Zatvorená repozícia luxácie mandibuly;S06-03;Ostatné maxilofaciálne výkony II.
5s10311;Zatvorená repozícia a imobilizácia zlomeniny mandibuly;S06-03;Ostatné maxilofaciálne výkony II.
5s10312;Zatvorená repozícia a imobilizácia zlomeniny tela mandibuly;S06-03;Ostatné maxilofaciálne výkony II.
5s10313;Zatvorená repozícia a imobilizácia zlomeniny hlavy a krčka mandibuly;S06-03;Ostatné maxilofaciálne výkony II.
5s10330;Otvorená repozícia a fixácia zlomeniny mandibuly;S06-03;Ostatné maxilofaciálne výkony II.
5s10331;Otvorená repozícia a fixácia zlomeniny tela mandibuly;S06-03;Ostatné maxilofaciálne výkony II.
5s10332;Otvorená repozícia a osteosyntéza zlomeniny mandibuly;S06-03;Ostatné maxilofaciálne výkony II.
5s30f50;Rigidná fixácia maxily ;S06-03;Ostatné maxilofaciálne výkony II.
5s30f51;Elastická fixácia maxily ;S06-03;Ostatné maxilofaciálne výkony II.
5s30f6;Augmentácia kostných defektov maxily;S06-03;Ostatné maxilofaciálne výkony II.
5s3110;Parciálna mandibulektómia ;S06-03;Ostatné maxilofaciálne výkony II.
5s390;Fenestrácia cysty mandibuly;S06-03;Ostatné maxilofaciálne výkony II.
5s391;Exstirpácia cysty mandibuly;S06-03;Ostatné maxilofaciálne výkony II.
5s392;Trepanácia mandibuly;S06-03;Ostatné maxilofaciálne výkony II.
5s395;Dekortikácia mandibuly;S06-03;Ostatné maxilofaciálne výkony II.
5s943;Radikálna maxilárna antrotómia s osteoplastikou;S06-03;Ostatné maxilofaciálne výkony II.
8c413;Odstránenie cudzieho telesa z pery;S06-03;Ostatné maxilofaciálne výkony II.
8c414;Odstránenie cudzieho telesa z líca;S06-03;Ostatné maxilofaciálne výkony II.
8c415;Odstránenie cudzieho telesa z podnebia;S06-03;Ostatné maxilofaciálne výkony II.
8f307s;Perkutánna terapeutická punkcia a aspirácia temporomandibulárneho kĺbu;S06-03;Ostatné maxilofaciálne výkony II.
8f402;Terapeutická laváž [výplach] prínosových dutín;S06-03;Ostatné maxilofaciálne výkony II.
8f406s;Terapeutická laváž [výplach] temporomandibulárneho kĺbu;S06-03;Ostatné maxilofaciálne výkony II.
8f903;Výplach drénovaných priestorov;S06-03;Ostatné maxilofaciálne výkony II.
8l1001;Predná tamponáda nosa;S06-03;Ostatné maxilofaciálne výkony II.
8l1002;Zadná tamponáda nosa;S06-03;Ostatné maxilofaciálne výkony II.
5g2110;Exstirpácia nádoru alebo cysty maxily do 2 cm;S06-03;Ostatné maxilofaciálne výkony II.
5g2111;Exstirpácia nádoru alebo cysty maxily do 4 cm;S06-03;Ostatné maxilofaciálne výkony II.
5g2112;Exstirpácia nádoru alebo cysty maxily nad 4 cm;S06-03;Ostatné maxilofaciálne výkony II.
5t061;Osteosyntéza skrutkou;S06-07;Osteosyntéza
5t063;Osteosyntéza dlahou;S06-07;Osteosyntéza
5t064;Osteosyntéza drôtom alebo ťahovou serklážou;S06-07;Osteosyntéza
5g103;Dekapsulácia zuba;S06-08;Ošetrenie nespolupracujúceho a zdravotne znevýhodneného pacienta v celkovej anestézii
5g10b;Sutúra extrakčnej rany;S06-08;Ošetrenie nespolupracujúceho a zdravotne znevýhodneného pacienta v celkovej anestézii
5g10c;Sanácia chrupu v celkovej anestézii;S06-08;Ošetrenie nespolupracujúceho a zdravotne znevýhodneného pacienta v celkovej anestézii
5g1100;Resekcia hrotu zubného koreňa frontálnych zubov;S06-08;Ošetrenie nespolupracujúceho a zdravotne znevýhodneného pacienta v celkovej anestézii
5g120;Komplikovaná extrakcia zuba;S06-08;Ošetrenie nespolupracujúceho a zdravotne znevýhodneného pacienta v celkovej anestézii
5g121;Chirurgická extrakcia zuba;S06-08;Ošetrenie nespolupracujúceho a zdravotne znevýhodneného pacienta v celkovej anestézii
5g122;Extrakcia viackoreňového zuba;S06-08;Ošetrenie nespolupracujúceho a zdravotne znevýhodneného pacienta v celkovej anestézii
5g123;Extrakcia zuba po rázštepoch;S06-08;Ošetrenie nespolupracujúceho a zdravotne znevýhodneného pacienta v celkovej anestézii
5g2040;Odklopenie frontálneho mukoperiostálneho laloka;S06-08;Ošetrenie nespolupracujúceho a zdravotne znevýhodneného pacienta v celkovej anestézii
5g2041;Odklopenie laterálneho mukoperiostálneho laloka;S06-08;Ošetrenie nespolupracujúceho a zdravotne znevýhodneného pacienta v celkovej anestézii
5g205;Plastika frenúl slizničných a väzivových pruhov;S06-08;Ošetrenie nespolupracujúceho a zdravotne znevýhodneného pacienta v celkovej anestézii
5g20a;Gingivektómia;S06-08;Ošetrenie nespolupracujúceho a zdravotne znevýhodneného pacienta v celkovej anestézii
5g22a;Egalizácia alveolárneho výbežku;S06-08;Ošetrenie nespolupracujúceho a zdravotne znevýhodneného pacienta v celkovej anestézii
5g22c;Poextrakčná korekcia alveolu intrúziou;S06-08;Ošetrenie nespolupracujúceho a zdravotne znevýhodneného pacienta v celkovej anestézii
5g2291;Plastika oroantrálnej komunikácie;S06-08;Ošetrenie nespolupracujúceho a zdravotne znevýhodneného pacienta v celkovej anestézii
5n040;Parciálna cervikálna ezofagektómia bez obnovenia kontinuity;S07-01;Resekcia ezofágu
5n041;Parciálna torakálna ezofagektómia bez obnovenia kontinuity;S07-01;Resekcia ezofágu
5n042;Parciálna torakoabdominálna ezofagektómia bez obnovenia kontinuity;S07-01;Resekcia ezofágu
5n043;Parciálna abdominálna ezofagektómia bez obnovenia kontinuity;S07-01;Resekcia ezofágu
5n049;Iná parciálna ezofagektómia bez obnovenia kontinuity;S07-01;Resekcia ezofágu
5n04a;Parciálna torakálna ezofagektómia s obnovením kontinuity;S07-01;Resekcia ezofágu
5n04b;Parciálna torakoabdominálna ezofagektómia s obnovením kontinuity;S07-01;Resekcia ezofágu
5n04c;Parciálna abdominálna ezofagektómia s obnovením kontinuity;S07-01;Resekcia ezofágu
5n04x;Iná parciálna ezofagektómia s obnovením kontinuity;S07-01;Resekcia ezofágu
5n0541;Totálna abdominocervikálna ezofagektómia bez obnovenia kontinuity, tupá disekcia (transmediastinálne), krčná ezofagostómia;S07-01;Resekcia ezofágu
5n0542;Totálna torakoabdominálna ezofagektómia bez obnovenia kontinuity bez lymfadenektómie, krčná ezofagostómia;S07-01;Resekcia ezofágu
5n0543;Totálna torakoabdominálna ezofagektómia bez obnovenia kontinuity s lymfadenektómiou, krčná ezofagostómia;S07-01;Resekcia ezofágu
5n054x;Iná totálna ezofagektómia bez obnovenia kontinuity, krčná ezofagostómia;S07-01;Resekcia ezofágu
5n05a10;Totálna abdominocervikálna ezofagektómia s obnovením kontinuity (tupá disekcia) „Gastric pull up“ a s intratorakálnou anastomózou, otvorene chirurgicky s použitím svorkovačov;S07-01;Resekcia ezofágu
5n05a11;Totálna abdominocervikálna ezofagektómia s obnovením kontinuity (tupá disekcia) „Gastric pull up“ a s intratorakálnou anastomózou, hybrid s použitím svorkovačov;S07-01;Resekcia ezofágu
5n05a12;Totálne miniinvazívna abdominocervikálna ezofagektómia s obnovením kontinuity (tupá disekcia) „Gastric pull up“ a s intratorakálnou anastomózou s použitím svorkovačov;S07-01;Resekcia ezofágu
5n05a20;Totálna abdominocervikálna ezofagektómia s obnovením kontinuity (tupá disekcia) „Gastric pull up“ a s cervikálnou anastomózou, otvorene chirurgicky s použitím svorkovačov;S07-01;Resekcia ezofágu
5n05a21;Totálna abdominocervikálna ezofagektómia s obnovením kontinuity (tupá disekcia) „Gastric pull up“ a s cervikálnou anastomózou, hybrid s použitím svorkovačov;S07-01;Resekcia ezofágu
5n05a22;Totálne miniinvazívna abdominocervikálna ezofagektómia s obnovením kontinuity (tupá disekcia) „Gastric pull up“ a s cervikálnou anastomózou s použitím svorkovačov;S07-01;Resekcia ezofágu
5n05a3;Totálna abdominocervikálna ezofagektómia s obnovením kontinuity (tupá disekcia) voľnou interpozíciou tenkého čreva;S07-01;Resekcia ezofágu
5n05a4;Totálna abdominocervikálna ezofagektómia s obnovením kontinuity (tupá disekcia) s interpozíciou hrubého čreva;S07-01;Resekcia ezofágu
5n05ax;Totálna abdominocervikálna ezofagektómia s obnovením kontinuity (tupá disekcia), ostatné;S07-01;Resekcia ezofágu
5n05b10;Totálna torakoabdominálna ezofagektómia s obnovením kontinuity bez lymfadenektómie „Gastric pull up“ a s intratorakálnou anastomózou, otvorene chirurgicky s použitím svorkovačov;S07-01;Resekcia ezofágu
5n05b11;Totálna torakoabdominálna ezofagektómia s obnovením kontinuity bez lymfadenektómie „Gastric pull up“ a s intratorakálnou anastomózou, hybrid s použitím svorkovačov;S07-01;Resekcia ezofágu
5n05b12;Totálne miniinvazívna torakoabdominálna ezofagektómia s obnovením kontinuity bez lymfadenektómie „Gastric pull up“ a s intratorakálnou anastomózou s použitím svorkovačov;S07-01;Resekcia ezofágu
5n05b20;Totálna torakoabdominálna ezofagektómia s obnovením kontinuity bez lymfadenektómie „Gastric pull up“ a s cervikálnou anastomózou, otvorene chirurgicky s použitím svorkovačov;S07-01;Resekcia ezofágu
5n05b21;Totálna torakoabdominálna ezofagektómia s obnovením kontinuity bez lymfadenektómie „Gastric pull up“ a s cervikálnou anastomózou, hybrid s použitím svorkovačov;S07-01;Resekcia ezofágu
5n05b22;Totálne miniinvazívna torakoabdominálna ezofagektómia s obnovením kontinuity bez lymfadenektómie „Gastric pull up“ a s cervikálnou anastomózou s použitím svorkovačov;S07-01;Resekcia ezofágu
5n05b3;Totálna torakoabdominálna ezofagektómia s obnovením kontinuity bez lymfadenektómie voľnou interpozíciou tenkého čreva;S07-01;Resekcia ezofágu
5n05b4;Totálna torakoabdominálna ezofagektómia s obnovením kontinuity bez lymfadenektómie s interpozíciou hrubého čreva;S07-01;Resekcia ezofágu
5n05bx;Totálna torakoabdominálna ezofagektómia s obnovením kontinuity bez lymfadenektómie, ostatné;S07-01;Resekcia ezofágu
5n05c10;Totálna torakoabdominálna ezofagektómia s obnovením kontinuity s lymfadenektómiou [en-bloc-ezofagektómia] „Gastric pull up“ a s intratorakálnou anastomózou, otvorene chirurgicky s použitím svorkovačov;S07-01;Resekcia ezofágu
5n05c11;Totálna torakoabdominálna ezofagektómia s obnovením kontinuity s lymfadenektómiou [en-bloc-ezofagektómia] „Gastric pull up“ a s intratorakálnou anastomózou, hybrid s použitím svorkovačov;S07-01;Resekcia ezofágu
5n05c12;Totálne miniinvazívna torakoabdominálna ezofagektómia s obnovením kontinuity s lymfadenektómiou [en-bloc-ezofagektómia] „Gastric pull up“ a s intratorakálnou anastomózou (laparoskopicky a torakoskopicky) s použitím svorkovačov;S07-01;Resekcia ezofágu
5n05c20;Totálna torakoabdominálna ezofagektómia s obnovením kontinuity s lymfadenektómiou [en-bloc-ezofagektómia] „Gastric pull up“ a s cervikálnou anastomózou, otvorene chirurgicky s použitím svorkovačov;S07-01;Resekcia ezofágu
5n05c21;Totálna torakoabdominálna ezofagektómia s obnovením kontinuity s lymfadenektómiou [en-bloc-ezofagektómia] „Gastric pull up“ a s cervikálnou anastomózou, hybrid s použitím svorkovačov;S07-01;Resekcia ezofágu
5n05c22;Totálne miniinvazívna torakoabdominálna ezofagektómia s obnovením kontinuity s lymfadenektómiou [en-bloc-ezofagektómia] „Gastric pull up“ a s cervikálnou anastomózou (laparoskopicky a torakoskopicky) s použitím svorkovačov;S07-01;Resekcia ezofágu
5n05c3;Totálna torakoabdominálna ezofagektómia s obnovením kontinuity s lymfadenektómiou [en-bloc-ezofagektómia] voľnou interpozíciou tenkého čreva;S07-01;Resekcia ezofágu
5n05c4;Totálna torakoabdominálna ezofagektómia s obnovením kontinuity s lymfadenektómiou [en-bloc-ezofagektómia] s interpozíciou hrubého čreva;S07-01;Resekcia ezofágu
5n05cx;Totálna torakoabdominálna ezofagektómia s obnovením kontinuity s lymfadenektómiou [en-bloc-ezofagektómia], ostatné;S07-01;Resekcia ezofágu
5n05x3;Iná totálna ezofagektómia s obnovením kontinuity voľnou interpozíciou tenkého čreva;S07-01;Resekcia ezofágu
5n05x4;Iná totálna ezofagektómia s obnovením kontinuity s interpozíciou hrubého čreva;S07-01;Resekcia ezofágu
5n05x5;Salvage ezofagektómia;S07-01;Resekcia ezofágu
5n05xx;Iná totálna ezofagektómia s obnovením kontinuity, ostatné;S07-01;Resekcia ezofágu
5n0601;Subtotálna ezofagektómia torakofrenolaparotomicky, s náhradou žalúdkom;S07-01;Resekcia ezofágu
5n0602;Subtotálna ezofagektómia torakofrenolaparotomicky, voľnou interpozíciou tenkého čreva;S07-01;Resekcia ezofágu
5n0603;Subtotálna ezofagektómia torakofrenolaparotomicky, s interpozíciou hrubého čreva;S07-01;Resekcia ezofágu
5n060x;Subtotálna ezofagektómia torakofrenolaparotomicky, ostatné;S07-01;Resekcia ezofágu
5h30401;Segmentálna resekcia stenózy priedušnice, cervikálny prístup;S07-02;Vysoko komplexné výkony na priedušnici
5h30402;Segmentálna resekcia stenózy priedušnice, torakotomický prístup;S07-02;Vysoko komplexné výkony na priedušnici
5h3040x;Segmentálna resekcia stenózy priedušnice, iná;S07-02;Vysoko komplexné výkony na priedušnici
5h30411;Excízia peritracheostomálneho útvaru, úprava stomického otvoru;S07-02;Vysoko komplexné výkony na priedušnici
5h3901;Uzáver tracheoezofageálnej fistuly, cervikálny prístup;S07-02;Vysoko komplexné výkony na priedušnici
5h3902;Uzáver tracheoezofageálnej fistuly, torakotomický prístup;S07-02;Vysoko komplexné výkony na priedušnici
5h3903;Uzáver tracheoezofageálnej fistuly, torakoskopický prístup;S07-02;Vysoko komplexné výkony na priedušnici
5h393;Implantácia stentu do priedušnice, prípadne do bronchov;S07-02;Vysoko komplexné výkony na priedušnici
5h394;Tracheofissura a inzercia tracheostomickej alebo T-kanyly;S07-02;Vysoko komplexné výkony na priedušnici
5j155;Pneumonektómia s resekciou tracheálnej kariny;S07-03;Špecializované výkony na pľúcach
5j404;Plastické výkony na priedušnici a veľkých bronchoch;S07-03;Špecializované výkony na pľúcach
5n0201;Rekonštrukcia pasáže pažeráka ako samostatný výkon v retrosternálnom priestore (v prednom mediastine) „Gastric pull up“ a s intratorakálnou anastomózou;S07-04;Ostatné špecializované operačné výkony na pažeráku
5n0202;Rekonštrukcia pasáže pažeráka ako samostatný výkon v retrosternálnom priestore (v prednom mediastine) „Gastric pull up“ a s cervikálnou anastomózou;S07-04;Ostatné špecializované operačné výkony na pažeráku
5n0203;Rekonštrukcia pasáže pažeráka ako samostatný výkon v retrosternálnom priestore (v prednom mediastine) voľnou interpozíciou tenkého čreva;S07-04;Ostatné špecializované operačné výkony na pažeráku
5n0204;Rekonštrukcia pasáže pažeráka ako samostatný výkon v retrosternálnom priestore (v prednom mediastine) s interpozíciou hrubého čreva;S07-04;Ostatné špecializované operačné výkony na pažeráku
5n020x;Rekonštrukcia pasáže pažeráka ako samostatný výkon v retrosternálnom priestore (v prednom mediastine), ostatné;S07-04;Ostatné špecializované operačné výkony na pažeráku
5n0211;Rekonštrukcia pasáže pažeráka ako samostatný výkon v pôvodnom lôžku pažeráka (v zadnom mediastine) „Gastric pull up“ a s intratorakálnou anastomózou;S07-04;Ostatné špecializované operačné výkony na pažeráku
5n0212;Rekonštrukcia pasáže pažeráka ako samostatný výkon v pôvodnom lôžku pažeráka (v zadnom mediastine) „Gastric pull up“ a s cervikálnou anastomózou;S07-04;Ostatné špecializované operačné výkony na pažeráku
5n0213;Rekonštrukcia pasáže pažeráka ako samostatný výkon v pôvodnom lôžku pažeráka (v zadnom mediastine) voľnou interpozíciou tenkého čreva;S07-04;Ostatné špecializované operačné výkony na pažeráku
5n0214;Rekonštrukcia pasáže pažeráka ako samostatný výkon v pôvodnom lôžku pažeráka (v zadnom mediastine) s interpozíciou hrubého čreva;S07-04;Ostatné špecializované operačné výkony na pažeráku
5n021x;Rekonštrukcia pasáže pažeráka ako samostatný výkon v pôvodnom lôžku pažeráka (v zadnom mediastine), ostatné;S07-04;Ostatné špecializované operačné výkony na pažeráku
5n0291;Iná rekonštrukcia pasáže pažeráka ako samostatný výkon „Gastric pull up“ a s intratorakálnou anastomózou;S07-04;Ostatné špecializované operačné výkony na pažeráku
