kod_hlavnej_diagnozy;nazov_hlavnej_diagnozy;kod_ms;nazov_ms
S729;Zlomenina stehnovej kosti, časť bližšie neurčená;S02-61;Zlomenina panvy a stehnovej kosti
S031;Dislokácia chrupkovej časti nosovej priehradky;S02-62;Ľahké poranenia pohybového systému
S091;Poranenie svalu a šľachy hlavy;S02-62;Ľahké poranenia pohybového systému
S4200;Zlomenina kľúčnej kosti, časť bližšie neurčená;S02-62;Ľahké poranenia pohybového systému
S4300;Vykĺbenie plecového kĺbu, bližšie neurčené;S02-62;Ľahké poranenia pohybového systému
S4301;Vykĺbenie ramennej kosti dopredu;S02-62;Ľahké poranenia pohybového systému
S4302;Vykĺbenie ramennej kosti dozadu;S02-62;Ľahké poranenia pohybového systému
S4303;Vykĺbenie ramennej kosti dole;S02-62;Ľahké poranenia pohybového systému
S432;Vykĺbenie sternoklavikulárneho kĺbu;S02-62;Ľahké poranenia pohybového systému
S5200;Zlomenina horného konca lakťovej kosti: časť bližšie neurčená;S02-62;Ľahké poranenia pohybového systému
S5201;Zlomenina horného konca lakťovej kosti: olekranon;S02-62;Ľahké poranenia pohybového systému
S5202;Zlomenina horného konca lakťovej kosti: processus coronoideus;S02-62;Ľahké poranenia pohybového systému
S5209;Zlomenina horného konca lakťovej kosti: iné a mnohopočetné časti;S02-62;Ľahké poranenia pohybového systému
S5210;Zlomenina horného konca vretennej kosti: časť bližšie neurčená;S02-62;Ľahké poranenia pohybového systému
S5211;Zlomenina horného konca vretennej kosti: hlava;S02-62;Ľahké poranenia pohybového systému
S5212;Zlomenina horného konca vretennej kosti: collum;S02-62;Ľahké poranenia pohybového systému
S5219;Zlomenina horného konca vretennej kosti: iné a mnohopočetné časti;S02-62;Ľahké poranenia pohybového systému
S5220;Zlomenina diafýzy lakťovej kosti, časť bližšie neurčená;S02-62;Ľahké poranenia pohybového systému
S5221;Zlomenina proximálnej časti diafýzy lakťovej kosti s luxáciou hlavičky vretennej kosti;S02-62;Ľahké poranenia pohybového systému
S5230;Zlomenina diafýzy vretennej kosti: časť bližšie neurčená;S02-62;Ľahké poranenia pohybového systému
S5231;Zlomenina dolnej časti diafýzy vretennej kosti s luxáciou hlavičky lakťovej kosti;S02-62;Ľahké poranenia pohybového systému
S524;Zlomenina diafýzy lakťovej a vretennej kosti;S02-62;Ľahké poranenia pohybového systému
S5250;Zlomenina dolného konca vretennej kosti: bližšie neurčená;S02-62;Ľahké poranenia pohybového systému
S5251;Zlomenina dolného konca vretennej kosti: extenzný typ;S02-62;Ľahké poranenia pohybového systému
S5252;Zlomenina dolného konca vretennej kosti: flekčný typ;S02-62;Ľahké poranenia pohybového systému
S5259;Zlomenina dolného konca vretennej kosti: iné a mnohopočetné časti;S02-62;Ľahké poranenia pohybového systému
S526;Zlomenina dolného konca lakťovej a vretennej kosti;S02-62;Ľahké poranenia pohybového systému
S527;Viaceré zlomeniny predlaktia;S02-62;Ľahké poranenia pohybového systému
S528;Zlomenina inej časti predlaktia;S02-62;Ľahké poranenia pohybového systému
S529;Zlomenina predlaktia, bližšie neurčenej časti;S02-62;Ľahké poranenia pohybového systému
S530;Vykĺbenie hlavice vretennej kosti;S02-62;Ľahké poranenia pohybového systému
S5310;Vykĺbenie lakťa: bližšie neurčené;S02-62;Ľahké poranenia pohybového systému
S5311;Iné a bližšie neurčené vykĺbenie lakťa: dopredu;S02-62;Ľahké poranenia pohybového systému
S5312;Iné a bližšie neurčené vykĺbenie lakťa: dozadu;S02-62;Ľahké poranenia pohybového systému
S5313;Iné a bližšie neurčené vykĺbenie lakťa: mediálne;S02-62;Ľahké poranenia pohybového systému
S5314;Iné a bližšie neurčené vykĺbenie lakťa: laterálne;S02-62;Ľahké poranenia pohybového systému
S5318;Vykĺbenie lakťa: iné;S02-62;Ľahké poranenia pohybového systému
S532;Úrazová ruptúra lig.collaterale radiale;S02-62;Ľahké poranenia pohybového systému
S533;Úrazová ruptúra lig.collaterale ulnare;S02-62;Ľahké poranenia pohybového systému
S5340;Vyvrtnutie a natiahnutie lakťa: časť bližšie neurčená;S02-62;Ľahké poranenia pohybového systému
S5341;Vyvrtnutie a natiahnutie lakťa: lig.collaterale radiale;S02-62;Ľahké poranenia pohybového systému
S5342;Vyvrtnutie a natiahnutie lakťa: lig.collaterale ulnare;S02-62;Ľahké poranenia pohybového systému
S5343;Vyvrtnutie a natiahnutie lakťa: humeroradiálny kĺb;S02-62;Ľahké poranenia pohybového systému
S5344;Vyvrtnutie a natiahnutie lakťa: humeroulnárny kĺb;S02-62;Ľahké poranenia pohybového systému
S5348;Vyvrtnutie a natiahnutie lakťa: iné časti;S02-62;Ľahké poranenia pohybového systému
S560;Poranenie svalu a šľachy ohýbača (flexoru) palca v úrovni predlaktia;S02-62;Ľahké poranenia pohybového systému
S561;Poranenie svalu a šľachy ohýbača (flexoru) iného prsta alebo prstov v úrovni predlaktia;S02-62;Ľahké poranenia pohybového systému
S562;Poranenie svalu a šľachy iného ohýbača (flexoru) v úrovni predlaktia;S02-62;Ľahké poranenia pohybového systému
S563;Poranenie svalu a šľachy vystierača (extenzoru) alebo odťahovača (abduktoru) palca v úrovni predlaktia;S02-62;Ľahké poranenia pohybového systému
S564;Poranenie svalu a šľachy vystierača (extenzoru) iného prsta alebo prstov v úrovni predlaktia;S02-62;Ľahké poranenia pohybového systému
S565;Poranenie iného svalu a šľachy vystierača (extenzoru) v úrovni predlaktia;S02-62;Ľahké poranenia pohybového systému
S567;Poranenie viacerých svalov a šliach v úrovni predlaktia;S02-62;Ľahké poranenia pohybového systému
S568;Poranenie iných a bližšie neurčených svalov a šliach v úrovni predlaktia;S02-62;Ľahké poranenia pohybového systému
S620;Zlomenina os naviculare;S02-62;Ľahké poranenia pohybového systému
S6210;Zlomenina zápästnej kosti, bližšie neurčená;S02-62;Ľahké poranenia pohybového systému
S6211;Zlomenina os lunatum;S02-62;Ľahké poranenia pohybového systému
S6212;Zlomenina os triquetrum;S02-62;Ľahké poranenia pohybového systému
S6213;Zlomenina os pisiforme;S02-62;Ľahké poranenia pohybového systému
S6214;Zlomenina os trapezium;S02-62;Ľahké poranenia pohybového systému
S6215;Zlomenina os trapezoideum;S02-62;Ľahké poranenia pohybového systému
S6216;Zlomenina os capitatum;S02-62;Ľahké poranenia pohybového systému
S6217;Zlomenina os hamatum;S02-62;Ľahké poranenia pohybového systému
S6219;Zlomenina inej a viacerých zápästných kostí;S02-62;Ľahké poranenia pohybového systému
S6220;Zlomenina prvej záprstnej kosti, časť bližšie neurčená;S02-62;Ľahké poranenia pohybového systému
S6221;Zlomenina prvej záprstnej kosti, báza;S02-62;Ľahké poranenia pohybového systému
S6222;Zlomenina prvej záprstnej kosti, diafýza;S02-62;Ľahké poranenia pohybového systému
S6223;Zlomenina prvej záprstnej kosti, krčok;S02-62;Ľahké poranenia pohybového systému
S6224;Zlomenina prvej záprstnej kosti, hlava;S02-62;Ľahké poranenia pohybového systému
S6230;Zlomenina inej záprstnej kosti, časť bližšie neurčená;S02-62;Ľahké poranenia pohybového systému
S6231;Zlomenina inej záprstnej kosti, báza;S02-62;Ľahké poranenia pohybového systému
S6232;Zlomenina inej záprstnej kosti, diafýza;S02-62;Ľahké poranenia pohybového systému
S6233;Zlomenina inej záprstnej kosti, krčok;S02-62;Ľahké poranenia pohybového systému
S6234;Zlomenina inej záprstnej kosti, hlava;S02-62;Ľahké poranenia pohybového systému
S624;Viaceré zlomeniny záprstných kostí;S02-62;Ľahké poranenia pohybového systému
S6250;Zlomenina palca, časť bližšie neurčená;S02-62;Ľahké poranenia pohybového systému
S6251;Zlomenina palca, horný článok;S02-62;Ľahké poranenia pohybového systému
S6252;Zlomenina palca, dolný článok;S02-62;Ľahké poranenia pohybového systému
S6260;Zlomenina iného prsta ruky, časť bližšie neurčená;S02-62;Ľahké poranenia pohybového systému
S6261;Zlomenina iného prsta ruky, horný článok;S02-62;Ľahké poranenia pohybového systému
S6262;Zlomenina iného prsta ruky, stredný článok;S02-62;Ľahké poranenia pohybového systému
S6263;Zlomenina iného prsta ruky, dolný článok;S02-62;Ľahké poranenia pohybového systému
S627;Viaceré zlomeniny prstov ruky;S02-62;Ľahké poranenia pohybového systému
S628;Zlomenina iných a bližšie neurčených častí zápästia a ruky;S02-62;Ľahké poranenia pohybového systému
S6300;Vykĺbenie zápästia, časť bližšie neurčená;S02-62;Ľahké poranenia pohybového systému
S6301;Vykĺbenie zápästia, radioulnárny kĺb;S02-62;Ľahké poranenia pohybového systému
S6302;Vykĺbenie zápästia, radiokarpový kĺb;S02-62;Ľahké poranenia pohybového systému
S6303;Vykĺbenie zápästia, mediokarpový kĺb;S02-62;Ľahké poranenia pohybového systému
S6304;Vykĺbenie zápästia, karpometakarpový kĺb;S02-62;Ľahké poranenia pohybového systému
S6308;Vykĺbenie zápästia, iné;S02-62;Ľahké poranenia pohybového systému
S6310;Vykĺbenie prsta ruky, časť bližšie neurčená;S02-62;Ľahké poranenia pohybového systému
S6311;Vykĺbenie prsta ruky, metakarpofalangový kĺb;S02-62;Ľahké poranenia pohybového systému
S6312;Vykĺbenie prsta ruky, interfalangový kĺb;S02-62;Ľahké poranenia pohybového systému
S632;Viaceré vykĺbenia prstov ruky;S02-62;Ľahké poranenia pohybového systému
S633;Úrazové roztrhnutie väzu zápästia a ruky;S02-62;Ľahké poranenia pohybového systému
S634;Úrazové roztrhnutie väzu prsta ruky v metakarpofalangovom a interfalangovom kĺbe;S02-62;Ľahké poranenia pohybového systému
S6350;Vyvrtnutie a natiahnutie zápästia, časť bližšie neurčená;S02-62;Ľahké poranenia pohybového systému
S6351;Vyvrtnutie a natiahnutie zápästia, karpový kĺb;S02-62;Ľahké poranenia pohybového systému
S6352;Vyvrtnutie a natiahnutie zápästia, radiokarpový kĺb;S02-62;Ľahké poranenia pohybového systému
S6353;Vyvrtnutie a natiahnutie zápästia, karpometakarpový kĺb;S02-62;Ľahké poranenia pohybového systému
S6358;Vyvrtnutie a natiahnutie zápästia, iná časť;S02-62;Ľahké poranenia pohybového systému
S6360;Vyvrtnutie a natiahnutie jedného alebo viacerých prstov, časť bližšie neurčená;S02-62;Ľahké poranenia pohybového systému
S6361;Vyvrtnutie a natiahnutie jedného alebo viacerých prstov, metakarpofalangový kĺb;S02-62;Ľahké poranenia pohybového systému
S6362;Vyvrtnutie a natiahnutie jedného alebo viacerých prstov, interfalangový kĺb;S02-62;Ľahké poranenia pohybového systému
S6368;Vyvrtnutie a natiahnutie jedného alebo viacerých prstov, iná časť;S02-62;Ľahké poranenia pohybového systému
S637;Vyvrtnutie a natiahnutie iných a bližšie neurčených častí ruky;S02-62;Ľahké poranenia pohybového systému
S660;Poranenie svalu a šľachy dlhého ohýbača palca [m. flexor pollicis longus] v úrovni zápästia a ruky;S02-62;Ľahké poranenia pohybového systému
S661;Poranenie svalu a šľachy ohýbača iného prsta v úrovni zápästia a ruky;S02-62;Ľahké poranenia pohybového systému
S662;Poranenie svalu a šľachy vystierača palca [m. extensor pollicis] v úrovni zápästia a ruky;S02-62;Ľahké poranenia pohybového systému
S663;Poranenie svalu a šľachy vystierača iného prsta v úrovni zápästia a ruky;S02-62;Ľahké poranenia pohybového systému
S664;Poranenie vnútorného svalu a šľachy palca v úrovni zápästia a ruky;S02-62;Ľahké poranenia pohybového systému
S665;Poranenie vnútorného svalu a šľachy iného prsta v úrovni zápästia a ruky;S02-62;Ľahké poranenia pohybového systému
S666;Poranenie viacerých svalov a šliach ohýbačov v úrovni zápästia a ruky;S02-62;Ľahké poranenia pohybového systému
S667;Poranenie viacerých svalov a šliach vystieračov v úrovni zápästia a ruky;S02-62;Ľahké poranenia pohybového systému
S668;Poranenie iného svalu a šľachy v úrovni zápästia a ruky;S02-62;Ľahké poranenia pohybového systému
S669;Poranenie bližšie neurčeného svalu a šľachy v úrovni zápästia a ruky;S02-62;Ľahké poranenia pohybového systému
S830;Vykĺbenie jabĺčka (patella);S02-62;Ľahké poranenia pohybového systému
S836;Vyvrtnutie a natiahnutie inej a bližšie neurčenej časti kolena;S02-62;Ľahké poranenia pohybového systému
S921;Zlomenina členkovej kosti;S02-62;Ľahké poranenia pohybového systému
S9220;Zlomenina jednej alebo viacerých ostatných priehlavkových kostí, bližšie neurčených;S02-62;Ľahké poranenia pohybového systému
S9221;Zlomenina os naviculare;S02-62;Ľahké poranenia pohybového systému
S9222;Zlomenina os cuboideum;S02-62;Ľahké poranenia pohybového systému
S9223;Zlomenina os cuneiforme (intermediárna) (laterálna) (mediálna);S02-62;Ľahké poranenia pohybového systému
S9228;Zlomenina iných priehlavkových kostí;S02-62;Ľahké poranenia pohybového systému
S923;Zlomenina predpriehlavkovej kosti;S02-62;Ľahké poranenia pohybového systému
S924;Zlomenina prvého prsta nohy;S02-62;Ľahké poranenia pohybového systému
S925;Zlomenina iného prsta nohy;S02-62;Ľahké poranenia pohybového systému
S927;Viaceré zlomeniny nohy;S02-62;Ľahké poranenia pohybového systému
S929;Zlomenina nohy, bližšie neurčená;S02-62;Ľahké poranenia pohybového systému
S9310;Vykĺbenie jedného alebo viacerých prstov nohy, bližšie neurčené;S02-62;Ľahké poranenia pohybového systému
S9311;Vykĺbenie jedného alebo viacerých prstov nohy, metatarzofalangový kĺb;S02-62;Ľahké poranenia pohybového systému
S9312;Vykĺbenie jedného alebo viacerých prstov nohy, interfalangový kĺb;S02-62;Ľahké poranenia pohybového systému
S9330;Vykĺbenie iných a bližšie neurčených častí nohy, časť bližšie neurčená;S02-62;Ľahké poranenia pohybového systému
S9331;Vykĺbenie iných a bližšie neurčených častí nohy, priehlavkové kosti, kĺb bližšie neurčený;S02-62;Ľahké poranenia pohybového systému
S9332;Vykĺbenie iných a bližšie neurčených častí nohy, mediotarzálny kĺb;S02-62;Ľahké poranenia pohybového systému
S9333;Vykĺbenie iných a bližšie neurčených častí nohy, tarzometatarzálny kĺb;S02-62;Ľahké poranenia pohybového systému
S9334;Vykĺbenie iných a bližšie neurčených častí nohy, metatarzálne (kosti), kĺb bližšie neurčený;S02-62;Ľahké poranenia pohybového systému
S9338;Vykĺbenie iných a bližšie neurčených častí nohy, iné;S02-62;Ľahké poranenia pohybového systému
S935;Vyvrtnutie a natiahnutie prsta (prstov) nohy;S02-62;Ľahké poranenia pohybového systému
S936;Vyvrtnutie a natiahnutie inej a bližšie neurčenej časti nohy;S02-62;Ľahké poranenia pohybového systému
S960;Poranenie svalu a šľachy dlhého ohýbača palca (m. flexor hallucis longus) v úrovni členka a nohy;S02-62;Ľahké poranenia pohybového systému
S961;Poranenie svalu a šľachy dlhého vystierača palca (m. extensor hallucis longus) v úrovni členka a nohy;S02-62;Ľahké poranenia pohybového systému
S962;Poranenie krátkych svalov a šliach v úrovni členka a nohy;S02-62;Ľahké poranenia pohybového systému
S967;Poranenie viacerých svalov a šliach v úrovni členka a nohy;S02-62;Ľahké poranenia pohybového systému
S968;Poranenie iných svalov a šliach v úrovni členka a nohy;S02-62;Ľahké poranenia pohybového systému
S033;Vykĺbenie inej a bližšie neurčenej časti hlavy;S02-63;Stredne ťažké poranenia pohybového systému
S035;Vyvrtnutie a natiahnutie kĺbov a väzov iných a bližšie neurčených častí hlavy;S02-63;Stredne ťažké poranenia pohybového systému
S234;Vyvrtnutie a natiahnutie rebier a hrudnej kosti;S02-63;Stredne ťažké poranenia pohybového systému
S235;Vyvrtnutie a natiahnutie iných a bližšie neurčených častí hrudníka;S02-63;Stredne ťažké poranenia pohybového systému
S4201;Zlomenina kľúčnej kosti, mediálna tretina;S02-63;Stredne ťažké poranenia pohybového systému
S4202;Zlomenina kľúčnej kosti, stredná tretina;S02-63;Stredne ťažké poranenia pohybového systému
S4203;Zlomenina kľúčnej kosti, laterálna tretina;S02-63;Stredne ťažké poranenia pohybového systému
S4210;Zlomenina lopatky, časť bližšie neurčená;S02-63;Stredne ťažké poranenia pohybového systému
S4212;Zlomenina lopatky, akromion;S02-63;Stredne ťažké poranenia pohybového systému
S4213;Zlomenina lopatky, processus coracoideus;S02-63;Stredne ťažké poranenia pohybového systému
S4214;Zlomenina lopatky, cavitas glenoidalis a krčok lopatky;S02-63;Stredne ťažké poranenia pohybového systému
S4240;Zlomenina dolného konca ramennej kosti, časť bližšie neurčená;S02-63;Stredne ťažké poranenia pohybového systému
S4241;Zlomenina dolného konca ramennej kosti, suprakondylová;S02-63;Stredne ťažké poranenia pohybového systému
S4242;Zlomenina dolného konca ramennej kosti, epicondylus lateralis;S02-63;Stredne ťažké poranenia pohybového systému
S4243;Zlomenina dolného konca ramennej kosti, epicondylus medialis;S02-63;Stredne ťažké poranenia pohybového systému
S4244;Zlomenina dolného konca ramennej kosti, epicondylus, epicondyly, bližšie neurčené;S02-63;Stredne ťažké poranenia pohybového systému
S4245;Zlomenina dolného konca ramennej kosti, transkondylová (tvaru T alebo Y);S02-63;Stredne ťažké poranenia pohybového systému
S4249;Zlomenina dolného konca ramennej kosti, iné a viaceré časti;S02-63;Stredne ťažké poranenia pohybového systému
S427;Viaceré zlomeniny kľúčnej kosti, lopatky a ramennej kosti;S02-63;Stredne ťažké poranenia pohybového systému
S428;Zlomenina iných častí pleca a ramena;S02-63;Stredne ťažké poranenia pohybového systému
S429;Zlomenina plecového pletenca;S02-63;Stredne ťažké poranenia pohybového systému
S4308;Vykĺbenie iných častí ramena;S02-63;Stredne ťažké poranenia pohybového systému
S431;Vykĺbenie akromioklavikulárneho kĺbu;S02-63;Stredne ťažké poranenia pohybového systému
S433;Vykĺbenie iných a bližšie neurčených častí plecového pletenca;S02-63;Stredne ťažké poranenia pohybového systému
S434;Vyvrtnutie a natiahnutie plecového kĺbu;S02-63;Stredne ťažké poranenia pohybového systému
S435;Vyvrtnutie a natiahnutie akromioklavikulárneho kĺbu;S02-63;Stredne ťažké poranenia pohybového systému
S436;Vyvrtnutie a natiahnutie sternoklavikulárneho kĺbu;S02-63;Stredne ťažké poranenia pohybového systému
S437;Vyvrtnutie a natiahnutie inej a bližšie neurčenej časti plecového pletenca;S02-63;Stredne ťažké poranenia pohybového systému
S460;Poranenie svalu a šľachy rotátorovej manžety ramena;S02-63;Stredne ťažké poranenia pohybového systému
S461;Poranenie svalu a šľachy dlhej hlavy dvojhlavého svalu ramena (m. biceps brachii);S02-63;Stredne ťažké poranenia pohybového systému
S462;Poranenie svalu a šľachy inej časti dvojhlavého svalu ramena (m. biceps brachii);S02-63;Stredne ťažké poranenia pohybového systému
S463;Poranenie svalu a šľachy trojhlavého svalu ramena (m. triceps brachii);S02-63;Stredne ťažké poranenia pohybového systému
S467;Poranenie viacerých svalov a šliach v úrovni pleca a ramena;S02-63;Stredne ťažké poranenia pohybového systému
S468;Poranenie iného svalu a šľachy v úrovni pleca a ramena;S02-63;Stredne ťažké poranenia pohybového systému
S469;Poranenie bližšie neurčeného svalu a šľachy v úrovni pleca a ramena;S02-63;Stredne ťažké poranenia pohybového systému
S761;Poranenie štvorhlavého svalu stehna [m. quadriceps femoris] a jeho šľachy;S02-63;Stredne ťažké poranenia pohybového systému
S762;Poranenie svalu a šľachy priťahovača (adduktora) stehna;S02-63;Stredne ťažké poranenia pohybového systému
S763;Poranenie svalu a šľachy zadnej svalovej skupiny v úrovni stehna;S02-63;Stredne ťažké poranenia pohybového systému
S764;Poranenie iných a bližšie neurčených svalov a šliach v úrovni stehna;S02-63;Stredne ťažké poranenia pohybového systému
S767;Poranenie viacerých svalov a šliach v úrovni bedra a stehna;S02-63;Stredne ťažké poranenia pohybového systému
S820;Zlomenina jabĺčka [patella];S02-63;Stredne ťažké poranenia pohybového systému
S8238;Zlomenina dolného konca píšťaly, iná;S02-63;Stredne ťažké poranenia pohybového systému
S8240;Zlomenina ihlice, izolovaná, časť bližšie neurčená;S02-63;Stredne ťažké poranenia pohybového systému
S8241;Zlomenina ihlice, izolovaná, horný koniec;S02-63;Stredne ťažké poranenia pohybového systému
S8242;Zlomenina ihlice, izolovaná, diafýza;S02-63;Stredne ťažké poranenia pohybového systému
S8249;Zlomenina ihlice, izolovaná, viaceré miesta;S02-63;Stredne ťažké poranenia pohybového systému
S825;Zlomenina vnútorného členka;S02-63;Stredne ťažké poranenia pohybového systému
S826;Zlomenina vonkajšieho členka;S02-63;Stredne ťažké poranenia pohybového systému
S827;Viaceré zlomeniny predkolenia;S02-63;Stredne ťažké poranenia pohybového systému
S8281;Bimaleolárna zlomenina;S02-63;Stredne ťažké poranenia pohybového systému
S8288;Zlomenina iných častí predkolenia;S02-63;Stredne ťažké poranenia pohybového systému
S829;Zlomenina bližšie neurčenej časti predkolenia;S02-63;Stredne ťažké poranenia pohybového systému
S8311;Vykĺbenie kolenného kĺbu, vykĺbenie horného konca píšťaly (tibia) dopredu;S02-63;Stredne ťažké poranenia pohybového systému
S8312;Vykĺbenie kolenného kĺbu, vykĺbenie horného konca píšťaly (tibia) dozadu;S02-63;Stredne ťažké poranenia pohybového systému
S8313;Vykĺbenie kolenného kĺbu, vykĺbenie horného konca píšťaly (tibia) mediálne;S02-63;Stredne ťažké poranenia pohybového systému
S8314;Vykĺbenie kolenného kĺbu, vykĺbenie horného konca píšťaly (tibia) laterálne;S02-63;Stredne ťažké poranenia pohybového systému
S832;Trhlina menisku, akútna;S02-63;Stredne ťažké poranenia pohybového systému
S833;Čerstvá trhlina kĺbovej chrupky kolena;S02-63;Stredne ťažké poranenia pohybového systému
S8340;Vyvrtnutie a natiahnutie kolenného kĺbu, bližšie neurčený bočný väz;S02-63;Stredne ťažké poranenia pohybového systému
S8341;Vyvrtnutie a natiahnutie kolenného kĺbu, distorzia fibulárneho vonkajšieho bočného väzu;S02-63;Stredne ťažké poranenia pohybového systému
S8342;Vyvrtnutie a natiahnutie kolenného kĺbu, distorzia tibiálneho vnútorného bočného väzu;S02-63;Stredne ťažké poranenia pohybového systému
S8343;Vyvrtnutie a natiahnutie kolenného kĺbu, natrhnutie fibulárneho vonkajšieho bočného väzu;S02-63;Stredne ťažké poranenia pohybového systému
S8344;Vyvrtnutie a natiahnutie kolenného kĺbu, natrhnutie tibiálneho vnútorného bočného väzu;S02-63;Stredne ťažké poranenia pohybového systému
S8350;Vyvrtnutie a natiahnutie kolenného kĺbu, bližšie neurčený skrížený väz;S02-63;Stredne ťažké poranenia pohybového systému
S8351;Vyvrtnutie a natiahnutie kolenného kĺbu, distorzia predného skríženého väzu;S02-63;Stredne ťažké poranenia pohybového systému
S8352;Vyvrtnutie a natiahnutie kolenného kĺbu, distorzia zadného skríženého väzu;S02-63;Stredne ťažké poranenia pohybového systému
S8353;Vyvrtnutie a natiahnutie kolenného kĺbu, natrhnutie predného skríženého väzu;S02-63;Stredne ťažké poranenia pohybového systému
S8354;Vyvrtnutie a natiahnutie kolenného kĺbu, natrhnutie zadného skríženého väzu;S02-63;Stredne ťažké poranenia pohybového systému
S837;Poranenie viacerých útvarov kolena;S02-63;Stredne ťažké poranenia pohybového systému
S860;Poranenie Achillovej šľachy;S02-63;Stredne ťažké poranenia pohybového systému
S861;Poranenie iného svalu (svalov) a šľachy (šliach) zadnej svalovej skupiny v úrovni predkolenia;S02-63;Stredne ťažké poranenia pohybového systému
S862;Poranenie svalu (svalov) a šľachy (šliach) prednej svalovej skupiny v úrovni predkolenia;S02-63;Stredne ťažké poranenia pohybového systému
S863;Poranenie svalu (svalov) a šľachy (šliach) ihlicovej (peroneálnej) svalovej skupiny v úrovni predkolenia;S02-63;Stredne ťažké poranenia pohybového systému
S867;Poranenie viacerých svalov a šliach v úrovni predkolenia;S02-63;Stredne ťažké poranenia pohybového systému
S868;Poranenie iného svalu a šľachy v úrovni predkolenia;S02-63;Stredne ťažké poranenia pohybového systému
S869;Poranenie bližšie neurčeného svalu a šľachy v úrovni predkolenia;S02-63;Stredne ťažké poranenia pohybového systému
S920;Zlomenina pätovej kosti;S02-63;Stredne ťažké poranenia pohybového systému
S930;Vykĺbenie členkového kĺbu;S02-63;Stredne ťažké poranenia pohybového systému
S932;Roztrhnutie väzov v úrovni členka a nohy;S02-63;Stredne ťažké poranenia pohybového systému
S9340;Vyvrtnutie a natiahnutie členka, časť bližšie neurčená;S02-63;Stredne ťažké poranenia pohybového systému
S9341;Vyvrtnutie a natiahnutie členka, lig.deltoideum;S02-63;Stredne ťažké poranenia pohybového systému
S9342;Vyvrtnutie a natiahnutie členka, lig.calcaneofibulare;S02-63;Stredne ťažké poranenia pohybového systému
S9343;Vyvrtnutie a natiahnutie členka, lig.tibiofibulare (anterior) (posterior), distálne;S02-63;Stredne ťažké poranenia pohybového systému
S9348;Vyvrtnutie a natiahnutie členka, iná časť;S02-63;Stredne ťažké poranenia pohybového systému
S969;Poranenie bližšie neurčeného svalu a šľachy v úrovni členka a nohy;S02-63;Stredne ťažké poranenia pohybového systému
T0220;Zlomeniny postihujúce viaceré oblasti jednej hornej končatiny, zatvorené alebo bez bližšieho určenia;S02-63;Stredne ťažké poranenia pohybového systému
T0221;Zlomeniny postihujúce viaceré oblasti jednej hornej končatiny, otvorené;S02-63;Stredne ťažké poranenia pohybového systému
T0230;Zlomeniny postihujúce viaceré oblasti jednej dolnej končatiny, zatvorené alebo bez bližšieho určenia;S02-63;Stredne ťažké poranenia pohybového systému
T0231;Zlomeniny postihujúce viaceré oblasti jednej dolnej končatiny, otvorené;S02-63;Stredne ťažké poranenia pohybového systému
T0290;Bližšie neurčené viaceré zlomeniny, zatvorené alebo bez bližšieho určenia;S02-63;Stredne ťažké poranenia pohybového systému
T0291;Bližšie neurčené viaceré zlomeniny, otvorené;S02-63;Stredne ťažké poranenia pohybového systému
T030;Vykĺbenia, vyvrtnutia a natiahnutia postihujúce hlavu aj krk;S02-63;Stredne ťažké poranenia pohybového systému
T031;Vykĺbenia, vyvrtnutia a natiahnutia postihujúce hrudník aj driek, alebo hrudník aj panvu;S02-63;Stredne ťažké poranenia pohybového systému
T032;Vykĺbenia, vyvrtnutia a natiahnutia postihujúce viaceré oblasti hornej končatiny (horných končatín);S02-63;Stredne ťažké poranenia pohybového systému
T033;Vykĺbenia, vyvrtnutia a natiahnutia postihujúce viaceré oblasti dolnej končatiny (dolných končatín);S02-63;Stredne ťažké poranenia pohybového systému
T034;Vykĺbenia, vyvrtnutia a natiahnutia postihujúce viaceré oblasti hornej aj dolnej končatiny (horných aj dolných končatín);S02-63;Stredne ťažké poranenia pohybového systému
T038;Vykĺbenia, vyvrtnutia a natiahnutia postihujúce iné kombinácie telesných oblastí;S02-63;Stredne ťažké poranenia pohybového systému
T039;Viaceré vykĺbenia, vyvrtnutia a natiahnutia, bližšie neurčené;S02-63;Stredne ťažké poranenia pohybového systému
T064;Poranenie svalov a šliach postihujúce viaceré oblasti tela;S02-63;Stredne ťažké poranenia pohybového systému
T095;Poranenie bližšie neurčeného svalu a šľachy trupu;S02-63;Stredne ťažké poranenia pohybového systému
T100;Zlomenina hornej končatiny v bližšie neurčenej úrovni, zatvorená alebo bez bližšieho určenia;S02-63;Stredne ťažké poranenia pohybového systému
T101;Zlomenina hornej končatiny v bližšie neurčenej úrovni, otvorená;S02-63;Stredne ťažké poranenia pohybového systému
T112;Vykĺbenie, vyvrtnutie a natiahnutie bližšie neurčeného kĺbu a väzu hornej končatiny, v bližšie neurčenej úrovni;S02-63;Stredne ťažké poranenia pohybového systému
T115;Poranenie bližšie neurčeného svalu a šľachy hornej končatiny, v bližšie neurčenej úrovni;S02-63;Stredne ťažké poranenia pohybového systému
T120;Zlomenina dolnej končatiny, v bližšie neurčenej úrovni, zatvorená alebo bez bližšieho určenia;S02-63;Stredne ťažké poranenia pohybového systému
T121;Zlomenina dolnej končatiny, v bližšie neurčenej úrovni, otvorená;S02-63;Stredne ťažké poranenia pohybového systému
