kod_vykonu;nazov_vykonu;skupina_diagnoz;kod_ms;nazov_ms
8m30325;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 2 dni, 5 liekov;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30326;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 2 dni, 6 liekov;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30327;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 2 dni, 7 a viac liekov;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30332;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 3 dni, 2 lieky;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30333;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 3 dni, 3 lieky;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30334;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 3 dni, 4 lieky;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30335;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 3 dni, 5 liekov;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30336;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 3 dni, 6 liekov;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30337;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 3 dni, 7 a viac liekov;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30342;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 4 dni, 2 lieky;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30343;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 4 dni, 3 lieky;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30344;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 4 dni, 4 lieky;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30345;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 4 dni, 5 liekov;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30346;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 4 dni, 6 liekov;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30347;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 4 dni, 7 a viac liekov;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30352;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 5 dní, 2 lieky;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30353;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 5 dní, 3 lieky;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30354;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 5 dní, 4 lieky;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30355;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 5 dní, 5 liekov;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30356;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 5 dní, 6 liekov;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30357;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 5 dní, 7 a viac liekov;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30362;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 6 dní, 2 lieky;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30363;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 6 dní, 3 lieky;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30364;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 6 dní, 4 lieky;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30365;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 6 dní, 5 liekov;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30366;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 6 dní, 6 liekov;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30367;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 6 dní, 7 a viac liekov;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30372;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 7 dní, 2 lieky;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30373;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 7 dní, 3 lieky;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30374;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 7 dní, 4 lieky;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30375;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 7 dní, 5 liekov;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30376;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 7 dní, 6 liekov;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30377;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 7 dní, 7 a viac liekov;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30382;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 8 dní, 2 lieky;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30383;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 8 dní, 3 lieky;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30384;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 8 dní, 4 lieky;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30385;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 8 dní, 5 liekov;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30386;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 8 dní, 6 liekov;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30387;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 8 dní, 7 a viac liekov;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30392;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 9 dní, 2 lieky;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30393;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 9 dní, 3 lieky;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30394;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 9 dní, 4 lieky;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30395;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 9 dní, 5 liekov;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30396;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 9 dní, 6 liekov;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m30397;Komplexná a intenzívna bloková chemoterapia stredného stupňa: 9 dní, 7 a viac liekov;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m3041;Komplexná a intenzívna bloková chemoterapia vysokého stupňa, jeden blok chemoterapie počas jednej hospitalizácie;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m3042;Komplexná a intenzívna bloková chemoterapia vysokého stupňa, dva bloky chemoterapie počas jednej hospitalizácie;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m3050;Intraperitoneálna hypertermická chemoterapia [HIPEC];Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m3051;Intratorakálna hypertermická chemoterapia [HITOC];Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m305x;Iná hypertermická chemoterapia;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m3110;Aplikácia cytostatík selektívnou katetrizačnou metódou za liečebným účelom;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
8m3111;Aplikácia chemoterapie, chemoimunoterapie subkutánne;Hematologické a hematoonkologické ochorenia;S32-26;Terapia onkohematologického ochorenia po konzultácii vyššieho centra
93017;Transfúzna liečba pri hematologických a hematoonkologických ochoreniach;Hematologické a hematoonkologické ochorenia;S32-38;Transfúzna liečba pri hematologických a hematoonkologických ochoreniach
8m3070;Iná imunoterapia s nemodifikovanými protilátkami;Hematologické a hematoonkologické ochorenia;S32-39;Symptomatická liečba pri hematologickom a hematoonkologickom ochorení
8m3071;Iná imunoterapia s modifikovanými protilátkami;Hematologické a hematoonkologické ochorenia;S32-39;Symptomatická liečba pri hematologickom a hematoonkologickom ochorení
8m3072;Iná imunoterapia s imunomodulátormi;Hematologické a hematoonkologické ochorenia;S32-39;Symptomatická liečba pri hematologickom a hematoonkologickom ochorení
8m30730;Intravenózna imunosupresia;Hematologické a hematoonkologické ochorenia;S32-39;Symptomatická liečba pri hematologickom a hematoonkologickom ochorení
8m3073x;Iná imunosupresia;Hematologické a hematoonkologické ochorenia;S32-39;Symptomatická liečba pri hematologickom a hematoonkologickom ochorení
8m307x;Iná imunoterapia, ostatné;Hematologické a hematoonkologické ochorenia;S32-39;Symptomatická liečba pri hematologickom a hematoonkologickom ochorení
93016;Symptomatická liečba pri hematologickom a hematoonkologickom ochorení;Hematologické a hematoonkologické ochorenia;S32-39;Symptomatická liečba pri hematologickom a hematoonkologickom ochorení
93019;Hospitalizácia pred transplantáciou kmeňových buniek;Vysoko komplexné ochorenia imunitného systému;S35-01;Vysoko komplexné ochorenia imunitného systému – transplantácia kmeňových buniek
93028;Diferenciálna diagnostika pri podozrení na chorobu z povolania;Nádorové ochorenia pracovné lekárstvo;S36-01;Diferenciálna diagnostika a komplexný manažment nádorových ochorení v pracovnom lekárstve
93028;Diferenciálna diagnostika pri podozrení na chorobu z povolania;Infekčné a paracitárne ochorenie -pracovné lekárstvo;S36-02;Diferenciálna diagnostika a komplexný manažment infekčných a parazitárnych ochorení v pracovnom lekárstve
93028;Diferenciálna diagnostika pri podozrení na chorobu z povolania;Pneumologické ochorenia - pracovné lekárstvo;S36-03;Diferenciálna diagnostika, liečba a komplexný manažment pneumologických ochorení v pracovnom lekárstve
93028;Diferenciálna diagnostika pri podozrení na chorobu z povolania;Ochorenia kože a podkožia - pracovné lekárstvo;S36-04;Diferenciálna diagnostika a liečba ochorení kože a podkožného tkaniva v pracovnom lekárstve
93028;Diferenciálna diagnostika pri podozrení na chorobu z povolania;Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;S36-05;Diferenciálna diagnostika, liečba a komplexný manažment ochorení svalovej a kostrovej sústavy a spojivového tkaniva v pracovnom lekárstve
93028;Diferenciálna diagnostika pri podozrení na chorobu z povolania;Intoxikácie - pracovné lekárstvo;S36-06;Diferenciálna diagnostika, liečba a komplexný manažment intoxikácií v pracovnom lekárstve
93028;Diferenciálna diagnostika pri podozrení na chorobu z povolania;Chemické, biologické faktory ochorenia - pracovné lekárstvo;S36-07;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov pracovného prostredia v pracovnom lekárstve
5l5700;Revízie v cievnej chirurgii pre krvácanie, chirurgická liečba krvácania po cievnej rekonštrukcii;Skupina onkologických diagnóz 86;S44-01;Iné výkony na cievach - onko
5l5701;Revízie v cievnej chirurgii pre krvácanie, revízia anastomóz;Skupina onkologických diagnóz 86;S44-01;Iné výkony na cievach - onko
5l5702;Revízie v cievnej chirurgii pre krvácanie, revízia cievneho graftu;Skupina onkologických diagnóz 86;S44-01;Iné výkony na cievach - onko
5l5703;Revízie v cievnej chirurgii pre krvácanie, výmena cievneho graftu;Skupina onkologických diagnóz 86;S44-01;Iné výkony na cievach - onko
5l5704;Revízie v cievnej chirurgii pre krvácanie, odstránenie cievneho graftu;Skupina onkologických diagnóz 86;S44-01;Iné výkony na cievach - onko
5l5705;Revízie v cievnej chirurgii pre krvácanie, revízia arterio-venózneho shuntu;Skupina onkologických diagnóz 86;S44-01;Iné výkony na cievach - onko
5l5706;Revízie v cievnej chirurgii pre krvácanie, uzáver arterio-venózneho shuntu;Skupina onkologických diagnóz 86;S44-01;Iné výkony na cievach - onko
5l5707;Revízie v cievnej chirurgii pre krvácanie, výmena kardiálneho konduitu;Skupina onkologických diagnóz 86;S44-01;Iné výkony na cievach - onko
5l570x;Revízie v cievnej chirurgii pre krvácanie, ostatné;Skupina onkologických diagnóz 86;S44-01;Iné výkony na cievach - onko
5l5710;Revízie v cievnej chirurgii pre infekciu, chirurgická liečba krvácania pri infekcii cievnej protézy;Skupina onkologických diagnóz 86;S44-01;Iné výkony na cievach - onko
5l5711;Revízie v cievnej chirurgii pre infekciu, revízia anastomóz;Skupina onkologických diagnóz 86;S44-01;Iné výkony na cievach - onko
5l5712;Revízie v cievnej chirurgii pre infekciu, revízia cievneho graftu;Skupina onkologických diagnóz 86;S44-01;Iné výkony na cievach - onko
5l5713;Revízie v cievnej chirurgii pre infekciu, výmena cievneho graftu;Skupina onkologických diagnóz 86;S44-01;Iné výkony na cievach - onko
5l5714;Revízie v cievnej chirurgii pre infekciu, odstránenie cievneho graftu;Skupina onkologických diagnóz 86;S44-01;Iné výkony na cievach - onko
5l591x;Iné operácie na cievach, ostatné;Skupina onkologických diagnóz 86;S44-01;Iné výkony na cievach - onko
5n7910;Incízia papily pankreasu [papilotómia], laparotomicky;Skupina onkologických diagnóz 48;S44-02;Iné vysoko komplexné výkony na pankrease - onko
5n7912;Incízia papily pankreasu [papilotómia], laparoskopicky;Skupina onkologických diagnóz 48;S44-02;Iné vysoko komplexné výkony na pankrease - onko
5n7914;Incízia papily pankreasu [papilotómia], konverzia z laparoskopie na laparotómiu;Skupina onkologických diagnóz 48;S44-02;Iné vysoko komplexné výkony na pankrease - onko
5n791x;Incízia papily pankreasu [papilotómia], ostatné;Skupina onkologických diagnóz 48;S44-02;Iné vysoko komplexné výkony na pankrease - onko
5n74x;Anastomóza ductus pankreaticus, ostatné;Skupina onkologických diagnóz 56;S44-02;Iné vysoko komplexné výkony na pankrease - onko
5n7900;Incízia ductus pancreaticus, laparotomicky;Skupina onkologických diagnóz 56;S44-02;Iné vysoko komplexné výkony na pankrease - onko
5n7902;Incízia ductus pancreaticus, laparoskopicky;Skupina onkologických diagnóz 56;S44-02;Iné vysoko komplexné výkony na pankrease - onko
5n7904;Incízia ductus pancreaticus, konverzia z laparoskopie na laparotómiu;Skupina onkologických diagnóz 56;S44-02;Iné vysoko komplexné výkony na pankrease - onko
5n790x;Incízia ductus pancreaticus, ostatné;Skupina onkologických diagnóz 56;S44-02;Iné vysoko komplexné výkony na pankrease - onko
5n7930;Excízia ductus pancreaticus, laparotomicky;Skupina onkologických diagnóz 56;S44-02;Iné vysoko komplexné výkony na pankrease - onko
5n7932;Excízia ductus pancreaticus, laparoskopicky;Skupina onkologických diagnóz 56;S44-02;Iné vysoko komplexné výkony na pankrease - onko
5n7934;Excízia ductus pancreaticus, konverzia z laparoskopie na laparotómiu;Skupina onkologických diagnóz 56;S44-02;Iné vysoko komplexné výkony na pankrease - onko
5n793x;Excízia ductus pancreaticus, ostatné;Skupina onkologických diagnóz 56;S44-02;Iné vysoko komplexné výkony na pankrease - onko
5n7940;Deštrukcia ductus pancreaticus, laparotomicky;Skupina onkologických diagnóz 56;S44-02;Iné vysoko komplexné výkony na pankrease - onko
5n7942;Deštrukcia ductus pancreaticus, laparoskopicky;Skupina onkologických diagnóz 56;S44-02;Iné vysoko komplexné výkony na pankrease - onko
5n7944;Deštrukcia ductus pancreaticus, konverzia z laparoskopie na laparotómiu;Skupina onkologických diagnóz 56;S44-02;Iné vysoko komplexné výkony na pankrease - onko
5n794x;Deštrukcia ductus pancreaticus, ostatné;Skupina onkologických diagnóz 56;S44-02;Iné vysoko komplexné výkony na pankrease - onko
5n740;Anastomóza ductus pankreaticus k žalúdku;Skupina onkologických diagnóz 89;S44-02;Iné vysoko komplexné výkony na pankrease - onko
5n741;Anastomóza ductus pankreaticus k jejunu;Skupina onkologických diagnóz 89;S44-02;Iné vysoko komplexné výkony na pankrease - onko
5n742;Anastomóza ductus pankreaticus k duodenu;Skupina onkologických diagnóz 89;S44-02;Iné vysoko komplexné výkony na pankrease - onko
5n743;Anastomóza ductus pankreaticus k jejunu s Roux-Y-anastomózou;Skupina onkologických diagnóz 89;S44-02;Iné vysoko komplexné výkony na pankrease - onko
5o20a0;Ureterovezikoneoimplantácia vrátane antirefluxnej plastiky močovodu, otvorene chirurgicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o20a4;Ureterovezikoneoimplantácia vrátane antirefluxnej plastiky močovodu, laparoskopicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o20ax;Ureterovezikoneoimplantácia vrátane antirefluxnej plastiky močovodu, ostatné;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o20b0;Ureterovezikoneoimplantácia pri zdvojenom močovode vrátane antirefluxnej plastiky močovodu, otvorene chirurgicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o20b4;Ureterovezikoneoimplantácia pri zdvojenom močovode vrátane antirefluxnej plastiky močovodu, laparoskopicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o20bx;Ureterovezikoneoimplantácia pri zdvojenom močovode vrátane antirefluxnej plastiky močovodu, ostatné;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o20c0;Transpozícia vlastného močovodu na transplantovanú obličku, otvorene chirurgicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o20d0;Totálna alebo čiastočná náhrada močovodu s použitím črevného segmentu, otvorene chirurgicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o20d4;Totálna alebo čiastočná náhrada močovodu s použitím črevného segmentu, laparoskopicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o20dx;Totálna alebo čiastočná náhrada močovodu s použitím črevného segmentu, ostatné;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o20x0;Iná rekonštrukcia močovodu, otvorene chirurgicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o20x4;Iná rekonštrukcia močovodu, laparoskopicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o20xx;Iná rekonštrukcia močovodu, ostatné;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o2100;Vytvorenie ileálneho rezervoáru, otvorene chirurgicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o2104;Vytvorenie ileálneho rezervoáru, laparoskopicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o210x;Vytvorenie ileálneho rezervoáru, ostatné;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o2110;Vytvorenie ileocekálneho rezervoáru, otvorene chirurgicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o2114;Vytvorenie ileocekálneho rezervoáru, laparoskopicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o211x;Vytvorenie ileocekálneho rezervoáru, ostatné;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o2120;Vytvorenie rezervoáru z hrubého čreva, otvorene chirurgicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o2124;Vytvorenie rezervoáru z hrubého čreva, laparoskopicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o212x;Vytvorenie rezervoáru z hrubého čreva, ostatné;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o2170;Konverzia inej supravezikálnej derivácie moču na deriváciu s vytvorením črevného rezervoáru, otvorene chirurgicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o2174;Konverzia inej supravezikálnej derivácie moču na deriváciu s vytvorením črevného rezervoáru, laparoskopicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o217x;Konverzia inej supravezikálnej derivácie moču na deriváciu s vytvorením črevného rezervoáru, ostatné;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o21a0;Revízia ureteroenterálnej anastomózy kontinentného črevného rezervoáru s vyústením na kožu, otvorene chirurgicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o21a4;Revízia ureteroenterálnej anastomózy kontinentného črevného rezervoáru s vyústením na kožu, laparoskopicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o21ax;Revízia ureteroenterálnej anastomózy kontinentného črevného rezervoáru s vyústením na kožu, ostatné;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o21c0;Kontinentná derivácia moču prostredníctvom detubulizovaného segmentu tenkého čreva, otvorene chirurgicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o21c4;Kontinentná derivácia moču prostredníctvom detubulizovaného segmentu tenkého čreva, laparoskopicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o21cx;Kontinentná derivácia moču prostredníctvom detubulizovaného segmentu tenkého čreva, ostatné;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o21x0;Kontinentný črevný rezervoár s vyústením na kožu [kontinentná stómia], iné otvorene chirurgicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o21x4;Kontinentný črevný rezervoár s vyústením na kožu [kontinentná stómia], iné laparoskopicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o21xx;Kontinentný črevný rezervoár s vyústením na kožu [kontinentná stómia], iné ostatné;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o2200;Inkontinentná ureteroileokutaneostómia [ileálny konduit], otvorene chirurgicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o2204;Inkontinentná ureteroileokutaneostómia [ileálny konduit], laparoskopicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o220x;Inkontinentná ureteroileokutaneostómia [ileálny konduit], ostatné;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o2210;Inkontinentná ureterokolokutaneostómia [kolon/sigma konduit], otvorene chirurgicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o2214;Inkontinentná ureterokolokutaneostómia [kolon/sigma konduit], laparoskopicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o221x;Inkontinentná ureterokolokutaneostómia [kolon/sigma konduit], ostatné;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o2220;Revízia inkontinentnej stómie, otvorene chirurgicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o2224;Revízia inkontinentnej stómie, laparoskopicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o222x;Revízia inkontinentnej stómie, ostatné;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o2230;Revízia ureteroenterálnej anastomózy inkontinentnej stómie, otvorene chirurgicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o2234;Revízia ureteroenterálnej anastomózy inkontinentnej stómie, laparoskopicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o223x;Revízia ureteroenterálnej anastomózy inkontinentnej stómie, ostatné;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o2240;Revízia črevného interponátu inkontinentnej stómie, otvorene chirurgicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o2244;Revízia črevného interponátu inkontinentnej stómie, laparoskopicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o224x;Revízia črevného interponátu inkontinentnej stómie, ostatné;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o2250;Konverzia inej supravezikálnej derivácie moču na deriváciu s črevným interponátom, otvorene chirurgicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o2254;Konverzia inej supravezikálnej derivácie moču na deriváciu s črevným interponátom, laparoskopicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o225x;Konverzia inej supravezikálnej derivácie moču na deriváciu s črevným interponátom, ostatné;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o22x0;Kutánna derivácia moču s použitím črevného interponátu, inkontinentná stómia iná: otvorene chirurgicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o22x4;Kutánna derivácia moču s použitím črevného interponátu, inkontinentná stómia iná: laparoskopicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o22xx;Kutánna derivácia moču s použitím črevného interponátu, inkontinentná stómia iná: ostatné;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o2301;Kruhová ureterokutaneostómia, laparotomicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o2302;Kruhová ureterokutaneostómia, lumbotomicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
5o2304;Kruhová ureterokutaneostómia, laparoskopicky;Skupina onkologických diagnóz 11;S44-04;Komplexné výkony na močovode - onko
