kodHVyk;nazovHVyk;SkDg;kodMS;nazovMS
5t090r;Sutúra periostu distálnej fibuly;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t090s;Sutúra periostu talu;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t090t;Sutúra periostu kalkanea;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t090u;Sutúra periostu tarzálnych kostí;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t090v;Sutúra periostu metatarzálnych kostí;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t090w;Sutúra periostu falangov prstov nohy;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t090x;Sutúra periostu ostatných kostí;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t090z;Sutúra periostu skapuly;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t09x0;Ostatné operácie klavikuly;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t09x1;Ostatné operácie proximálneho humeru;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t09x2;Ostatné operácie diafyzárneho humeru;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t09x3;Ostatné operácie distálneho humeru;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t09x4;Ostatné operácie proximálneho radia;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t09x5;Ostatné operácie diafyzárneho radia;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t09x6;Ostatné operácie distálneho radia;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t09x7;Ostatné operácie  proximálnej ulny;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t09x8;Ostatné operácie diafyzárnej ulny;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t09x9;Ostatné operácie distálnej ulny;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t09xa;Ostatné operácie karpálnych kostí;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t09xb;Ostatné operácie metakarpálnych kostí;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t09xc;Ostatné operácie falangov prstov ruky;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t09xd;Ostatné operácie panvy;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t09xe;Ostatné operácie krčka stehennej kosti;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t09xf;Ostatné operácie proximálneho femuru;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t09xg;Ostatné operácie diafyzárneho femuru;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t09xh;Ostatné operácie distálneho femuru;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t09xj;Ostatné operácie patela;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t09xk;Ostatné operácie proximálnej tibie;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t09xm;Ostatné operácie diafyzárnej tibie;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t09xn;Ostatné operácie distálnej tibie;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t09xp;Ostatné operácie  proximálnej fibuly;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t09xq;Ostatné operácie diafyzárnej fibuly;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t09xr;Ostatné operácie distálnej fibuly;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t09xs;Ostatné operácie talu;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t09xt;Ostatné operácie kalkanea;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t09xu;Ostatné operácie tarzálnych kostí;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t09xv;Ostatné operácie metatarzálnych kostí;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t09xw;Ostatné operácie falangov prstov nohy;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t09xx;Ostatné operácie ostatných kostí;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t09xz;Ostatné operácie skapuly;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t3001;Artrotómia, kapsulotómia akromioklavikulárneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3002;Artrotómia, kapsulotómia torakoskapulárneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3003;Artrotómia, kapsulotómia sternoklavikulárneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3004;Artrotómia, kapsulotómia lakťového kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3005;Artrotómia, kapsulotómia proximálneho radioulnárneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3006;Artrotómia, kapsulotómia distálneho radioulnárneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3008;Artrotómia, kapsulotómia radiokarpálneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3009;Artrotómia, kapsulotómia ulnokarpálneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t300e;Artrotómia, kapsulotómia iliosakrálneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t300f;Artrotómia, kapsulotómia symfýzy;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t300g;Artrotómia, kapsulotómia bedrového kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t300h;Artrotómia, kapsulotómia kolenného kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t300j;Artrotómia, kapsulotómia proximálneho tibiofibulárneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t300k;Artrotómia, kapsulotómia horného členkového kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t300m;Artrotómia, kapsulotómia dolného členkového kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t300n;Artrotómia, kapsulotómia tarzálnych kĺbov;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t300p;Artrotómia, kapsulotómia tarzometatarzálnych kĺbov;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t300q;Artrotómia, kapsulotómia metatarzofalangeálnych kĺbov;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t300r;Artrotómia, kapsulotómia interfalangeálnych kĺbov nohy;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t300x;Artrotómia, kapsulotómia ostatných kĺbov;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3010;Aseptická preplachová drenáž humeroglenoidálneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3011;Aseptická preplachová drenáž akromioklavikulárneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3014;Aseptická preplachová drenáž lakťového kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3016;Aseptická preplachová drenáž distálneho radioulnárneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3018;Aseptická preplachová drenáž radiokarpálneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3019;Aseptická preplachová drenáž ulnokarpálneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t301g;Aseptická preplachová drenáž bedrového kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t301h;Aseptická preplachová drenáž kolenného kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t301k;Aseptická preplachová drenáž horného členkového kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t301m;Aseptická preplachová drenáž dolného členkového kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t301x;Aseptická preplachová drenáž ostatných kĺbov;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3020;Septická preplachová drenáž humeroglenoidálneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3021;Septická preplachová drenáž akromioklavikulárneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3023;Septická preplachová drenáž sternoklavikulárneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3024;Septická preplachová drenáž lakťového kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3026;Septická preplachová drenáž distálneho radioulnárneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3028;Septická preplachová drenáž radiokarpálneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3029;Septická preplachová drenáž ulnokarpálneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t302e;Septická preplachová drenáž iliosakrálneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t302g;Septická preplachová drenáž bedrového kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t302j;Septická preplachová drenáž proximálneho tibiofibulárneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t302k;Septická preplachová drenáž horného členkového kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t302m;Septická preplachová drenáž dolného členkového kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t302n;Septická preplachová drenáž tarzálnych kĺbov;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t302p;Septická preplachová drenáž tarzometatarzálnych kĺbov;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t302q;Septická preplachová drenáž metatarzofalangeálnych kĺbov;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t302r;Septická preplachová drenáž interfalangeálnych kĺbov nohy;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t302x;Septická preplachová drenáž ostatných kĺbov;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3030;debridement humeroglenoidálneho kĺbu;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t3031;debridement akromioklavikulárneho kĺbu;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t3032;debridement torakoskapulárneho kĺbu;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t3033;debridement sternoklavikulárneho kĺbu;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t3034;debridement lakťového kĺbu;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t3035;debridement proximálneho radioulnárneho kĺbu;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t3036;debridement distálneho radioulnárneho kĺbu;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t3038;debridement radiokarpálneho kĺbu;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t3039;debridement ulnokarpálneho kĺbu;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t303e;debridement iliosakrálneho kĺbu;Trauma a poúrazové stavy ;S02-15;Iné výkony na panve pre traumu a poúrazové stavy
5t303f;debridement symfýzy;Trauma a poúrazové stavy ;S02-15;Iné výkony na panve pre traumu a poúrazové stavy
5t303g;debridement bedrového kĺbu;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t303h;debridement kolenného kĺbu;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t303j;debridement proximálneho tibiofibulárneho kĺbu;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t303k;debridement horného členkového kĺbu;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t303m;debridement dolného členkového kĺbu;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t303n;debridement tarzálnych kĺbov;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t303p;debridement tarzometatarzálnych kĺbov;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t303q;debridement metatarzofalangeálnych kĺbov;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t303r;debridement interfalangeálnych kĺbov nohy;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t303x;debridement ostatných kĺbov;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t3040;Parciálna synovektómia humeroglenoidálneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3041;Parciálna synovektómia akromioklavikulárneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3042;Parciálna synovektómia torakoskapulárneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3043;Parciálna synovektómia sternoklavikulárneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3044;Parciálna synovektómia lakťového kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3045;Parciálna synovektómia proximálneho radioulnárneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3046;Parciálna synovektómia distálneho radioulnárneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3048;Parciálna synovektómia radiokarpálneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3049;Parciálna synovektómia ulnokarpálneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t304e;Parciálna synovektómia iliosakrálneho kĺbu;Trauma a poúrazové stavy ;S02-15;Iné výkony na panve pre traumu a poúrazové stavy
5t304f;Parciálna synovektómia symfýzy;Trauma a poúrazové stavy ;S02-15;Iné výkony na panve pre traumu a poúrazové stavy
5t304g;Parciálna synovektómia bedrového kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t304h;Parciálna synovektómia kolenného kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t304j;Parciálna synovektómia proximálneho tibiofibulárneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t304k;Parciálna synovektómia horného členkového kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t304m;Parciálna synovektómia dolného členkového kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t304n;Parciálna synovektómia tarzálnych kĺbov;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t304p;Parciálna synovektómia tarzometatarzálnych kĺbov;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t304q;Parciálna synovektómia metatarzofalangeálnych kĺbov;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t304r;Parciálna synovektómia interfalangeálnych kĺbov nohy;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t304x;Parciálna synovektómia ostatných kĺbov;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3050;Totálna synovektómia humeroglenoidálneho kĺbu;Trauma a poúrazové stavy ;S02-18;Otvorené operácie kĺbov pre traumu a poúrazové stavy zložité
5t3051;Totálna synovektómia akromioklavikulárneho kĺbu;Trauma a poúrazové stavy ;S02-18;Otvorené operácie kĺbov pre traumu a poúrazové stavy zložité
5t3052;Totálna synovektómia torakoskapulárneho kĺbu;Trauma a poúrazové stavy ;S02-18;Otvorené operácie kĺbov pre traumu a poúrazové stavy zložité
5t3053;Totálna synovektómia sternoklavikulárneho kĺbu;Trauma a poúrazové stavy ;S02-18;Otvorené operácie kĺbov pre traumu a poúrazové stavy zložité
5t3054;Totálna synovektómia lakťového kĺbu;Trauma a poúrazové stavy ;S02-18;Otvorené operácie kĺbov pre traumu a poúrazové stavy zložité
5t3055;Totálna synovektómia proximálneho radioulnárneho kĺbu;Trauma a poúrazové stavy ;S02-18;Otvorené operácie kĺbov pre traumu a poúrazové stavy zložité
5t3056;Totálna synovektómia distálneho radioulnárneho kĺbu;Trauma a poúrazové stavy ;S02-18;Otvorené operácie kĺbov pre traumu a poúrazové stavy zložité
5t3058;Totálna synovektómia radiokarpálneho kĺbu;Trauma a poúrazové stavy ;S02-18;Otvorené operácie kĺbov pre traumu a poúrazové stavy zložité
5t3059;Totálna synovektómia ulnokarpálneho kĺbu;Trauma a poúrazové stavy ;S02-18;Otvorené operácie kĺbov pre traumu a poúrazové stavy zložité
5t305e;Totálna synovektómia iliosakrálneho kĺbu;Trauma a poúrazové stavy ;S02-15;Iné výkony na panve pre traumu a poúrazové stavy
5t305f;Totálna synovektómia symfýzy;Trauma a poúrazové stavy ;S02-15;Iné výkony na panve pre traumu a poúrazové stavy
5t305g;Totálna synovektómia bedrového kĺbu;Trauma a poúrazové stavy ;S02-18;Otvorené operácie kĺbov pre traumu a poúrazové stavy zložité
5t305h;Totálna synovektómia kolenného kĺbu;Trauma a poúrazové stavy ;S02-18;Otvorené operácie kĺbov pre traumu a poúrazové stavy zložité
5t305j;Totálna synovektómia proximálneho tibiofibulárneho kĺbu;Trauma a poúrazové stavy ;S02-18;Otvorené operácie kĺbov pre traumu a poúrazové stavy zložité
5t305k;Totálna synovektómia horného členkového kĺbu;Trauma a poúrazové stavy ;S02-18;Otvorené operácie kĺbov pre traumu a poúrazové stavy zložité
5t305m;Totálna synovektómia dolného členkového kĺbu;Trauma a poúrazové stavy ;S02-18;Otvorené operácie kĺbov pre traumu a poúrazové stavy zložité
5t305n;Totálna synovektómia tarzálnych kĺbov;Trauma a poúrazové stavy ;S02-18;Otvorené operácie kĺbov pre traumu a poúrazové stavy zložité
5t305p;Totálna synovektómia tarzometatarzálnych kĺbov;Trauma a poúrazové stavy ;S02-18;Otvorené operácie kĺbov pre traumu a poúrazové stavy zložité
5t305q;Totálna synovektómia metatarzofalangeálnych kĺbov;Trauma a poúrazové stavy ;S02-18;Otvorené operácie kĺbov pre traumu a poúrazové stavy zložité
5t305r;Totálna synovektómia interfalangeálnych kĺbov nohy;Trauma a poúrazové stavy ;S02-18;Otvorené operácie kĺbov pre traumu a poúrazové stavy zložité
5t305x;Totálna synovektómia ostatných kĺbov;Trauma a poúrazové stavy ;S02-18;Otvorené operácie kĺbov pre traumu a poúrazové stavy zložité
5t3060;Mobilizácia kĺbu (artrolýza) humeroglenoidálneho kĺbu;Trauma a poúrazové stavy ;S02-18;Otvorené operácie kĺbov pre traumu a poúrazové stavy zložité
5t3064;Mobilizácia kĺbu (artrolýza) lakťového kĺbu;Trauma a poúrazové stavy ;S02-18;Otvorené operácie kĺbov pre traumu a poúrazové stavy zložité
5t3068;Mobilizácia kĺbu (artrolýza) radiokarpálneho kĺbu;Trauma a poúrazové stavy ;S02-18;Otvorené operácie kĺbov pre traumu a poúrazové stavy zložité
5t306h;Mobilizácia kĺbu (artrolýza) kolenného kĺbu;Trauma a poúrazové stavy ;S02-18;Otvorené operácie kĺbov pre traumu a poúrazové stavy zložité
5t306k;Mobilizácia kĺbu (artrolýza) horného členkového kĺbu;Trauma a poúrazové stavy ;S02-18;Otvorené operácie kĺbov pre traumu a poúrazové stavy zložité
5t306m;Mobilizácia kĺbu (artrolýza) dolného členkového kĺbu;Trauma a poúrazové stavy ;S02-18;Otvorené operácie kĺbov pre traumu a poúrazové stavy zložité
5t306p;Mobilizácia kĺbu (artrolýza) tarzometatarzálnych kĺbov;Trauma a poúrazové stavy ;S02-18;Otvorené operácie kĺbov pre traumu a poúrazové stavy zložité
5t306q;Mobilizácia kĺbu (artrolýza) metatarzofalangeálnych kĺbov;Trauma a poúrazové stavy ;S02-18;Otvorené operácie kĺbov pre traumu a poúrazové stavy zložité
5t306r;Mobilizácia kĺbu (artrolýza) interfalangeálnych kĺbov nohy;Trauma a poúrazové stavy ;S02-18;Otvorené operácie kĺbov pre traumu a poúrazové stavy zložité
5t306x;Mobilizácia kĺbu (artrolýza) ostatných kĺbov;Trauma a poúrazové stavy ;S02-18;Otvorené operácie kĺbov pre traumu a poúrazové stavy zložité
5t3070;Odstránenie periartikulárnych osifikácií humeroglenoidálneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3071;Odstránenie periartikulárnych osifikácií akromioklavikulárneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3074;Odstránenie periartikulárnych osifikácií lakťového kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3075;Odstránenie periartikulárnych osifikácií proximálneho radioulnárneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3076;Odstránenie periartikulárnych osifikácií distálneho radioulnárneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3078;Odstránenie periartikulárnych osifikácií radiokarpálneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3079;Odstránenie periartikulárnych osifikácií ulnokarpálneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t307g;Odstránenie periartikulárnych osifikácií bedrového kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t307h;Odstránenie periartikulárnych osifikácií kolenného kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t307k;Odstránenie periartikulárnych osifikácií horného členkového kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t307m;Odstránenie periartikulárnych osifikácií dolného členkového kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t307n;Odstránenie periartikulárnych osifikácií tarzálnych kĺbov;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t307p;Odstránenie periartikulárnych osifikácií tarzometatarzálnych kĺbov;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t307q;Odstránenie periartikulárnych osifikácií metatarzofalangeálnych kĺbov;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t307r;Odstránenie periartikulárnych osifikácií interfalangeálnych kĺbov nohy;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t307x;Odstránenie periartikulárnych osifikácií ostatných kĺbov;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3080;Odstránenie voľných telies z humeroglenoidálneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3084;Odstránenie voľných telies z lakťového kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3086;Odstránenie voľných telies z distálneho radioulnárneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3088;Odstránenie voľných telies z radiokarpálneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t3089;Odstránenie voľných telies z ulnokarpálneho kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
5t308g;Odstránenie voľných telies z bedrového kĺbu;Trauma a poúrazové stavy ;S02-49;Otvorené operácie kĺbov pre traumu a poúrazové stavy
